ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	POS	IDS_IN_SOURCE	LINKS	POLYSEMY_CLASS	FREQUENCY_CLASS	DEGREE_CLASS	RELATION_TYPE	FORWARD_SCORES	BACKWARD_SCORES	SCORED_RELATIONS
Lapesa-2014-772-181	181	681	DESTROY	destroy	verb	430:to-make-to-destroy:1 432:to-make-to-destroy:1 435:to-make-to-destroy:1 475:to-replicate-to-destroy:1 477:to-replicate-to-destroy:1	←413 ←413 ←413 ←545 ←545	poli3 poli3 poli3 poli1 poli1	freqMax freqMax freqMax freqMax freqMax	NOT NOT HIGH NOT NOT	HYP SYN ANT HYP SYN	0.2 0.0 5.0 0.0 0.0	0.0 0.0 4.9 0.0 0.0	"{""to-make-to-destroy"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 5.0, ""BACKWARD_SCORE"": 4.9, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""HIGH""}, ""to-replicate-to-destroy"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 0.0, ""BACKWARD_SCORE"": 0.0, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""NOT""}}"
Lapesa-2014-772-182	182			destroyed	adjective	144:recoverable-destroyed:1	←535	poli3	freqMin	LOW	ANT	4.1	4.3	"{""recoverable-destroyed"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 4.1, ""BACKWARD_SCORE"": 4.3, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-183	183			destroyer	noun	848:wrecker-destroyer:1 852:wrecker-destroyer:1	←766 ←766	poli2 poli2	freqMin freqMin	NOT HIGH	ANT SYN	0.1 4.6	0.0 4.7	"{""wrecker-destroyer"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 4.6, ""BACKWARD_SCORE"": 4.7, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""HIGH""}}"
Lapesa-2014-772-184	184			detract	verb	530:to-sum-to-detract:1	←648	poli1	freqMax	LOW	ANT	4.3	2.5	"{""to-sum-to-detract"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 4.3, ""BACKWARD_SCORE"": 2.5, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-185	185			devolve	verb	343:to-devolve-to-block:0 344:to-devolve-to-transfer:0 345:to-devolve-to-keep:0	→70 →674 →378	poli2 poli2 poli2	freqMed freqMed freqMed	LOW NOT HIGH	ANT ANT ANT	1.0 0.8 2.4	0.9 0.8 2.9	"{""to-devolve-to-block"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 1.0, ""BACKWARD_SCORE"": 0.9, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""LOW""}, ""to-devolve-to-transfer"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 0.8, ""BACKWARD_SCORE"": 0.8, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""NOT""}, ""to-devolve-to-keep"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 2.4, ""BACKWARD_SCORE"": 2.9, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""HIGH""}}"
Lapesa-2014-772-186	186			diagnostic	adjective	130:psychiatric-diagnostic:1	←518	poli1	freqMax	LOW	HYP	1.9	2.8	"{""psychiatric-diagnostic"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 1.9, ""BACKWARD_SCORE"": 2.8, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-187	187			dictatorial	adjective	34:despotic-dictatorial:1	←180	poli1	freqMin	NOT	ANT	0.4	0.4	"{""despotic-dictatorial"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 0.4, ""BACKWARD_SCORE"": 0.4, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""NOT""}}"
Lapesa-2014-772-188	188			dimensional	adjective	37:dimensional-undimensional:0 38:dimensional-flat:0 39:dimensional-spatial:0	→697 →263 →618	poli1 poli1 poli1	freqMed freqMed freqMed	LOW HIGH NOT	ANT ANT ANT	4.6 4.3 1.0	4.9 4.3 1.1	"{""dimensional-undimensional"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 4.6, ""BACKWARD_SCORE"": 4.9, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""LOW""}, ""dimensional-flat"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 4.3, ""BACKWARD_SCORE"": 4.3, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""HIGH""}, ""dimensional-spatial"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 1.0, ""BACKWARD_SCORE"": 1.1, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""NOT""}}"
Lapesa-2014-772-189	189	1230	DIRTY	dirty	adjective	70:impure-dirty:1 175:unclean-dirty:1 178:unclean-dirty:1 183:unclean-dirty:1	←342 ←692 ←692 ←692	poli3 poli3 poli3 poli3	freqMin freqMin freqMin freqMin	HIGH HIGH HIGH NOT	HYP SYN HYP ANT	4.3 5.0 4.5 0.0	4.667 4.9 4.2 0.0	"{""impure-dirty"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 4.3, ""BACKWARD_SCORE"": 4.667, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""HIGH""}, ""unclean-dirty"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 0.0, ""BACKWARD_SCORE"": 0.0, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""NOT""}}"
Lapesa-2014-772-190	190			disarm	verb	275:to-arm-to-disarm:1	←41	poli2	freqMax	HIGH	ANT	5.0	5.0	"{""to-arm-to-disarm"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 5.0, ""BACKWARD_SCORE"": 5.0, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""HIGH""}}"
Lapesa-2014-772-191	191			disclose	verb	346:to-disclose-to-reveal:0 347:to-disclose-to-hide:0 348:to-disclose-to-inform:0	→555 →315 →356	poli2 poli2 poli2	freqMax freqMax freqMax	HIGH NOT LOW	SYN SYN SYN	4.9 0.5 4.3	4.9 0.0 4.6	"{""to-disclose-to-reveal"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 4.9, ""BACKWARD_SCORE"": 4.9, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""HIGH""}, ""to-disclose-to-hide"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 0.5, ""BACKWARD_SCORE"": 0.0, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""NOT""}, ""to-disclose-to-inform"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 4.3, ""BACKWARD_SCORE"": 4.6, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-192	192			discourage	verb	567:to-uplift-to-discourage:1	←729	poli3	freqMed	LOW	ANT	4.7	4.7	"{""to-uplift-to-discourage"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 4.7, ""BACKWARD_SCORE"": 4.7, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-193	193			discover	verb	341:to-deduce-to-discover:1	←167	poli2	freqMed	LOW	SYN	3.2	3.2	"{""to-deduce-to-discover"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 3.2, ""BACKWARD_SCORE"": 3.2, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-194	194			discuss	verb	452:to-pardon-to-discuss:1	←471	poli2	freqMin	LOW	HYP	1.4	0.9	"{""to-pardon-to-discuss"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 1.4, ""BACKWARD_SCORE"": 0.9, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-195	195	2465	DISGUST	disgust	noun	595:admiration-disgust:1 600:admiration-disgust:1	←18 ←18	poli3 poli3	freqMed freqMed	NOT NOT	HYP SYN	0.0 0.0	0.0 0.0	"{""admiration-disgust"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 0.0, ""BACKWARD_SCORE"": 0.0, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""NOT""}}"
Lapesa-2014-772-196	196	2507	DISGUSTING	disgusting	adjective	55:gross-disgusting:1 60:gross-disgusting:1	←301 ←301	poli2 poli2	freqMax freqMax	HIGH HIGH	SYN HYP	4.7 4.615	4.9 3.909	"{""gross-disgusting"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 4.615, ""BACKWARD_SCORE"": 3.909, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""HIGH""}}"
Lapesa-2014-772-197	197			dislike	verb	366:to-fancy-to-dislike:1	←254	poli2	freqMed	NOT	SYN	0.0	0.0	"{""to-fancy-to-dislike"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 0.0, ""BACKWARD_SCORE"": 0.0, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""NOT""}}"
Lapesa-2014-772-198	198			disorganize	verb	296:to-catalogue-to-disorganize:1 299:to-catalogue-to-disorganize:1 450:to-organize-to-disorganize:1 514:to-streamline-to-disorganize:1	←91 ←91 ←463 ←641	poli2 poli2 poli1 poli1	freqMed freqMed freqMax freqMed	NOT HIGH NOT LOW	HYP ANT SYN ANT	0.0 4.3 0.0 4.3	0.0 4.4 0.0 4.9	"{""to-catalogue-to-disorganize"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 4.3, ""BACKWARD_SCORE"": 4.4, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""HIGH""}, ""to-organize-to-disorganize"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 0.0, ""BACKWARD_SCORE"": 0.0, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""NOT""}, ""to-streamline-to-disorganize"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 4.3, ""BACKWARD_SCORE"": 4.9, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-199	199			dispensable	adjective	77:indispensable-dispensable:1	←352	poli2	freqMed	HIGH	ANT	5.0	4.8	"{""indispensable-dispensable"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 5.0, ""BACKWARD_SCORE"": 4.8, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""HIGH""}}"
Lapesa-2014-772-200	200			dispersal	noun	670:distribution-dispersal:1	←204	poli3	freqMax	LOW	SYN	3.8	4.3	"{""distribution-dispersal"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 3.8, ""BACKWARD_SCORE"": 4.3, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-201	201			disprove	verb	360:to-evidence-to-disprove:1 402:to-invalidate-to-disprove:1	←241 ←370	poli3 poli3	freqMed freqMin	HIGH NOT	ANT ANT	4.2 0.0	3.9 0.0	"{""to-evidence-to-disprove"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 4.2, ""BACKWARD_SCORE"": 3.9, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""HIGH""}, ""to-invalidate-to-disprove"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 0.0, ""BACKWARD_SCORE"": 0.0, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""NOT""}}"
Lapesa-2014-772-202	202			disregard	verb	335:to-court-to-disregard:1	←146	poli3	freqMed	LOW	ANT	3.3	4.1	"{""to-court-to-disregard"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 3.3, ""BACKWARD_SCORE"": 4.1, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-203	203			dissociative	adjective	9:associative-dissociative:1	←47	poli3	freqMin	HIGH	ANT	4.9	4.7	"{""associative-dissociative"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 4.9, ""BACKWARD_SCORE"": 4.7, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""HIGH""}}"
Lapesa-2014-772-204	204			distribution	noun	667:distribution-collection:0 668:distribution-hoarding:0 669:distribution-allotment:0 670:distribution-dispersal:0 671:distribution-allotment:0 672:distribution-collection:0	→113 →318 →31 →200 →31 →113	poli3 poli3 poli3 poli3 poli3 poli3	freqMax freqMax freqMax freqMax freqMax freqMax	NOT LOW NOT LOW HIGH HIGH	SYN ANT ANT SYN SYN ANT	0.1 4.2 0.6 3.8 4.2 4.7	0.5 4.1 0.3 4.3 3.7 4.6	"{""distribution-collection"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 4.7, ""BACKWARD_SCORE"": 4.6, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""HIGH""}, ""distribution-hoarding"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 4.2, ""BACKWARD_SCORE"": 4.1, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""LOW""}, ""distribution-allotment"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 4.2, ""BACKWARD_SCORE"": 3.7, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""HIGH""}, ""distribution-dispersal"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 3.8, ""BACKWARD_SCORE"": 4.3, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-205	205	1119	DIVIDE	divide	verb	506:to-split-to-divide:1 510:to-split-to-divide:1 511:to-split-to-divide:1	←624 ←624 ←624	poli3 poli3 poli3	freqMax freqMax freqMax	HIGH HIGH NOT	SYN HYP ANT	4.7 4.9 0.0	4.7 4.9 0.1	"{""to-split-to-divide"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 0.0, ""BACKWARD_SCORE"": 0.1, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""NOT""}}"
Lapesa-2014-772-206	206	813	DO	do	verb	431:to-make-to-do:1	←413	poli3	freqMax	LOW	HYP	3.1	2.8	"{""to-make-to-do"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 3.1, ""BACKWARD_SCORE"": 2.8, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-207	207			document	verb	349:to-document-to-record:0 350:to-document-to-retract:0 351:to-document-to-declare:0 352:to-document-to-forget:0 353:to-document-to-record:0 354:to-document-to-write:0	→534 →554 →165 →270 →534 →768	poli2 poli2 poli2 poli2 poli2 poli2	freqMax freqMax freqMax freqMax freqMax freqMax	HIGH NOT LOW NOT HIGH LOW	SYN SYN SYN HYP HYP HYP	4.7 0.1 1.3 0.0 4.3 4.3	4.9 0.1 2.2 0.0 4.6 4.5	"{""to-document-to-record"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 4.3, ""BACKWARD_SCORE"": 4.6, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""HIGH""}, ""to-document-to-retract"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 0.1, ""BACKWARD_SCORE"": 0.1, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""NOT""}, ""to-document-to-declare"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 1.3, ""BACKWARD_SCORE"": 2.2, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""LOW""}, ""to-document-to-forget"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 0.0, ""BACKWARD_SCORE"": 0.0, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""NOT""}, ""to-document-to-write"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 4.3, ""BACKWARD_SCORE"": 4.5, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-208	208			documentary	noun	759:parody-documentary:1	←474	poli2	freqMed	NOT	HYP	0.2	1.8	"{""parody-documentary"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 0.2, ""BACKWARD_SCORE"": 1.8, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""NOT""}}"
Lapesa-2014-772-209	209			double	adjective	40:double-twin:0 41:double-twin:0 42:double-single:0 43:double-single:0 44:double-indivisible:0 45:double-dual:0	→684 →684 →603 →603 →353 →211	poli2 poli2 poli2 poli2 poli2 poli2	freqMax freqMax freqMax freqMax freqMax freqMax	HIGH NOT HIGH NOT LOW LOW	SYN ANT ANT SYN ANT SYN	3.7 1.1 3.6 0.1 2.1 3.9	4.0 0.5 3.3 0.0 1.3 4.5	"{""double-twin"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 1.1, ""BACKWARD_SCORE"": 0.5, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""NOT""}, ""double-single"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 0.1, ""BACKWARD_SCORE"": 0.0, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""NOT""}, ""double-indivisible"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 2.1, ""BACKWARD_SCORE"": 1.3, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""LOW""}, ""double-dual"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 3.9, ""BACKWARD_SCORE"": 4.5, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-210	210	741	DRIVE	drive	verb	462:to-park-to-drive:1	←473	poli2	freqMax	HIGH	ANT	4.1	4.3	"{""to-park-to-drive"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 4.1, ""BACKWARD_SCORE"": 4.3, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""HIGH""}}"
Lapesa-2014-772-211	211			dual	adjective	45:double-dual:1	←209	poli2	freqMax	LOW	SYN	3.9	4.5	"{""double-dual"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 3.9, ""BACKWARD_SCORE"": 4.5, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-212	212			dull	verb	371:to-hone-to-dull:1 372:to-hone-to-dull:1 471:to-polish-to-dull:1 556:to-twinkle-to-dull:1 561:to-twinkle-to-dull:1	←321 ←321 ←495 ←685 ←685	poli2 poli2 poli3 poli2 poli2	freqMed freqMed freqMed freqMin freqMin	HIGH NOT NOT NOT NOT	ANT SYN HYP SYN HYP	4.8 0.0 0.1 0.0 0.0	4.9 0.0 0.1 0.1 0.0	"{""to-hone-to-dull"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 0.0, ""BACKWARD_SCORE"": 0.0, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""NOT""}, ""to-polish-to-dull"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 0.1, ""BACKWARD_SCORE"": 0.1, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""NOT""}, ""to-twinkle-to-dull"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 0.0, ""BACKWARD_SCORE"": 0.0, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""NOT""}}"
Lapesa-2014-772-213	213			ecstatic	adjective	75:inconsolable-ecstatic:1	←349	poli2	freqMin	LOW	ANT	3.2	3.3	"{""inconsolable-ecstatic"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 3.2, ""BACKWARD_SCORE"": 3.3, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-214	214			education	noun	673:education-knowledge:0 674:education-learning:0 675:education-learning:0 676:education-ignorance:0 677:education-schooling:0 678:education-ignorance:0 679:education-ignorance:0 680:education-schooling:0 681:education-illiteracy:0	→382 →392 →392 →328 →574 →328 →328 →574 →331	poli3 poli3 poli3 poli3 poli3 poli3 poli3 poli3 poli3	freqMax freqMax freqMax freqMax freqMax freqMax freqMax freqMax freqMax	LOW HIGH LOW NOT NOT NOT HIGH HIGH LOW	HYP HYP SYN SYN ANT HYP ANT SYN ANT	3.3 3.5 3.9 0.0 0.1 0.0 4.3 4.9 4.3	2.7 3.8 3.7 0.2 0.2 0.1 3.7 4.3 3.7	"{""education-knowledge"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 3.3, ""BACKWARD_SCORE"": 2.7, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""LOW""}, ""education-learning"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 3.9, ""BACKWARD_SCORE"": 3.7, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""LOW""}, ""education-ignorance"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 4.3, ""BACKWARD_SCORE"": 3.7, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""HIGH""}, ""education-schooling"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 4.9, ""BACKWARD_SCORE"": 4.3, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""HIGH""}, ""education-illiteracy"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 4.3, ""BACKWARD_SCORE"": 3.7, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-215	215			educator	noun	682:educator-student:0 683:educator-teacher:0 684:educator-learner:0	→646 →659 →391	poli1 poli1 poli1	freqMax freqMax freqMax	HIGH NOT LOW	ANT ANT ANT	4.1 0.1 4.2	4.7 0.1 3.8	"{""educator-student"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 4.1, ""BACKWARD_SCORE"": 4.7, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""HIGH""}, ""educator-teacher"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 0.1, ""BACKWARD_SCORE"": 0.1, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""NOT""}, ""educator-learner"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 4.2, ""BACKWARD_SCORE"": 3.8, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-216	216			electron	noun	753:neutron-electron:1	←447	poli1	freqMed	LOW	SYN	0.3	0.5	"{""neutron-electron"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 0.3, ""BACKWARD_SCORE"": 0.5, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-217	217			element	noun	723:iodine-element:1	←373	poli2	freqMin	LOW	HYP	4.6	4.8	"{""iodine-element"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 4.6, ""BACKWARD_SCORE"": 4.8, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""LOW""}}"
