ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SEMANTIC_CLASS_ID	CATEGORY	TARGET_CONCEPTS	LINKED_CONCEPTS
Urban-2011-160-124	124	688	LUNG	lungs	III	Body Parts and Body Fluids	"[{""ID"": ""Urban-2011-160-123"", ""NAME"": ""liver"", ""OvertMarking"": 0, ""IndoAryanShift"": 1, ""ShiftID"": ""25""}, {""ID"": ""Urban-2011-160-119"", ""NAME"": ""heart"", ""OvertMarking"": 0, ""IndoAryanShift"": 1, ""ShiftID"": ""29""}]"	"[{""ID"": ""Urban-2011-160-24"", ""NAME"": ""foam"", ""Polysemy"": 3, ""ShiftID"": 47}, {""ID"": ""Urban-2011-160-119"", ""NAME"": ""heart"", ""Polysemy"": 2, ""ShiftID"": 29}, {""ID"": ""Urban-2011-160-123"", ""NAME"": ""liver"", ""Polysemy"": 4, ""ShiftID"": 25}]"
Urban-2011-160-125	125	674	MOUTH	mouth	III	Body Parts and Body Fluids	"[{""ID"": ""Urban-2011-160-122"", ""NAME"": ""lip"", ""OvertMarking"": 31, ""IndoAryanShift"": 1, ""ShiftID"": 21}, {""ID"": ""Urban-2011-160-110"", ""NAME"": ""cheek"", ""OvertMarking"": 3, ""IndoAryanShift"": 1, ""ShiftID"": 33}, {""ID"": ""Urban-2011-160-5"", ""NAME"": ""beak"", ""OvertMarking"": 11, ""IndoAryanShift"": 0, ""ShiftID"": 35}, {""ID"": ""Urban-2011-160-20"", ""NAME"": ""estuary"", ""OvertMarking"": 5, ""IndoAryanShift"": 0, ""ShiftID"": 38}]"	"[{""ID"": ""Urban-2011-160-122"", ""NAME"": ""lip"", ""Polysemy"": 16, ""ShiftID"": 21}, {""ID"": ""Urban-2011-160-110"", ""NAME"": ""cheek"", ""Polysemy"": 2, ""ShiftID"": 33}, {""ID"": ""Urban-2011-160-5"", ""NAME"": ""beak"", ""Polysemy"": 18, ""ShiftID"": 35}, {""ID"": ""Urban-2011-160-20"", ""NAME"": ""estuary"", ""Polysemy"": 5, ""ShiftID"": 38}]"
Urban-2011-160-126	126	3061	PHLEGM	mucus	III	Body Parts and Body Fluids	[]	[]
Urban-2011-160-127	127	1838	NAVEL	navel	III	Body Parts and Body Fluids	[]	"[{""ID"": ""Urban-2011-160-102"", ""NAME"": ""belly/stomach"", ""Polysemy"": 2, ""ShiftID"": 31}]"
Urban-2011-160-128	128	1333	NECK	neck	III	Body Parts and Body Fluids	[]	[]
Urban-2011-160-129	129	796	NIPPLE	nipple	III	Body Parts and Body Fluids	[]	"[{""ID"": ""Urban-2011-160-37"", ""NAME"": ""milk"", ""Polysemy"": 5, ""ShiftID"": 24}]"
Urban-2011-160-130	130	1178	NOSTRIL	nostrils	III	Body Parts and Body Fluids	[]	[]
Urban-2011-160-131	131	1658	PUPIL	pupil	III	Body Parts and Body Fluids	[]	[]
Urban-2011-160-132	132	1808	PUS	pus	III	Body Parts and Body Fluids	[]	[]
Urban-2011-160-133	133	801	RIB	rib	III	Body Parts and Body Fluids	[]	[]
Urban-2011-160-134	134	1503	SALIVA	saliva/spittle	III	Body Parts and Body Fluids	"[{""ID"": ""Urban-2011-160-24"", ""NAME"": ""foam"", ""OvertMarking"": 4, ""IndoAryanShift"": 0, ""ShiftID"": 36}]"	"[{""ID"": ""Urban-2011-160-24"", ""NAME"": ""foam"", ""Polysemy"": 8, ""ShiftID"": 36}]"
Urban-2011-160-135	135	497	SCAR	scar	III	Body Parts and Body Fluids	[]	[]
Urban-2011-160-136	136	763	SKIN	skin	III	Body Parts and Body Fluids	"[{""ID"": ""Urban-2011-160-3"", ""NAME"": ""bark"", ""OvertMarking"": 26, ""IndoAryanShift"": 1, ""ShiftID"": 34}]"	"[{""ID"": ""Urban-2011-160-3"", ""NAME"": ""bark"", ""Polysemy"": 45, ""ShiftID"": 34}]"
Urban-2011-160-137	137	208	NASAL MUCUS (SNOT)	snot	III	Body Parts and Body Fluids	[]	[]
Urban-2011-160-138	138	2283	SEMEN	semen	III	Body Parts and Body Fluids	[]	[]
Urban-2011-160-139	139	125	SWEAT (SUBSTANCE)	sweat	III	Body Parts and Body Fluids	[]	[]
Urban-2011-160-140	140	1651	TEAR (OF EYE)	tear	III	Body Parts and Body Fluids	[]	[]
Urban-2011-160-141	141	1137	TENDON	tendon/sinew	III	Body Parts and Body Fluids	[]	[]
Urban-2011-160-142	142	797	TESTICLES	testicle	III	Body Parts and Body Fluids	[]	"[{""ID"": ""Urban-2011-160-18"", ""NAME"": ""egg"", ""Polysemy"": 20, ""ShiftID"": 42}, {""ID"": ""Urban-2011-160-51"", ""NAME"": ""seed"", ""Polysemy"": 6, ""ShiftID"": 44}]"
Urban-2011-160-143	143	1205	TONGUE	tongue	III	Body Parts and Body Fluids	"[{""ID"": ""Urban-2011-160-22"", ""NAME"": ""flame"", ""OvertMarking"": 24, ""IndoAryanShift"": 1, ""ShiftID"": 39}]"	"[{""ID"": ""Urban-2011-160-22"", ""NAME"": ""flame"", ""Polysemy"": 2, ""ShiftID"": 39}]"
Urban-2011-160-144	144	1380	TOOTH	tooth	III	Body Parts and Body Fluids	"[{""ID"": ""Urban-2011-160-120"", ""NAME"": ""jaw"", ""OvertMarking"": 2, ""IndoAryanShift"": 1, ""ShiftID"": 30}]"	"[{""ID"": ""Urban-2011-160-120"", ""NAME"": ""jaw"", ""Polysemy"": 2, ""ShiftID"": 30}]"
Urban-2011-160-145	145	1142	URINE	urine	III	Body Parts and Body Fluids	[]	[]
Urban-2011-160-146	146	2293	UVULA	uvula	III	Body Parts and Body Fluids	[]	[]
Urban-2011-160-147	147	1924	VEIN	vein	III	Body Parts and Body Fluids	[]	[]
Urban-2011-160-148	148	804	WOMB	womb	III	Body Parts and Body Fluids	[]	"[{""ID"": ""Urban-2011-160-102"", ""NAME"": ""belly/stomach"", ""Polysemy"": 11, ""ShiftID"": 22}]"
Urban-2011-160-149	149	2294	WRINKLE	wrinkle	III	Body Parts and Body Fluids	[]	[]
Urban-2011-160-150	150	729	DAWN	dawn	IV	Basic Temporal Concepts and Miscellanea	[]	"[{""ID"": ""Urban-2011-160-151"", ""NAME"": ""day"", ""Polysemy"": 3, ""ShiftID"": 13}]"
Urban-2011-160-151	151	1225	DAY (NOT NIGHT)	day	IV	Basic Temporal Concepts and Miscellanea	"[{""ID"": ""Urban-2011-160-150"", ""NAME"": ""dawn"", ""OvertMarking"": 20, ""IndoAryanShift"": 1, ""ShiftID"": 13}, {""ID"": ""Urban-2011-160-154"", ""NAME"": ""noon"", ""OvertMarking"": 35, ""IndoAryanShift"": 1, ""ShiftID"": 15}]"	"[{""ID"": ""Urban-2011-160-150"", ""NAME"": ""dawn"", ""Polysemy"": 3, ""ShiftID"": 13}, {""ID"": ""Urban-2011-160-154"", ""NAME"": ""noon"", ""Polysemy"": 2, ""ShiftID"": 15}]"
Urban-2011-160-152	152	2297	DUSK	dusk	IV	Basic Temporal Concepts and Miscellanea	[]	[]
Urban-2011-160-153	153	1233	NIGHT	night	IV	Basic Temporal Concepts and Miscellanea	[]	[]
Urban-2011-160-154	154	12	MIDDAY	noon	IV	Basic Temporal Concepts and Miscellanea	[]	"[{""ID"": ""Urban-2011-160-61"", ""NAME"": ""sun"", ""Polysemy"": 2, ""ShiftID"": 16}, {""ID"": ""Urban-2011-160-151"", ""NAME"": ""day"", ""Polysemy"": 2, ""ShiftID"": 15}]"
Urban-2011-160-155	155	2296	SUNRISE	sunrise	IV	Basic Temporal Concepts and Miscellanea	[]	[]
Urban-2011-160-156	156	2295	SUNSET	sunset	IV	Basic Temporal Concepts and Miscellanea	[]	[]
Urban-2011-160-157	157	683	PERSON	man (human being)	IV	Basic Temporal Concepts and Miscellanea	[]	[]
Urban-2011-160-158	158	1700	SATURDAY	saturday	IV	Basic Temporal Concepts and Miscellanea	[]	[]
Urban-2011-160-159	159	2298	VIRGIN	virgin	IV	Basic Temporal Concepts and Miscellanea	[]	[]
Urban-2011-160-160	160	1756	WIDOW	widow	IV	Basic Temporal Concepts and Miscellanea	[]	[]
