ID,ENG 1,ENG 2,PoS,ARA,CMN,CYM,ENG,EST,FIN,FRA,HEB,POL,RUS,SPA,SWA,YUE,scores,translation
1,arm,muscle,nouns,2.9,1.1818181818181819,0.6,0.6923076923076923,1.4,1.2,2.6,1.4,1.3,1.1,1.4,0.3,0.5454545454545454,1.1432983682983682,
2,democracy,monarchy,nouns,0.4,0.09090909090909091,0.3,0.9230769230769231,1.2,1.6,2.7,1.6,0.6,0.1,1.3,1.0,0.0,0.9511655011655011,
3,roof,ceiling,nouns,4.8,3.1818181818181817,4.4,3.6923076923076925,3.4,3.9,4.4,3.8,2.2,2.3,4.8,4.3,3.272727272727273,3.637237762237761,
4,friend,teacher,nouns,0.7,0.8181818181818182,0.6,0.3076923076923077,1.2,0.6,1.4,0.9,0.2,1.9,0.4,0.4,0.9090909090909091,0.8029137529137529,
5,hand,foot,nouns,2.3,0.45454545454545453,0.4,1.0,1.5,1.4,2.5,1.3,0.7,0.4,1.1,0.8,1.8181818181818181,1.1143939393939395,
6,biography,fiction,nouns,0.1,2.6363636363636362,0.0,0.6923076923076923,1.5,1.0,2.3,0.8,0.3,1.0,0.7,0.9,1.6363636363636365,1.1220862470862478,
7,disc,computer,nouns,1.0,0.5454545454545454,0.8,0.6923076923076923,0.6,0.4,2.3,1.0,1.3,1.4,1.3,0.5,1.2727272727272727,1.009207459207459,
8,fencing,gymnastics,nouns,0.5,0.9090909090909091,0.4,0.7692307692307693,1.6,1.7,2.5,1.3,0.8,0.4,2.6,0.0,0.5454545454545454,1.126981351981352,
9,bank,seat,nouns,0.2,0.18181818181818182,0.1,0.0,0.4,0.0,1.9,0.1,0.3,0.0,5.1,0.0,0.0,0.6734848484848485,
10,emperor,constitution,nouns,1.2,0.09090909090909091,0.1,0.15384615384615385,0.8,0.3,1.2,0.6,0.0,0.4,1.2,0.3,0.36363636363636365,0.45903263403263406,
11,gun,trick,nouns,0.0,0.09090909090909091,0.0,0.0,0.4,0.0,4.2,0.2,0.1,0.1,0.2,0.1,0.0,0.4492424242424242,
12,size,magnitude,nouns,4.0,2.272727272727273,2.7,4.615384615384615,3.5,5.8,4.0,4.0,5.2,4.7,5.0,4.9,3.5454545454545454,4.186130536130536,
13,ball,glove,nouns,1.5,0.18181818181818182,0.1,0.5384615384615384,0.4,0.2,1.4,1.0,0.2,0.1,1.1,1.4,0.18181818181818182,0.5668414918414918,
14,sheep,cattle,nouns,3.3,1.3636363636363635,0.7,1.5384615384615385,1.8,2.5,4.0,2.6,1.3,3.2,2.7,3.3,1.9090909090909092,2.2425990675990675,
15,lizard,crocodile,nouns,3.4,0.45454545454545453,1.0,2.0,2.6,3.1,3.4,2.8,1.3,0.8,2.6,2.5,2.0,2.0462121212121214,
16,friend,guest,nouns,2.7,3.1818181818181817,0.6,1.9230769230769231,2.0,0.8,2.9,2.1,1.2,1.2,1.6,0.1,3.6363636363636362,1.7701048951048952,
17,birthday,date,nouns,3.5,1.4545454545454546,1.2,1.6923076923076923,2.0,2.1,2.9,1.6,1.9,3.6,1.4,1.4,1.9090909090909092,1.9296620046620048,
18,car,cab,nouns,4.5,3.4545454545454546,4.1,2.8461538461538463,0.0,3.2,4.0,2.7,3.5,2.8,3.8,4.3,4.181818181818182,3.2402097902097897,
19,bone,teeth,nouns,3.1,0.6363636363636364,0.8,2.076923076923077,2.1,2.0,2.9,1.6,2.3,1.3,1.7,0.2,2.0,1.6344405594405595,
20,umbrella,heater,nouns,0.2,0.09090909090909091,0.0,0.0,0.1,0.1,0.5,1.1,0.0,0.0,0.2,0.0,0.09090909090909091,0.1818181818181818,
21,frustration,anger,nouns,2.4,2.3636363636363638,1.6,4.0,2.2,2.3,3.7,3.1,4.0,2.0,4.5,0.2,4.7272727272727275,2.8909090909090907,
22,asset,stock,nouns,1.4,2.5454545454545454,3.4,3.5384615384615383,2.9,0.0,4.0,3.0,0.2,2.2,2.6,2.9,3.272727272727273,2.5463869463869453,
23,action,course,nouns,1.2,0.36363636363636365,0.0,1.6923076923076923,1.3,0.2,2.6,2.0,0.9,0.7,1.3,0.4,0.5454545454545454,1.0001165501165499,
24,celebration,ceremony,nouns,4.3,2.272727272727273,2.1,3.076923076923077,3.5,4.3,5.3,3.2,5.6,3.8,4.1,5.4,2.6363636363636362,3.7738344988344985,
25,essay,homework,nouns,1.6,0.9090909090909091,1.8,2.6153846153846154,1.9,2.0,4.2,1.7,2.4,2.1,3.3,0.3,1.7272727272727273,2.079312354312354,
26,circumnavigation,baggage,nouns,0.5,0.0,0.0,0.15384615384615385,0.9,0.3,1.0,0.2,0.0,1.0,1.1,0.0,0.45454545454545453,0.4256993006993007,
27,mob,crowd,nouns,5.8,0.9090909090909091,4.7,4.538461538461538,5.5,5.2,5.7,4.4,3.7,4.0,3.2,4.2,0.45454545454545453,3.8751748251748257,
28,shoulder,head,nouns,2.8,0.18181818181818182,0.9,0.9230769230769231,1.1,0.9,2.7,1.4,0.7,0.6,1.5,0.8,0.5454545454545454,1.0208624708624707,
29,archer,pathfinder,nouns,0.8,0.2727272727272727,0.1,0.3076923076923077,0.6,0.2,2.2,0.2,1.5,0.6,0.8,0.0,0.09090909090909091,0.5726107226107227,
30,myth,satire,nouns,0.4,0.36363636363636365,0.3,0.15384615384615385,1.0,0.5,2.0,1.1,1.8,0.7,2.0,2.4,0.5454545454545454,1.071911421911422,
31,winner,candidate,nouns,2.9,2.1818181818181817,0.8,0.7692307692307693,1.2,1.1,2.6,1.2,0.7,0.8,1.7,1.1,0.8181818181818182,1.2474358974358972,
32,combat,belligerence,nouns,3.8,3.0,2.0,1.9230769230769231,1.5,1.8,4.6,3.1,2.8,2.0,3.4,4.1,0.6363636363636364,2.5716200466200467,
33,door,gate,nouns,4.2,5.545454545454546,1.9,2.769230769230769,3.3,3.3,4.8,4.3,4.0,3.6,4.9,5.1,5.545454545454546,4.088344988344989,
34,bowling,bowler,nouns,3.2,1.0909090909090908,1.4,1.1538461538461537,1.5,1.8,1.6,3.0,1.9,1.9,2.1,2.4,1.7272727272727273,1.7976689976689972,
35,circumstance,situation,nouns,3.1,5.181818181818182,5.3,5.076923076923077,3.4,4.6,5.2,4.3,4.8,4.0,5.6,1.7,5.454545454545454,4.551107226107226,
36,convocation,gathering,nouns,2.2,2.727272727272727,0.8,3.8461538461538463,3.4,4.5,3.3,5.0,5.8,4.4,4.8,4.6,3.090909090909091,3.8553613053613063,
37,care,caution,nouns,2.2,3.3636363636363638,3.1,4.076923076923077,3.7,1.6,5.0,2.5,2.6,1.8,5.7,0.2,3.909090909090909,3.129137529137529,
38,gravity,meteor,nouns,1.4,0.0,0.6,0.23076923076923078,0.8,0.2,1.4,1.0,0.3,0.2,1.4,0.0,0.5454545454545454,0.5563519813519813,
39,dinner,chicken,nouns,2.5,0.2727272727272727,0.8,0.6923076923076923,0.6,1.3,1.7,0.8,0.4,0.6,1.6,0.5,0.2727272727272727,0.7948135198135199,
40,sensor,radiator,nouns,0.8,0.36363636363636365,0.2,0.23076923076923078,0.2,0.1,1.0,0.8,0.1,0.4,1.2,0.6,0.7272727272727273,0.49347319347319346,
41,popcorn,cinema,nouns,2.7,0.45454545454545453,0.7,0.23076923076923078,1.1,0.4,1.8,1.0,0.4,1.1,2.1,0.1,0.6363636363636364,0.8351398601398601,
42,house,apartment,nouns,4.8,4.2727272727272725,2.2,2.8461538461538463,1.9,3.5,4.0,4.4,4.8,4.2,4.1,3.9,4.181818181818182,3.691724941724942,
43,cent,wife,nouns,0.6,0.36363636363636365,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.3,0.0,0.0,0.08863636363636368,
44,word,literature,nouns,2.5,2.0,1.3,1.6153846153846154,1.6,0.8,2.3,1.5,2.0,1.1,2.4,0.6,2.5454545454545454,1.6467365967365968,
45,broom,dust,nouns,2.9,0.36363636363636365,0.2,0.23076923076923078,1.1,0.7,2.0,1.3,0.2,1.3,0.9,0.4,0.9090909090909091,0.8002913752913754,
46,snowboard,skiing,nouns,2.7,1.4545454545454546,1.8,1.2307692307692308,2.1,0.8,4.0,2.8,1.8,2.1,2.6,2.3,0.8181818181818182,1.9836247086247092,
47,son,father,nouns,3.2,0.45454545454545453,0.9,0.6153846153846154,1.8,1.4,2.7,2.0,1.1,0.9,1.6,0.5,2.0,1.3308275058275056,
48,seed,mustard,nouns,1.8,0.5454545454545454,0.3,0.6923076923076923,1.1,1.1,2.7,1.4,0.0,1.4,1.8,0.1,1.0909090909090908,1.019055944055944,
49,cat,rabbit,nouns,2.7,0.5454545454545454,1.0,0.6153846153846154,1.0,1.3,1.9,1.3,1.1,0.3,0.9,0.4,1.6363636363636365,0.9997668997669001,
50,biologist,microscope,nouns,2.4,0.18181818181818182,0.8,0.15384615384615385,1.2,0.4,2.1,1.1,0.7,1.1,1.3,0.5,0.7272727272727273,0.8552447552447554,
51,badge,glass,nouns,0.7,0.09090909090909091,0.0,0.07692307692307693,0.3,0.0,0.5,0.4,0.1,0.0,0.7,0.0,0.18181818181818182,0.19580419580419584,
52,gossip,news,nouns,2.7,2.1818181818181817,2.8,2.1538461538461537,2.2,1.0,4.7,2.2,1.7,2.4,2.1,1.1,0.9090909090909091,2.1203962703962698,
53,dice,cube,nouns,3.9,2.4545454545454546,2.8,1.6923076923076923,2.4,3.2,4.6,4.5,1.4,2.9,3.5,0.9,2.909090909090909,2.77132867132867,
54,tower,bell,nouns,1.5,0.6363636363636364,0.3,0.15384615384615385,1.3,0.5,1.6,1.0,0.5,0.8,1.7,0.3,0.36363636363636365,0.7628205128205129,
55,hardware,case,nouns,2.2,0.18181818181818182,0.0,0.3076923076923077,0.4,0.0,1.9,0.5,0.5,0.3,0.6,0.1,0.18181818181818182,0.4142773892773893,
56,god,priest,nouns,2.0,0.2727272727272727,0.8,0.38461538461538464,1.4,0.9,2.1,1.3,0.6,1.1,1.6,0.5,0.6363636363636364,0.9661421911421911,
57,river,valley,nouns,3.8,1.7272727272727273,0.9,0.8461538461538461,1.3,0.7,2.2,1.2,0.6,0.7,2.4,0.5,3.3636363636363638,1.3697552447552443,
58,automobile,car,nouns,6.0,5.818181818181818,5.0,5.6923076923076925,5.0,6.0,6.0,5.9,5.4,5.7,5.5,5.8,6.0,5.650874125874125,
59,mother,wife,nouns,3.5,2.272727272727273,1.8,1.7692307692307692,2.3,1.7,3.3,2.5,1.1,1.9,2.1,2.7,2.727272727272727,2.1807692307692306,
60,tree,maple,nouns,3.0,4.2727272727272725,2.9,2.0,2.3,3.5,4.7,2.6,2.8,3.0,3.7,3.1,4.2727272727272725,3.2621212121212118,
61,rice,boy,nouns,0.2,0.0,0.0,0.0,0.1,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.09090909090909091,0.05757575757575759,
62,guy,stud,nouns,2.2,0.8181818181818182,0.6,1.3846153846153846,1.5,1.1,2.0,1.6,0.8,0.9,0.6,0.0,3.0,1.1918997668997673,
63,harbor,wrapper,nouns,0.5,0.0,0.0,0.0,0.0,0.0,0.9,1.9,0.1,0.2,0.1,0.0,0.09090909090909091,0.27424242424242423,
64,intelligence,logic,nouns,3.4,3.090909090909091,2.0,2.6923076923076925,2.3,2.7,3.9,2.7,2.4,2.4,3.4,2.9,2.8181818181818183,2.775116550116549,
65,day,morning,nouns,3.0,5.545454545454546,1.1,2.0,1.7,2.0,3.2,2.0,2.2,1.3,3.6,0.9,5.181818181818182,2.5606060606060606,
66,weapon,helmet,nouns,2.1,0.2727272727272727,0.8,0.38461538461538464,0.6,0.4,1.9,1.5,0.6,1.1,1.4,0.4,1.6363636363636365,0.9161421911421915,
