CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_AOA_MEAN	ENGLISH_IMAGEABILITY_MEAN	ENGLISH_AOA_MEAN_MRC	ENGLISH_IMAGEABILITY_MEAN_MRC	ENGLISH_FREQUENCY_LOG_CELEX	ENGLISH_POS	LINE_IN_SOURCE
1000	ANXIETY	anxiety	519.0			422.0		N	104
1003	PERMIT	permit	443.0	320.0	458.0	388.0		V	1708
1008	BULL	bull	286.0	639.0				N	321
1011	BRIDGE	bridge	284.0		289.0	608.0		N	296
1014	OR	or	256.0	176.0		224.0		F	1626
1017	APPEARANCE	appearance	397.0	442.0		425.0		N	114
1018	MEMORY	memory	389.0			391.0		N	1454
1019	RIGHT	right	256.0			372.0		F	1964
102	COMMON COLD (DISEASE)	cold	256.0	434.0	183.0	531.0		N	447
1027	BUG	bug	383.0	508.0				N	316
1028	YAWN	yawn	284.0			545.0		V	2672
1030	NECESSARY	necessary	402.0	290.0				A	1539
1033	GRIND	grind	465.0			485.0		V	1041
1035	GOOD	good	185.0			374.0		A	1008
1036	OWNER	owner	359.0	444.0		425.0		N	1657
1039	SHOW	show	277.0	375.0		424.0		V	2108
1041	INCREASE	increase	407.0	386.0	419.0	356.0		V	1201
1042	CARPENTER	carpenter	387.0	564.0				N	351
1046	SHUT	close	245.0		283.0	420.0		V	435
1058	STEPDAUGHTER	stepdaughter	482.0	389.0				N	2260
1069	GLUE	glue	304.0	514.0				V	998
1076	EMERGE (APPEAR)	appear	359.0			341.0		V	113
1078	MAIN	main	383.0	331.0	364.0	309.0		A	1406
1084	CALL	call	254.0	421.0	225.0	424.0		V	339
1085	FOLLOW	follow	291.0					V	908
1086	WORK (ACTIVITY)	work	308.0	496.0		458.0		V	2655
1088	SINK (DESCEND)	sink	318.0	504.0	219.0	599.0		V	2138
109	FOREIGN	foreign	427.0			404.0		A	919
1090	BE BORN	born	256.0			435.0		A	274
1092	HOPE	hope	357.0	348.0		421.0		N	1141
1098	WEIGH	weigh	348.0			411.0		V	2592
1100	COOK (SOMETHING)	cook	251.0			504.0		V	505
1104	NURSE	nurse	303.0	623.0	256.0	617.0		N	1578
1107	GO OUT	exit	368.0	539.0		512.0		N	816
