CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_VALENCE_MEAN	ENGLISH_AROUSAL_MEAN	ENGLISH_DOMINANCE_MEAN	ENGLISH_VALENCE_MEAN_MALE	ENGLISH_VALENCE_MEAN_FEMALE	ENGLISH_AROUSAL_MEAN_MALE	ENGLISH_AROUSAL_MEAN_FEMALE	ENGLISH_DOMINANCE_MEAN_MALE	ENGLISH_DOMINANCE_MEAN_FEMALE	ENGLISH_VALENCE_MEAN_YOUNG	ENGLISH_VALENCE_MEAN_OLD	ENGLISH_AROUSAL_MEAN_YOUNG	ENGLISH_AROUSAL_MEAN_OLD	ENGLISH_DOMINANCE_MEAN_YOUNG	ENGLISH_DOMINANCE_MEAN_OLD	ENGLISH_VALENCE_MEAN_HIGH	ENGLISH_VALENCE_MEAN_LOW	ENGLISH_AROUSAL_MEAN_HIGH	ENGLISH_AROUSAL_MEAN_LOW	ENGLISH_DOMINANCE_MEAN_HIGH	ENGLISH_DOMINANCE_MEAN_LOW	LINE_IN_SOURCE
10	FIREWOOD	firewood	6.09	4.58	5.95	5.8	6.12	5	4.27	5.9	6	5.58	6.7	4.4	4.78	5.58	6.44	5.82	6.36	5.09	3.88	6.25	5.56	4658
100	FAITHFUL	faithful	7.95	4.48	7.29	7.5	8.23	5.08	3.83	7.08	7.62	8	7.83	4.36	4.64	7.5	7	7.55	8.4	3.62	4.88	7.18	7.4	4444
1000	ANXIETY	anxiety	2.38	4.78	3.39	3	1.92	4.45	5.08	2.5	4.5	2.71	2.23	5.82	3.83	2.86	3.73	2.75	2.15	5.08	4.45	3.56	3.22	484
1001	BLACKSMITH	blacksmith	5.58	3.24	6	6.27	4.62	4.5	2.85	6.38	5.67	6.25	5.09	4.29	2.5	5.83	6.09	5.33	5.69	4.14	2.6	6.4	5.43	1192
1002	STATUE	statute	5.18	3.65	5.67	5.67	4.85	3.3	3.88	6.44	5.2	5.75	4.86	4.15	3.15	5.67	5.67	5.6	4.83	3.73	3.6	5.27	6	11780
1003	PERMIT	permit	5.26	3.76	4.68	5.33	5.25	3.17	4	5.5	4.31	5	5.56	3.29	4	5.11	4.3	5.45	5	3.58	4	4.75	4.57	8926
1004	MUSCLE	muscle	6.15	4.55	6.81	7.29	5.54	5	4.17	6.93	7	6.27	6	4.44	4.62	7.12	6.67	5.43	6.54	5	4.38	6.67	7	8010
1005	TWINS	twin	5.81	3.95	4.09	6.33	5.6	4	3.92	3.75	4.5	6.11	5.58	4.78	3.27	3.57	4.33	5.45	6.2	4	3.92	4.2	4	12930
1006	BRICK	brick	4.65	2.53	5	4.86	4.54	2.89	2.2	6.2	4.54	4.6	4.56	2.25	2.73	4.92	5.2	4.89	4.45	2.43	2.58	5	5	1479
1007	COW	cow	5.42	2.95	5.24	5	5.8	3.4	2.7	4.29	5.71	5.44	5.4	3.06	2.88	4.87	5.68	4.57	5.92	3.56	2.5	5.05	5.41	2831
