CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	CONCRETENESS_MEAN	CONCRETENESS_SD	DUNNO	FREQUENCY_SUBTITLE	POS	LINE_IN_SOURCE
319	LICK	lick	4.52	0.75	0	559	Verb	23437
2002	DITCH	ditch	4.5	0.9	0	401	Verb	23443
578	KISS	kiss	4.48	1.02	0	6179	Verb	23448
1324	SLIP	slide	4.48	0.82	0	909	Verb	23451
3543	SAW (SOMETHING)	saw	4.46	1	0	20527	Verb	23453
1028	YAWN	gape	3.27	1.42	4	3	Verb	25167
1403	BITE	bite	4.44	1	0	2080	Verb	23457
1367	CROSS	cross	4.44	1.19	0	2807	Verb	23458
1336	EAT	eats	3.79	1.32	0	645	Verb	24128
1585	SLEEP	sleep	4.44	1.15	0	11625	Verb	23463
2905	KNIT	knit	4.41	0.93	0	97	Verb	23472
3615	BLEED	bleed	4.4	0.97	0	515	Verb	23476
2897	CHIME (ACTION)	chime	4.4	0.86	0	47	Verb	23477
792	BOIL (OF LIQUID)	boiling	4.39	1.05	0	215	Verb	23481
991	FRY	fry	4.37	0.84	0	428	Verb	23491
851	STABLE	stall	4.37	1.03	0	457	Verb	23495
1453	WASH	wash	4.35	0.8	0	2077	Verb	23500
1261	SING	sing	4.34	1.17	0	4977	Verb	23502
55	WHISPER	whisper	4.34	0.77	0	403	Verb	23505
1418	DIG	dig	4.33	1	0	2357	Verb	23510
1135	KICK	kick	4.33	0.98	4	3744	Verb	23512
1449	RUB	rub	4.33	1.18	0	788	Verb	23514
1879	DANCE	dance	4.32	1.22	0	7550	Verb	23521
104	HAILING	hail	4.32	1.06	0	613	Verb	23522
190	MOW	mow	4.32	1.08	0	117	Verb	23523
2522	SCREAMING	scream	4.32	1.12	0	1347	Verb	23525
66	KNEEL	kneel	4.31	1.01	0	272	Verb	23534
1519	RUN	ran	3.82	1.12	0	4296	Verb	24089
96	CRAWL	crawl	4.27	1.11	0	614	Verb	23556
2396	KNOCK	knock	4.24	1.02	0	3299	Verb	23569
761	COVER	cover	4.23	1.1	0	4808	Verb	23572
231	SHAVE	shave	4.23	1.14	0	702	Verb	23573
3697	DIP	dip	4.22	0.97	0	406	Verb	23578
1672	WRITE	write	4.22	1.09	0	6467	Verb	23583
183	BAKE	bake	4.21	0.92	0	323	Verb	23584
676	SHIT (DEFECATE)	excrete	2.89	1.34	3	2	Verb	26015
750	DROP	drop	4.21	1.32	0	6661	Verb	23588
1355	LAUGH	laugh	4.21	1.1	0	3206	Verb	23593
