CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	SPANISH_MOTOR_CONTENT_MEAN	LINE_IN_SOURCE
1003	PERMIT	Permitir	1.826086956521739	3330
1025	WHISTLE	Silbar	2.2222222222222223	4123
1028	YAWN	Bostezar	2.259259259259259	736
1033	GRIND	Moler	4.115384615384615	3100
1039	SHOW	Mostrar	2.652173913043478	3119
1043	BRAID	Trenzar	3	4410
1046	SHUT	Cerrar	2.857142857142857	875
1047	PURSUE	Perseguir	5.269230769230769	3338
1069	GLUE	Pegar	4.913043478260869	3292
1076	EMERGE (APPEAR)	Aparecer	2	431
1079	FEEL	Sentir	1.8333333333333333	4101
1084	CALL	Llamar	2.6153846153846154	2942
1085	FOLLOW	Seguir	3.3703703703703702	4091
1086	WORK (ACTIVITY)	Trabajar	5.6923076923076925	4350
1087	CONCEIVE	Concebir	5.269230769230769	1026
1088	SINK (DESCEND)	Hundir	3.6923076923076925	2640
1090	BE BORN	Nacer	4.043478260869565	3139
1094	FASTEN	Amarrar	3.576923076923077	351
1095	LET GO OR SET FREE	Lanzar	4.703703703703703	2892
1098	WEIGH	Pesar	1.9615384615384615	3350
1100	COOK (SOMETHING)	Cocinar	4.379310344827586	941
1102	CLIMB	Escalar	6.111111111111111	2190
1107	GO OUT	Salir	4.5	4053
1113	WRAP	Envolver	3.269230769230769	2166
1119	DIVIDE	Dividir	2.3846153846153846	1832
1127	SEND	Enviar	2.576923076923077	2161
1135	KICK	Patear	5.269230769230769	3278
1152	BEGET	Engendrar	5.185185185185185	2067
1156	OPEN	Abrir	3.230769230769231	42
117	IMITATE	Imitar	3.8461538461538463	2661
1170	TRAP (CATCH)	Atrapar	4.384615384615385	626
1186	LAST (ENDURE)	Durar	1.6923076923076923	1875
119	DIVE	Bucear	6	750
1192	THREATEN	Amenazar	2.5384615384615383	357
1206	BARKING	Ladrar	2.5925925925925926	2884
121	SPIN	Hilar	3.076923076923077	2608
1255	SNOWING	Nevar	2.1739130434782608	3152
1261	SING	Cantar	2.5925925925925926	804
1264	CHANGE	Cambiar	3.103448275862069	790
127	EXTINGUISH	Apagar	2.1923076923076925	423
1271	DELIGHT	Complacer	2.608695652173913	1001
1275	ANSWER	Contestar	2.1153846153846154	1139
1278	VOMIT	Vomitar	3.8518518518518516	4542
1280	FALL	Caer	3.8076923076923075	769
