CONCEPTICON_ID	CONCEPTICON_GLOSS	ITALIAN	ITALIAN_VALENCE_MEAN	ITALIAN_AROUSAL_MEAN	ITALIAN_DOMINANCE_MEAN	ITALIAN_FAMILIARITY_MEAN	ITALIAN_IMAGEABILITY_MEAN	ITALIAN_CONCRETENESS_MEAN	ITALIAN_HEAD_ACTION_MEAN	ITALIAN_FOOT_LEG_ACTION_MEAN	ITALIAN_HAND_ARM_ACTION_MEAN	ITALIAN_MOUTH_THROAT_ACTION_MEAN	ITALIAN_TORSO_ACTION_MEAN	ITALIAN_INTEROCEPTIVE_MEAN	ITALIAN_GUSTATORY_MEAN	ITALIAN_OLFACTORY_MEAN	ITALIAN_HAPTIC_MEAN	ITALIAN_AUDITORY_MEAN	ITALIAN_VISUAL_MEAN	ITALIAN_PERCEPTUAL_STRENGTH_MAX	ITALIAN_PERCEPTUAL_EXCLUSIVITY	ITALIAN_PERCEPTUAL_DOMINANT	ITALIAN_ACTION_STRENGTH_MAX	ITALIAN_ACTION_EXCLUSIVITY	ITALIAN_ACTION_DOMINANT	ITALIAN_SENSORIMOTOR_STRENGTH_MAX	ITALIAN_SENSORIMOTOR_EXCLUSIVITY	ITALIAN_SENSORIMOTOR_DOMINANT	ITALIAN_POS	LINE_IN_SOURCE
2643	INK	inchiostro	5.470588235294118	4.5588235294117645	5.852941176470588	7.75	8.25	8.05	1.55	0	3.55	0.05263157894736842	0.15789473684210525	0.45	0.05263157894736842	2.25	2.55	0.10526315789473684	4.842105263157895	4.842105263157895	0.48290945447728556	vision	3.55	0.6684836471754213	hand/arm	3.55	0.3111787586673432	vision	n	414
2657	LADLE	mestolo	5.666666666666667	4.833333333333333	5.194444444444445	7.75	8.1	7.9	0.10526315789473684	0	4.55	1.8	0	0.15	2.3	1.65	4.526315789473684	0.8	3.3	4.526315789473684	0.3222640566727932	touch	4.55	0.7048512026090501	hand/arm	4.55	0.23720674989710522	hand/arm	n	522
2667	TORSO	tronco	5.090909090909091	4.704545454545454	5.045454545454546	7.25	8.25	8.65	1.1578947368421053	0.8947368421052632	1.5263157894736843	0	1.4736842105263157	0.3684210526315789	0	1.368421052631579	3.526315789473684	0.8947368421052632	3.473684210526316	3.526315789473684	0.32720930232558143	touch	1.5263157894736843	0.3020833333333333	hand/arm	1.5263157894736843	0.2401433691756272	touch	n	901
27	AIR	aria	7.3428571428571425	5.514285714285714	6.0285714285714285	7.45	5.65	4.5	3.2	1.45	2	3.65	1.5	2.05	0.3684210526315789	3.15	2.1	2.8	1.3	3.15	0.20878253791591225	smell	3.65	0.1864406779661017	mouth/throat	3.65	0.1392362661902635	mouth/throat	n	48
270	JUG	caraffa	5.714285714285714	4.514285714285714	5.228571428571429	7.2	7.45	7.25	0.3157894736842105	0	3.9	2.2	0.05263157894736842	0	1.7	0.3157894736842105	4.15	0.42105263157894735	3.65	4.15	0.3703409637341624	touch	3.9	0.6029292107404394	hand/arm	3.9	0.24842470069313174	touch	n	145
2715	DESPISE	disprezzare	2.235294117647059	5.823529411764706	4.764705882352941	5.65	5.95	4.7	2.9047619047619047	0.2	0.8095238095238095	2.1904761904761907	0.2	3.4761904761904763	1.380952380952381	1.5238095238095237	0.9523809523809523	2.0476190476190474	2.761904761904762	3.4761904761904763	0.24829931972789115	interoception	2.9047619047619047	0.4290030211480362	head	2.9047619047619047	0.1775942178626742	interoception	v	259
2770	JACKET	giacca	5.705882352941177	4.176470588235294	4.882352941176471	8.6	8.45	8.55	1.05	0.21052631578947367	3.8	0	4.2	1.1	0.3157894736842105	2.35	3.85	1.15	4.25	4.25	0.3175234760464746	vision	4.2	0.45353793691389604	torso	4.2	0.19078558771411697	vision	n	370
2819	GRASSLAND	prateria	6.613636363636363	3.6363636363636362	4.886363636363637	5.95	7.75	7.45	1.4	3.4	1.65	0.21052631578947367	1	1.65	0.10526315789473684	2.65	2.75	2.1	4.55	4.55	0.3279442181417488	vision	3.4	0.41635176915149436	foot/leg	3.4	0.20706141963957334	vision	n	667
2826	LIE (FALSEHOOD)	bugia	2.606060606060606	6.424242424242424	4.818181818181818	6.5	5.9	5.4	2.619047619047619	0	0	1.619047619047619	0.05	3.0476190476190474	0.05	0	0	2.619047619047619	1	3.0476190476190474	0.294862934807648	interoception	2.619047619047619	0.6107717934480844	head	2.619047619047619	0.2769363911726525	interoception	n	115
2872	IMPROVE (SOMETHING)	migliorare	7.942857142857143	6.942857142857143	6.942857142857143	6.95	6.6	5.3	3.8095238095238093	1.5714285714285714	2	1.619047619047619	1.8571428571428572	3.761904761904762	0.05	0.05	1.4285714285714286	1.0952380952380953	2.4285714285714284	3.761904761904762	0.341843357853743	interoception	3.8095238095238093	0.20614035087719298	head	3.8095238095238093	0.19111595255386105	head	v	526
