CONCEPTICON_ID	CONCEPTICON_GLOSS	FRENCH	FRENCH_RT_MEAN	FRENCH_RT_ZSCORE	LINE_IN_SOURCE
1997	PRESERVE	préserver	649.5	-0.459292208059234	27984
2	DUST	poussière	633.666666666667	-0.564219501775811	27662
2001	PAINTING	dessiner	647.541666666667	-0.587519696210266	10856
2002	DITCH	fossé	686.782608695652	-0.264022155080477	16609
2003	FLOW	couler	692.2	-0.354497929362314	8431
2005	MASK	masque	680.565217391304	-0.430453311751312	22515
2006	FILL	remplir	608.363636363636	-0.669100581898857	30797
2008	RESCUE	sauver	614.791666666667	-0.597603053968864	33000
2009	DOG	chien	640.510204081633	-0.541799954610489	6292
2012	COLLAR	col	721.227272727273	-0.131230838041069	6842
2013	BAIT	appât	730.95238095238	-0.0311557042605772	2001
2014	GO DOWN (DESCEND)	descendre	693.08	-0.309326758182718	10678
2015	MAKE DRY	sécher	612.52	-0.615763009521019	33187
2016	JEALOUSY	jalousie	634.25	-0.603959280653993	20716
2017	MIX	mélanger	556.375	-0.837313772597967	22772
202	STRENGTH	force	616.285714285714	-0.709349350706883	16511
2020	PLAINTIFF	plaignant	722.25	-0.06955221139436	26911
2023	CROWD	foule	573.782608695652	-0.753835176488813	16660
204	AGAIN	encore	642.56	-0.515076476199763	13352
2043	PEACH	pêche	605.458333333333	-0.66860301483688	25989
2045	COLUMN	colonne	610.857142857143	-0.613303042818053	6925
2052	BUCKET	seau	659.181818181818	-0.504704165656192	33174
2058	STOOL	escabeau	801.944444444444	0.550825620498958	14424
2071	LAY (VERB)	coucher	671.391304347826	-0.60157109535982	8399
2075	BROOD (VERB)	couver	853.75	0.542087160136844	8602
208	NASAL MUCUS (SNOT)	morve	759.428571428571	0.396352860369826	23671
2099	CHILD	enfant	582.84	-0.805184428253727	13437
21	TASTE (SOMETHING)	goûter	558.541666666667	-0.856201582403905	17847
210	LIFE	vie	571.95652173913	-0.71814554385691	37773
212	FIELD	champ	610.24	-0.559996101708201	5871
213	FIN	nageoire	755.791666666667	0.0718169564284995	24000
2135	TRADE OR BARTER	échange	648.190476190476	-0.725065675575705	12162
214	STRETCH	étendre	777.608695652174	0.0478690897909896	14720
2159	GROUND	sol	602.869565217391	-0.649549818203509	33854
216	MOVIE	film	541.84	-1.04201107647965	16117
2165	SLOWLY	doucement	577.92	-0.697221804073362	11891
218	FINE (PENALTY)	amende	630.272727272727	-0.618410438528261	1529
2189	DUGOUT	pirogue	844.85	0.741567724923554	26830
2190	TASTE	goût	597.086956521739	-0.553693549178929	17841
221	FIRE	feu	602.769230769231	-0.817640924647631	15958
223	THRESHING-FLOOR	aire	698.0	-0.176663193239105	1211
224	MORTAR	mortier	774.5	0.247476843546272	23660
2243	REPAIR	réparer	594.608695652174	-0.660744389519526	31071
2246	BELL	cloche	608.461538461538	-0.544107640886879	6693
2247	CATERPILLAR	chenille	702.909090909091	-0.011432122746638	6188
225	PESTLE	pilon	996.923076923077	1.08562509936748	26733
2252	PATH	sentier	628.791666666667	-0.357253959753118	33377
2259	FLESH	chair	644.541666666667	-0.421538321337087	5834
2260	FEMALE (OF PERSON)	femelle	639.041666666667	-0.432564657030031	15841
2261	MALE (OF PERSON)	mâle	611.708333333333	-0.693262987088029	22104
227	FISH	poisson	646.583333333333	-0.32004666088647	27249
2273	LEECH	sangsue	850.166666666667	0.746653351563546	32865
228	CARVE	tailler	738.142857142857	-0.0971944541163158	35264
2284	CLEARING	clairière	697.090909090909	-0.0904691975612172	6577
2292	GLASSES	lunettes	597.615384615385	-0.840841280518187	21876
2297	DUSK	crépuscule	653.083333333333	-0.252393176747503	8793
2298	VIRGIN	vierge	572.125	-0.789391424150458	37807
230	SWEEP	balayer	621.565217391304	-0.424012366250055	3474
231	SHAVE	raser	626.04347826087	-0.392967919481416	29451
232	FLEA	puce	601.208333333333	-0.685980378777189	28737
2329	LACK (NOT HAVE)	manquer	705.416666666667	-0.0637799936617265	22278
2334	MELT	fondre	659.565217391304	-0.523912585547162	16488
234	PADDLE	pagaie	902.368421052632	0.924078151295269	25250
2348	CRAB	crabe	614.166666666667	-0.677621585590313	8629
2349	SHRIMP	crevette	622.954545454545	-0.604062406127416	8837
2352	DRAGONFLY	libellule	742.6	-0.0542771762579215	21476
2353	CICADA	cigale	637.833333333333	-0.440829194178055	6462
2354	CRICKET	cricket	688.045454545455	-0.235682161810827	8859
2364	PEANUT	cacahuète	727.217391304348	-0.143244946955119	5042
