CONCEPTICON_ID	CONCEPTICON_GLOSS	DUTCH	DUTCH_AROUSAL_MEAN	DUTCH_VALENCE_MEAN	DUTCH_VALENCE_STRENGTH	DUTCH_VALENCE_NEUTRAL	DUTCH_HAPPINESS_MEAN	DUTCH_ANGER_MEAN	DUTCH_FEAR_MEAN	DUTCH_SADNESS_MEAN	DUTCH_DISGUST_MEAN	DUTCH_SURPRISE_MEAN	DUTCH_EMOTION_DOMINANT	DUTCH_POS	LINE_IN_SOURCE
100	FAITHFUL	trouw	3.1875	4.315789473684211	positive	valenced	3.25	1.125	1.375	1.2857142857142858	1.125	1.625	Happiness	N	3670
1002	STATUE	standbeeld	2.375	2.9473684210526314	negative	neutral	1.3333333333333333	1	1	1	1	1.0833333333333333	Happiness	N	1909
1006	BRICK	baksteen	2.7058823529411766	3.0526315789473686	positive	neutral	1.0909090909090908	1.0909090909090908	1.0909090909090908	1	1	1	Joint	N	3356
1007	COW	koe	2.857142857142857	2.9473684210526314	negative	neutral	1.1636363636363638	1	1.1818181818181819	1.0909090909090908	1.4363636363636365	1	Disgust	N	94
1011	BRIDGE	brug	2.8	3.0526315789473686	positive	neutral	1.125	1.125	1.875	1.1428571428571428	1.25	1.125	Fear	N	724
1013	FRESHWATER EEL	paling	2.625	2.9444444444444446	negative	neutral	1.25	1	1	1	1.9166666666666667	1	Disgust	N	6654
1019	RIGHT	rechts	2.8	2.8947368421052633	negative	neutral	1.3636363636363635	1.6363636363636365	1.4545454545454546	1.4545454545454546	1.7272727272727273	1	Disgust	ADJ	2269
1020	HANDKERCHIEF	zakdoek	2.6	3	neutral	neutral	1.08	1.1	1.28	2.02	1.2	1	Sadness	N	220
1025	WHISTLE	fluiten	2.8666666666666667	3.5789473684210527	positive	neutral	3.3428571428571425	1.2857142857142858	1	1	1	1.342857142857143	Happiness	WW	1529
1030	NECESSARY	nodig	3	3.111111111111111	positive	neutral	1.6666666666666667	1.4444444444444444	1.7777777777777777	1.3333333333333333	1.1111111111111112	1.2222222222222223	Fear	ADJ	3493
1035	GOOD	goed	2.7857142857142856	4.3	positive	valenced	4.0285714285714285	1	1	1	1	1	Happiness	ADJ	62
1038	TEACHER	leraar	3.235294117647059	3	neutral	neutral	1.8545454545454545	1.1454545454545455	1.4181818181818182	1.0727272727272728	1.0727272727272728	1.1636363636363638	Happiness	N	2342
1040	HAIR	haar	2.5714285714285716	3.1052631578947367	positive	neutral	3.2222222222222223	1.2222222222222223	1.3333333333333333	1.3333333333333333	1.3333333333333333	1.5555555555555556	Happiness	N	122
1044	PILLOW	kussen	3.2142857142857144	4.45	positive	valenced	3.857142857142857	1	1	1	1	1.6285714285714286	Happiness	WW	420
1069	GLUE	lijmen	3.2941176470588234	2.9473684210526314	negative	neutral	1.25	1.125	1.125	1.1428571428571428	1.125	1.125	Happiness	WW	665
1070	BUS	bus	2.9375	3.1666666666666665	positive	neutral	1.25	1.125	1.25	1.1428571428571428	1.25	1.25	Joint	N	390
1088	SINK (DESCEND)	zinken	3	1.9	negative	neutral	1.125	1.25	3.25	2.2857142857142856	1.25	1.625	Fear	WW	2949
1098	WEIGH	wegen	2.9375	2.8947368421052633	negative	neutral	1.6666666666666667	1.7777777777777777	1.5555555555555556	1.3333333333333333	1.4444444444444444	1.5555555555555556	Anger	WW	3378
110	MOTOR	motor	3.4705882352941178	3	neutral	neutral	1.6666666666666667	1.1111111111111112	1.5555555555555556	1	1	1.2222222222222223	Happiness	N	1973
1102	CLIMB	klimmen	3.933333333333333	3.1052631578947367	positive	neutral	1.5833333333333333	1	1.8333333333333333	1	1	1.1666666666666667	Fear	WW	1082
1111	CAR	auto	2.857142857142857	3.3	positive	neutral	1.6181818181818182	1	1.3636363636363635	1.0909090909090908	1	1.1818181818181819	Happiness	N	105
1117	LIKE	lijken	3.1333333333333333	2.3684210526315788	negative	neutral	1	1.4545454545454546	2.6	2.5272727272727273	2.727272727272727	1.0909090909090908	Disgust	WW	4270
1120	HONEST	eerlijk	2.6	4.421052631578948	positive	valenced	4.6	1.16	1.24	1	1	1	Happiness	ADJ	1344
1123	PREGNANT	zwanger	3.3529411764705883	4.2105263157894735	positive	valenced	3.7777777777777777	1.1111111111111112	2.111111111111111	1.7777777777777777	1.1111111111111112	2.6666666666666665	Happiness	ADJ	6406
1125	BALD	kaal	2.6470588235294117	2.473684210526316	negative	neutral	1.1	1	1.3	1.7	1.2	1.2	Sadness	ADJ	1441
1129	PAINFUL	pijnlijk	3.375	1.736842105263158	negative	neutral	1	1.8909090909090909	2.6727272727272724	2.7818181818181817	1.7090909090909092	1.2727272727272727	Sadness	ADJ	4444
1133	MATCH	lucifer	3.0714285714285716	2.95	negative	neutral	1.2	1	1.3	1.1	1	1.3	Joint	N	2709
1135	KICK	schoppen	3.7142857142857144	2.1	negative	neutral	1	3.090909090909091	2.090909090909091	1.6363636363636365	1.5454545454545454	1.1818181818181819	Anger	WW	1802
1136	RABBIT	konijn	2.7857142857142856	3.6	positive	neutral	2	1	1	1	1	1.3636363636363635	Happiness	N	185
1146	AUBERGINE	aubergine	2.5714285714285716	3.2	positive	neutral	1.5454545454545454	1.1818181818181819	1.1818181818181819	1.1818181818181819	1.7272727272727273	1.1818181818181819	Disgust	N	14694
1147	PURE	puur	2.75	3.888888888888889	positive	valenced	2.4	1	1	1	1	1.1	Happiness	ADJ	7008
1150	THUNDER	donder	3.7058823529411766	2.526315789473684	negative	neutral	1	1.6666666666666667	2.4444444444444446	1.1111111111111112	1	1.6666666666666667	Fear	N	533
1154	OLIVE	olijf	2.5	3.388888888888889	positive	neutral	1.4	1.2	1.2	1.2	1.5	1.2	Disgust	N	9283
1156	OPEN	openen	3.4375	3.210526315789474	positive	neutral	1.8181818181818181	1	1.3636363636363635	1.0909090909090908	1	2.090909090909091	Surprise	WW	1641
1168	HAWTHORN	meidoorn	2.7857142857142856	3.05	positive	neutral	1.2222222222222223	1	1	1	1	1.1111111111111112	Happiness	N	16528
1171	MIRROR	spiegel	2.8	3.210526315789474	positive	neutral	1.4	1	1.1	1	1.1	1.2	Happiness	N	405
1181	PALM TREE	palmboom	2.2857142857142856	3.75	positive	valenced	3.18	1	1	1	1	1.26	Happiness	N	6493
119	DIVE	duiken	3.764705882352941	3.1052631578947367	positive	neutral	2	1.1818181818181819	1.7272727272727273	1.1818181818181819	1.1818181818181819	1.8181818181818181	Happiness	WW	3824
1190	HARE	haas	3.4375	3.2777777777777777	positive	neutral	1.8	1.2	1.3	1.2	1.2	1.8	Joint	N	945
1193	STEAM	damp	2.7142857142857144	3.05	positive	neutral	1.125	1.125	1.25	1.1428571428571428	1.375	1.25	Disgust	N	4726
1198	MANY	veel	3.2142857142857144	3.1578947368421053	positive	neutral	1.5454545454545454	1.3636363636363635	1.2727272727272727	1.0909090909090908	1.2727272727272727	1.1818181818181819	Happiness	Function	190
1200	HUSBAND	echtgenoot	2.9375	3.789473684210526	positive	valenced	2.7	1	1	1	1	1.2	Happiness	N	5199
1201	FEATHER	veer	2.588235294117647	3.0526315789473686	positive	neutral	1.7272727272727273	1	1	1	1	1.2727272727272727	Happiness	N	2359
1202	BIG	groot	3.125	3.4210526315789473	positive	neutral	1.8	1	1.2	1.1	1	1.3	Happiness	ADJ	115
1204	BARK	schors	2.5294117647058822	2.9473684210526314	negative	neutral	1.125	1.125	1.125	1.1428571428571428	1.125	1.125	Happiness	N	3852
1206	BARKING	blaffen	4	2.3684210526315788	negative	neutral	1.4545454545454546	2.4363636363636365	2.1454545454545455	1.2545454545454546	1.2727272727272727	1.5090909090909093	Anger	WW	555
1207	YOUNG	jong	3.2	3.8421052631578947	positive	valenced	3.5555555555555554	1.3333333333333333	1.5555555555555556	1.4444444444444444	1	1.4444444444444444	Happiness	ADJ	1611
1208	CAT	kat	2.5	3.7	positive	valenced	3.6666666666666665	1.1111111111111112	1.2222222222222223	1.3333333333333333	1.2222222222222223	1.3333333333333333	Happiness	N	43
1209	I	ik	2.6875	3.3333333333333335	positive	neutral	2.4444444444444446	1	1	1	1	1	Happiness	Function	8
121	SPIN	spinnen	2.7333333333333334	2.736842105263158	negative	neutral	1.5454545454545454	1.4545454545454546	2.8181818181818183	1.3636363636363635	3.090909090909091	1.7272727272727273	Disgust	N	2248
1210	HEAVY	zwaar	3.2142857142857144	2.2	negative	neutral	1.1111111111111112	1.4444444444444444	1.8888888888888888	2.2222222222222223	1.3333333333333333	1.4444444444444444	Sadness	ADJ	1042
1215	THOU	jij	2.7333333333333334	3.263157894736842	positive	neutral	3.057142857142857	1.6285714285714286	1.6285714285714286	2.0571428571428574	1.4857142857142858	1.6285714285714286	Happiness	Function	247
1216	MOTHER	moeder	2.6875	3.9444444444444446	positive	valenced	2.625	1.25	1	1.125	1	1.25	Happiness	N	56
1217	FATHER	vader	3	3.473684210526316	positive	neutral	2.8181818181818183	1.2727272727272727	1.3636363636363635	1.4545454545454546	1.0909090909090908	1	Happiness	N	55
1220	TAIL	staart	2.5	3.0555555555555554	positive	neutral	1.6	1	1	1	1	1	Happiness	N	345
1221	NOSE	neus	2.7857142857142856	3.05	positive	neutral	1.25	1	1	1	1.5	1.375	Disgust	N	49
1223	HEART	hart	3.176470588235294	3.789473684210526	positive	valenced	2.3	1.2	1.4	1.2	1.2	1.2	Happiness	N	795
1225	DAY (NOT NIGHT)	dag	2.5714285714285716	3.3	positive	neutral	2.5555555555555554	1.2222222222222223	1.1111111111111112	1.2222222222222223	1.2222222222222223	1.7777777777777777	Happiness	N	166
1226	YEAR	jaar	2.75	3.1578947368421053	positive	neutral	1.2222222222222223	1	1.1111111111111112	1.1111111111111112	1	1.1111111111111112	Happiness	N	164
1228	EARTH (SOIL)	aarde	2.75	3.210526315789474	positive	neutral	2.4545454545454546	1.1818181818181819	1.4545454545454546	1.2727272727272727	1.1818181818181819	1.5454545454545454	Happiness	N	910
1229	OLD	oud	2.125	2.5555555555555554	negative	neutral	1.125	1.25	1.875	1.8571428571428572	1.375	1.25	Fear	ADJ	548
123	FOREHEAD	voorhoofd	2.6875	2.8421052631578947	negative	neutral	1	1	1	1	1	1	Joint	N	957
1230	DIRTY	vies	3.235294117647059	1.8421052631578947	negative	neutral	1	2.109090909090909	1.6363636363636365	1.3636363636363635	4.381818181818182	1.2727272727272727	Disgust	ADJ	217
1231	NEW	nieuw	3.2666666666666666	3.6842105263157894	positive	valenced	3.28	1	1.1800000000000002	1	1	2.46	Happiness	ADJ	1346
1233	NIGHT	nacht	2.1176470588235294	3.0526315789473686	positive	neutral	1.6	1	1.9	1.3	1	1.3	Fear	N	222
