CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	SPANISH_VALENCE_MEAN	SPANISH_AROUSAL_MEAN	SPANISH_DOMINANCE_MEAN	SPANISH_VALENCE_MEAN_FEMALE	SPANISH_AROUSAL_MEAN_FEMALE	SPANISH_DOMINANCE_MEAN_FEMALE	SPANISH_VALENCE_MEAN_MALE	SPANISH_AROUSAL_MEAN_MALE	SPANISH_DOMINANCE_MEAN_MALE	SPANISH_CONCRETENESS_MEAN_LEXESP	SPANISH_IMAGEABILITY_MEAN_LEXESP	SPANISH_POS	LINE_IN_SOURCE
1002	STATUE	estatua	5.322222222222222	3.9444444444444446	4.9222222222222225	5.442857142857143	4.1571428571428575	5.1	4.9	3.2	4.3			N	381
1007	COW	vaca	5.411111111111111	4.566666666666666	4.6	5.414285714285715	4.6571428571428575	4.671428571428572	5.4	4.25	4.35			N	990
1029	JEWEL	joya	6.511111111111111	5.322222222222222	5.511111111111111	6.557142857142857	5.271428571428571	5.542857142857143	6.35	5.5	5.4			N	553
1035	GOOD	bueno	7.9222222222222225	4.866666666666666	6.533333333333333	7.985714285714286	4.7	6.357142857142857	7.7	5.45	7.15			A	141
1044	PILLOW	almohada	6.788888888888889	3.1	6.288888888888889	6.7	3.0714285714285716	6.428571428571429	7.1	3.2	5.8			N	45
1054	SMALLPOX	viruela	1.7666666666666666	5.044444444444444	2.977777777777778	1.7	4.928571428571429	2.914285714285714	2.0	5.45	3.2			N	1026
1070	BUS	autobús	4.511111111111111	5.0	4.433333333333334	4.442857142857143	5.0	4.442857142857143	4.75	5.0	4.4			N	96
1092	HOPE	esperanza	8.11111111111111	6.588888888888889	5.788888888888889	8.114285714285714	6.671428571428572	5.757142857142857	8.1	6.3	5.9			N	372
1096	SONG	canción	8.011111111111111	6.611111111111111	6.444444444444445	7.942857142857143	6.442857142857143	6.557142857142857	8.25	7.2	6.05			N	161
1098	WEIGH	pesar	3.0444444444444443	5.411111111111111	4.333333333333333	2.8285714285714287	5.3	4.2	3.8	5.8	4.8			N/V	773
1104	NURSE	enfermera	4.833333333333333	5.655555555555556	4.7444444444444445	4.828571428571428	5.6	4.828571428571428	4.85	5.85	4.45			N	348
1110	SHARK	tiburón	3.066666666666667	7.377777777777778	3.4555555555555557	3.057142857142857	7.485714285714286	3.257142857142857	3.1	7.0	4.15			N	950
1111	CAR	coche	6.666666666666667	5.833333333333333	4.933333333333334	6.685714285714286	5.814285714285714	4.7	6.6	5.9	5.75			N	209
1114	BULLET	bala	2.011111111111111	7.177777777777778	3.588888888888889	1.8571428571428572	7.1571428571428575	3.642857142857143	2.55	7.25	3.4			N	107
1120	HONEST	honesto	7.522222222222222	5.022222222222222	6.088888888888889	7.642857142857143	4.885714285714286	6.271428571428571	7.1	5.5	5.45			A	491
1134	DIVORCE	divorcio	2.2777777777777777	6.455555555555556	3.6444444444444444	2.1857142857142855	6.4714285714285715	3.757142857142857	2.6	6.4	3.25			N	325
1136	RABBIT	conejo	6.177777777777778	5.022222222222222	4.811111111111111	6.385714285714286	4.942857142857143	4.771428571428571	5.45	5.3	4.95			N	223
1142	URINE	orina	2.8222222222222224	4.644444444444445	5.288888888888889	2.942857142857143	4.8	5.114285714285714	2.4	4.1	5.9			N	724
1145	SWAMP	pantano	3.966666666666667	4.811111111111111	3.9444444444444446	3.8	4.814285714285714	3.9285714285714284	4.55	4.8	4.0			N	737
1160	THIEF	ladrón	1.9333333333333333	6.977777777777778	3.411111111111111	1.7714285714285714	7.214285714285714	3.6142857142857143	2.5	6.15	2.7			N	561
1199	WIFE	esposa	5.611111111111111	4.877777777777778	5.411111111111111	5.371428571428571	4.857142857142857	5.428571428571429	6.45	4.95	5.35			N	376
1200	HUSBAND	esposo	6.033333333333333	5.5	5.411111111111111	6.057142857142857	5.442857142857143	5.6	5.95	5.7	4.75			N	377
1207	YOUNG	joven	7.711111111111111	6.6	4.933333333333334	7.728571428571429	6.6	5.014285714285714	7.65	6.6	4.65			A/N	551
1208	CAT	gato	6.133333333333334	4.944444444444445	5.144444444444445	6.1571428571428575	5.314285714285714	5.042857142857143	6.05	3.65	5.5			N	442
1216	MOTHER	madre	8.188888888888888	5.188888888888889	5.7444444444444445	8.257142857142858	4.928571428571429	5.728571428571429	7.95	6.1	5.8			N	597
1217	FATHER	padre	7.0	4.855555555555555	4.944444444444445	7.242857142857143	4.985714285714286	4.9714285714285715	6.15	4.4	4.85			N	731
1219	WORM	gusano	2.988888888888889	5.066666666666666	4.6	3.1285714285714286	5.0	4.714285714285714	2.5	5.3	4.2			N	469
122	CART	carro	4.533333333333333	4.177777777777778	5.2555555555555555	4.542857142857143	4.228571428571429	5.357142857142857	4.5	4.0	4.9			N	173
1222	PENIS	pene	5.933333333333334	6.544444444444444	5.544444444444444	6.114285714285714	6.385714285714286	5.5	5.3	7.1	5.7			N	760
1223	HEART	corazón	6.644444444444445	6.222222222222222	4.844444444444444	6.785714285714286	6.057142857142857	4.985714285714286	6.15	6.8	4.35			N	236
1230	DIRTY	sucio	1.9111111111111112	5.622222222222222	5.5	1.8571428571428572	5.685714285714286	5.6	2.1	5.4	5.15			A	925
1234	SMOOTH	liso	5.4	4.511111111111111	5.2	5.414285714285715	4.385714285714286	5.228571428571429	5.35	4.95	5.1			A	584
1245	BUTTER	mantequilla	5.2	4.033333333333333	5.4	5.2	3.9857142857142858	5.4714285714285715	5.2	4.2	5.15			N	615
1251	BELLY	estómago	4.388888888888889	4.733333333333333	4.633333333333334	4.5	4.671428571428572	4.642857142857143	4.0	4.95	4.6			N	383
1262	BROTHER	hermano	7.811111111111111	5.0777777777777775	5.855555555555555	7.714285714285714	5.1571428571428575	5.628571428571429	8.15	4.8	6.65			N	481
1266	BRIDE	novia	6.633333333333334	5.788888888888889	5.044444444444444	6.5	5.757142857142857	5.0	7.1	5.9	5.2			N	697
1276	AUTUMN	otoño	5.166666666666667	4.444444444444445	4.188888888888889	5.2	4.428571428571429	4.4714285714285715	5.05	4.5	3.2			N	728
1277	HAND	mano	6.044444444444444	5.1	6.088888888888889	6.042857142857143	5.0	5.9714285714285715	6.05	5.45	6.5			N	612
1281	PRISON	cárcel	1.8666666666666667	5.177777777777778	3.411111111111111	1.8	5.228571428571429	3.3857142857142857	2.1	5.0	3.5			N	169
1284	BANK	banco	5.144444444444445	4.377777777777778	5.088888888888889	5.4	4.3	5.0285714285714285	4.25	4.65	5.3			N	109
1287	COLD	frío	3.2111111111111112	4.977777777777778	4.333333333333333	3.3714285714285714	4.685714285714286	4.614285714285714	2.65	6.0	3.35			A/N	431
1289	BABY	bebé	7.6	5.544444444444444	5.311111111111111	7.642857142857143	5.6571428571428575	5.485714285714286	7.45	5.15	4.7			N	120
129	CHOKE	ahogarse	1.3222222222222222	7.611111111111111	2.411111111111111	1.2428571428571429	7.5285714285714285	2.3	1.6	7.9	2.8			V	37
1296	WALKING STICK	bastón	3.8333333333333335	4.088888888888889	5.188888888888889	4.042857142857143	4.085714285714285	5.271428571428571	3.1	4.1	4.9			N	118
13	DECEIT	engaño	1.8888888888888888	6.611111111111111	3.577777777777778	1.8	6.557142857142857	3.5714285714285716	2.2	6.8	3.6			N	351
1301	FOOT	pie	4.666666666666667	4.5777777777777775	5.188888888888889	4.614285714285714	4.771428571428571	5.2	4.85	3.9	5.15			N	779
1302	FORK	tenedor	4.8	4.433333333333334	5.555555555555555	4.685714285714286	4.3	5.6571428571428575	5.2	4.9	5.2			N	940
1303	FINGER	dedo	4.855555555555555	4.055555555555555	5.466666666666667	4.914285714285715	4.057142857142857	5.4	4.65	4.05	5.7			N	275
1306	QUEEN	reina	4.911111111111111	4.7444444444444445	4.655555555555556	4.928571428571429	4.8428571428571425	4.9714285714285715	4.85	4.4	3.55			N	847
1315	RADIO	radio	6.288888888888889	5.522222222222222	5.866666666666666	6.442857142857143	5.7	6.128571428571429	5.75	4.9	4.95			N	828
1321	BOTTLE	botella	5.1	4.677777777777778	5.444444444444445	4.985714285714286	4.7	5.414285714285715	5.5	4.6	5.55			N	133
1325	FRIEND	amigo	8.411111111111111	6.733333333333333	6.044444444444444	8.571428571428571	6.557142857142857	6.0	7.85	7.35	6.2			N	55
1335	WHITE	blanco	6.1	3.988888888888889	5.5	6.2	4.085714285714285	5.5	5.75	3.65	5.5			A/N	126
1336	EAT	comer	7.177777777777778	5.533333333333333	5.822222222222222	7.1	5.371428571428571	5.9	7.45	6.1	5.55			V	218
1337	PIG	cerdo	3.7111111111111112	4.666666666666667	4.522222222222222	3.742857142857143	4.885714285714286	4.5	3.6	3.9	4.6			N/A	185
1338	PEACE	paz	8.11111111111111	3.488888888888889	5.711111111111111	8.114285714285714	3.4714285714285715	5.828571428571428	8.1	3.55	5.3			N	753
1349	CHURCH	iglesia	3.7666666666666666	4.311111111111111	4.777777777777778	3.942857142857143	4.428571428571429	5.071428571428571	3.15	3.9	3.75			N	510
1350	MONKEY	mono	5.288888888888889	5.1	4.488888888888889	5.5	5.2	4.771428571428571	4.55	4.75	3.5			A/N	658
1352	KNIFE	cuchillo	2.8555555555555556	5.677777777777778	4.644444444444445	2.8142857142857145	6.2	4.557142857142857	3.0	3.85	4.95			N	260
1361	TOOL	herramienta	4.5777777777777775	4.511111111111111	5.433333333333334	4.642857142857143	4.571428571428571	5.671428571428572	4.35	4.3	4.6			N	484
1362	STREET	calle	5.533333333333333	5.433333333333334	5.2444444444444445	5.557142857142857	5.328571428571428	5.2	5.45	5.8	5.4			N	152
1365	KITCHEN	cocina	5.711111111111111	4.933333333333334	5.611111111111111	5.914285714285715	4.957142857142857	5.728571428571429	5.0	4.85	5.2			N	210
1366	BOY	chico	7.133333333333334	6.544444444444444	5.4222222222222225	7.128571428571429	6.442857142857143	5.514285714285714	7.15	6.9	5.1			N	192
1369	GOLD	oro	6.677777777777778	5.7555555555555555	5.044444444444444	6.642857142857143	5.685714285714286	5.242857142857143	6.8	6.0	4.35			N	725
1370	MONTH	mes	5.033333333333333	4.611111111111111	4.6	5.014285714285714	4.585714285714285	4.614285714285714	5.1	4.7	4.55			N	639
1375	WINDOW	ventana	5.877777777777778	4.877777777777778	5.5777777777777775	5.985714285714286	4.9714285714285715	5.642857142857143	5.5	4.55	5.35			N	1006
