CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	VALENCE_LANGUAGE_OMEGAWIKI_NRCVAD	AROUSAL_LANGUAGE_OMEGAWIKI_NRCVAD	DOMINANCE_LANGUAGE_OMEGAWIKI_NRCVAD	VALENCE_LANGUAGE_FAMILY_OMEGAWIKI_NRCVAD	AROUSAL_LANGUAGE_FAMILY_OMEGAWIKI_NRCVAD	DOMINANCE_LANGUAGE_FAMILY_OMEGAWIKI_NRCVAD	VALENCE_MEAN_OMEGAWIKI_NRCVAD	AROUSAL_MEAN_OMEGAWIKI_NRCVAD	DOMINANCE_MEAN_OMEGAWIKI_NRCVAD	LINE_IN_SOURCE
1085	FOLLOW	follow	0.6015	0.73125	0.67125	0.578166666666667	0.718666666666667	0.651333333333333	0.6015	0.73125	0.67125	1856
1086	WORK (ACTIVITY)	work	0.6017	0.38615	0.501	0.628133333333333	0.371544444444444	0.571433333333333	0.611734693877551	0.374612244897959	0.526163265306122	3656
1087	CONCEIVE	conceive	0.734333333333333	0.530333333333333	0.730666666666667	0.734333333333333	0.530333333333333	0.730666666666667	0.734333333333333	0.530333333333333	0.730666666666667	2697
1088	SINK (DESCEND)	sink	0.447181818181818	0.6041	0.467377272727273	0.395678571428571	0.643928571428572	0.442130952380952	0.4421	0.604533333333333	0.463433333333333	5635
109	FOREIGN	foreign	0.352260869565217	0.560478260869565	0.428434782608696	0.343666666666667	0.544777777777778	0.411777777777778	0.3388	0.5346	0.4054	3903
1091	SALTY	salty	0.373222222222222	0.402444444444444	0.326888888888889	0.37825	0.40275	0.32975	0.37825	0.40275	0.32975	6560
1092	HOPE	hope	0.224	0.167	0.264	0.224	0.167	0.264	0.224	0.167	0.264	1257
1093	MIDDLE	middle	0.486	0.235	0.284	0.486	0.235	0.284	0.486	0.235	0.284	5294
1094	FASTEN	fasten	0.663	0.464	0.431	0.663	0.464	0.431	0.663	0.464	0.431	3974
1095	LET GO OR SET FREE	let go	0.6945	0.648	0.716	0.6945	0.648	0.716	0.6945	0.648	0.716	2719
1096	SONG	song	0.8145	0.652	0.535	0.829	0.636666666666667	0.496666666666667	0.8145	0.652	0.535	6181
1097	ABANDON	abandon	0.518142857142857	0.335714285714286	0.318285714285714	0.4095	0.379	0.287	0.4095	0.379	0.287	4133
1098	WEIGH	weigh	0.23	0.623	0.331	0.23	0.623	0.331	0.23	0.623	0.331	5426
110	MOTOR	motor	0.625	0.689	0.713	0.625	0.689	0.713	0.625	0.689	0.713	6809
1100	COOK (SOMETHING)	cooking	0.7	0.234	0.398	0.7	0.234	0.398	0.7	0.234	0.398	930
1101	SUFFER	suffer	0.588305882352941	0.461823529411765	0.524147058823529	0.582533333333333	0.458766666666667	0.528066666666667	0.582533333333333	0.458766666666667	0.528066666666667	4070
1102	CLIMB	climb	0.65875	0.4815	0.583	0.655	0.4968	0.5848	0.648333333333333	0.524	0.588	1865
1103	SACRIFICE	sacrifice	0.115	0.676	0.202	0.115	0.676	0.202	0.115	0.676	0.202	4238
1104	NURSE	nurse	0.68769028340081	0.470401484480432	0.501148448043185	0.666428571428571	0.457547619047619	0.483976190476191	0.667916666666667	0.465722222222222	0.487138888888889	1387
1107	GO OUT	exit	0.5315	0.55975	0.512	0.517666666666667	0.498	0.448666666666667	0.517666666666667	0.498	0.448666666666667	4067
1108	UNCOVER	uncover	0.6322	0.4738	0.591	0.6322	0.4738	0.591	0.6322	0.4738	0.591	5903
1109	WOUND	wound	0.0605	0.7495	0.347	0.0605	0.7495	0.347	0.0605	0.7495	0.347	4692
1111	CAR	car	0.541	0.565	0.521714285714286	0.563333333333333	0.590666666666667	0.542	0.563333333333333	0.590666666666667	0.542	672
1112	SUCCEED	succeed	0.667	0.509	0.6	0.667	0.509	0.6	0.667	0.509	0.6	6931
1114	BULLET	bullet	0.649	0.34725	0.40625	0.649	0.34725	0.40625	0.649	0.34725	0.40625	1542
1115	SPEECH	speech	0.4915	0.45425	0.70625	0.5404	0.3968	0.6482	0.518666666666667	0.422333333333333	0.674	2211
1117	LIKE	like	0.784349999999305	0.512703571428172	0.607874999999443	0.798502645502247	0.528433862433666	0.613052910052661	0.801322981366075	0.527142857142668	0.611074534161252	3635
1119	DIVIDE	divide	0.421217857142857	0.463203571428571	0.398050892857143	0.41373	0.46148	0.39788	0.444302083333333	0.451895833333333	0.404166666666667	1046
112	TURTLE	turtle	0.673	0.078	0.25	0.673	0.078	0.25	0.673	0.078	0.25	4924
1120	HONEST	honest	0.62	0.357	0.464	0.62	0.357	0.464	0.62	0.357	0.464	6004
1121	SECRET	secret	0.208	0.43	0.327	0.208	0.43	0.327	0.208	0.43	0.327	7134
1122	WAGES	salary	0.635	0.48	0.565	0.635	0.48	0.565	0.635	0.48	0.565	2773
1124	PIPE	pipe	0.562	0.313	0.2775	0.555	0.322	0.295	0.562	0.313	0.2775	108
1128	ORDER	order	0.669045454545454	0.374227272727273	0.775636363636364	0.671769230769231	0.36	0.758769230769231	0.666222222222222	0.371888888888889	0.771333333333333	636
113	SHORE	shore	0.803	0.458	0.483	0.803	0.458	0.483	0.803	0.458	0.483	4649
1133	MATCH	match	0.625714285714286	0.503857142857143	0.452714285714286	0.595666666666667	0.487	0.427	0.595666666666667	0.487	0.427	417
1135	KICK	kick	0.3846	0.6004	0.5082	0.31325	0.6535	0.488	0.31325	0.6535	0.488	1498
1136	RABBIT	rabbit	0.6225	0.3945	0.3445	0.6225	0.3945	0.3445	0.6225	0.3945	0.3445	6042
1139	LEOPARD	panther	0.615	0.704	0.561	0.615	0.704	0.561	0.615	0.704	0.561	4537
1140	FATIGUE	fatigue	0.543083333333333	0.638816666666667	0.634083333333333	0.47705	0.573316666666666	0.551316666666666	0.509428571428439	0.613685714285557	0.587999999999845	2907
1141	PITY	pity	0.465446428571429	0.424607142857143	0.439178571428571	0.509214285714286	0.419285714285714	0.444892857142857	0.509214285714286	0.419285714285714	0.444892857142857	2832
