CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	ENGLISH	SPANISH_HAPPINESS_MEAN	SPANISH_ANGER_MEAN	SPANISH_SADNESS_MEAN	SPANISH_FEAR_MEAN	SPANISH_DISGUST_MEAN	LINE_IN_SOURCE
1001	BLACKSMITH	herrero	blacksmith	1.1666666666666667	1.1	1.1	1.2	1.0666666666666667	1090
1002	STATUE	estatua	statue	2.0	1.1333333333333333	1.4	1.3	1.2333333333333334	873
1004	MUSCLE	músculo	muscle	2.066666666666667	1.5	1.2666666666666666	1.4333333333333333	1.7666666666666666	1512
1006	BRICK	ladrillo	brick	1.1	1.3	1.0333333333333334	1.5666666666666667	1.0333333333333334	1249
1007	COW	vaca	cow	2.533333333333333	1.0333333333333334	1.0666666666666667	1.4666666666666666	1.1666666666666667	2186
1008	BULL	toro	bull	1.3666666666666667	1.8	2.3	2.3333333333333335	1.1333333333333333	2132
1011	BRIDGE	puente	bridge	2.2666666666666666	1.3	1.3666666666666667	1.6666666666666667	1.0333333333333334	1827
1016	DRIZZLE	llovizna	drizzle	2.2413793103448274	1.3793103448275863	2.4482758620689653	1.3793103448275863	1.1724137931034482	1312
1019	RIGHT	derecha	right	1.4	1.5	1.4333333333333333	1.3	1.4333333333333333	654
1021	TOWEL	toalla	towel	1.8333333333333333	1.0	1.0333333333333334	1.0	1.3333333333333333	2118
1022	BOOTY	botín	swag	3.066666666666667	1.4333333333333333	1.2333333333333334	1.6333333333333333	1.1666666666666667	287
1029	JEWEL	joya	jewel	3.2	1.1666666666666667	1.1333333333333333	1.1666666666666667	1.1333333333333333	1234
1035	GOOD	bueno	good	4.033333333333333	1.0666666666666667	1.1333333333333333	1.1	1.0333333333333334	300
1038	TEACHER	profesor	professor	2.2	1.5666666666666667	1.3	1.4333333333333333	1.3	1806
1042	CARPENTER	carpintero	carpenter	1.8333333333333333	1.0666666666666667	1.2333333333333334	1.0666666666666667	1.0	386
1044	PILLOW	almohada	pillow	3.033333333333333	1.0333333333333334	1.2	1.0333333333333334	1.0666666666666667	92
1050	MOTHER-IN-LAW	suegra	mother-in-law	2.533333333333333	1.3666666666666667	1.5	1.7	1.2666666666666666	2053
1051	CAN	lata	can	1.6	1.3	1.1333333333333333	1.3	1.5	1262
1053	HUNTER	cazador	hunter	1.2333333333333334	3.2	2.8333333333333335	2.566666666666667	2.533333333333333	408
1054	SMALLPOX	viruela	smallpox	1.0357142857142858	1.8571428571428572	2.6785714285714284	3.8214285714285716	3.142857142857143	2249
1064	SHIELD	escudo	shield	1.8	1.7	1.7333333333333334	1.9	1.2333333333333334	848
1070	BUS	autobús	bus	1.6333333333333333	1.5	1.5666666666666667	1.4666666666666666	1.5333333333333334	199
1072	PRISONER	preso	prisoner	1.4	2.5	2.7666666666666666	3.033333333333333	1.8	1789
1075	TRAP (PITFALL)	trampa	trap	1.1	3.3666666666666667	2.6333333333333333	3.2333333333333334	2.0	2146
1092	HOPE	esperanza	hope	4.3	1.1	1.2666666666666666	1.1666666666666667	1.0333333333333334	859
1098	WEIGH	pesar	bereavement	1.5333333333333334	1.7666666666666666	2.3333333333333335	1.8333333333333333	1.5	1702
110	MOTOR	motor	engine	1.5	1.2666666666666666	1.1333333333333333	1.3333333333333333	1.0	1492
1104	NURSE	enfermera	nurse	2.8666666666666667	1.2333333333333334	1.3666666666666667	1.9333333333333333	1.1666666666666667	808
1105	CAMP	campamento	camp	3.6333333333333333	1.2	1.4666666666666666	1.4666666666666666	1.2666666666666666	344
1110	SHARK	tiburón	shark	1.1333333333333333	1.6333333333333333	1.2333333333333334	3.9	1.4	2104
1111	CAR	coche	car	2.8666666666666667	1.4	1.2333333333333334	1.8333333333333333	1.1666666666666667	478
1114	BULLET	bala	bullet	1.0666666666666667	2.533333333333333	2.7333333333333334	4.033333333333333	1.7666666666666666	222
112	TURTLE	tortuga	tortoise	2.433333333333333	1.1333333333333333	1.5666666666666667	1.1666666666666667	1.3	2135
1120	HONEST	honesto	honest	3.566666666666667	1.1666666666666667	1.2666666666666666	1.3666666666666667	1.1	1108
1123	PREGNANT	embarazada	pregnant	3.8	1.0666666666666667	1.4666666666666666	2.3	1.0333333333333334	789
1124	PIPE	pipa	pipe	2.2333333333333334	1.1333333333333333	1.1	1.0333333333333334	1.2333333333333334	1731
1133	MATCH	cerilla	match	1.4666666666666666	1.2	1.1333333333333333	2.0	1.0666666666666667	426
1134	DIVORCE	divorcio	divorce	1.3666666666666667	2.9	4.0	3.4	1.7666666666666666	746
1136	RABBIT	conejo	rabbit	3.533333333333333	1.1	1.1	1.3	1.3	531
1138	FAIRY	hada	fairy	3.1666666666666665	1.1666666666666667	1.4333333333333333	1.5333333333333334	1.0666666666666667	1069
1139	LEOPARD	leopardo	leopard	2.466666666666667	1.3	1.2666666666666666	3.6666666666666665	1.1	1277
1142	URINE	orina	urine	1.1	1.1	1.1	1.1666666666666667	3.3	1591
1145	SWAMP	pantano	swamp	1.4666666666666666	1.0333333333333334	1.3333333333333333	1.9333333333333333	1.6666666666666667	1615
1151	VEIL	velo	veil	2.033333333333333	2.033333333333333	2.4	2.5	1.7666666666666666	2201
1153	CATTLE	ganado	cattle	2.533333333333333	1.5333333333333334	1.6666666666666667	1.6333333333333333	1.5666666666666667	991
1155	CAVE	cueva	cave	1.5333333333333334	1.2666666666666666	1.6	3.066666666666667	1.6	611
1160	THIEF	ladrón	thief	1.2333333333333334	3.7	2.533333333333333	3.8666666666666667	2.6	1250
