CONCEPTICON_ID	CONCEPTICON_GLOSS	FRENCH	FRENCH_EMOTION_POLARITY	FRENCH_JOY_ASSOCIATION	FRENCH_FEAR_ASSOCIATION	FRENCH_SADNESS_ASSOCIATION	FRENCH_ANGER_ASSOCIATION	FRENCH_SURPRISE_ASSOCIATION	FRENCH_DISGUST_ASSOCIATION	LINE_IN_SOURCE
1133	MATCH	allumette	positive	0	0	0	0	0	0	2000
1135	KICK	donner un coup de pied	negative	0	0	0	1	0	0	5291
1136	RABBIT	lapin	positive	0	0	0	0	0	0	8419
1137	TENDON	tendon	positive	0	0	0	0	0	0	13227
1139	LEOPARD	léopard	negative	0	1	0	0	0	0	8486
1141	PITY	pitié	negative	0	0	1	0	0	0	10420
1143	OVEN	four	positive	0	0	0	0	0	0	6797
1144	WITNESS	témoin	positive	0	0	0	0	0	0	13212
1145	SWAMP	marais	negative	0	1	0	0	0	1	937
1147	PURE	pur	positive	0	0	0	1	0	0	1254
1149	ORPHAN	orphelin	negative	0	1	1	0	0	0	9803
1150	THUNDER	tonnerre	negative	0	1	0	1	1	0	13398
1153	CATTLE	bétail	positive	0	0	0	0	0	0	2816
1154	OLIVE	olive	positive	0	0	0	0	0	0	9703
1155	CAVE	grotte	negative	0	1	1	0	0	0	7272
1156	OPEN	ouvrir	positive	0	0	0	0	0	0	9835
1159	FART	péter	positive	0	0	0	0	0	0	10254
1160	THIEF	voleur	negative	0	1	1	1	1	1	1579
1162	INTENTION	but	positive	0	0	0	0	0	0	3144
117	IMITATE	imiter	negative	0	0	0	0	0	0	7604
1175	GHOST	fantôme	negative	0	1	0	0	1	0	6511
1176	SPADE	bêche	positive	0	0	0	0	0	0	2782
1178	NOSTRIL	narine	negative	0	0	0	0	0	1	9393
118	BEWITCH	ensorceler	negative	0	1	0	0	0	0	5909
1181	PALM TREE	palmier	positive	0	0	0	0	0	0	9886
1183	PALM OF HAND	paume	positive	0	0	0	0	0	0	10079
1184	DIMINISH	diminuer	negative	0	0	1	0	0	0	459
1185	VULTURE	vautour	negative	0	1	0	0	0	1	13818
1187	GOOSE	oie	negative	0	0	0	0	0	0	9695
1188	CHARCOAL	charbon de bois	negative	0	0	0	0	0	1	3507
1189	ULCER	ulcère	negative	0	1	1	1	0	1	13714
119	DIVE	plonger	positive	0	1	0	0	1	0	1168
1190	HARE	lièvre	negative	0	1	0	0	0	0	8533
1192	THREATEN	menacer	negative	0	1	0	1	0	1	8985
1197	BABOON	babouin	negative	0	0	0	0	0	1	2631
1198	MANY	nombreux	positive	0	0	0	0	0	0	9509
1199	WIFE	épouse	positive	0	0	0	0	0	0	561
12	MIDDAY	midi	positive	0	0	0	0	0	0	9115
1200	HUSBAND	époux	positive	0	0	0	0	0	0	6019
1201	FEATHER	plume	positive	0	0	0	0	0	0	10500
1202	BIG	grand	positive	0	0	0	0	0	0	7180
1203	LONG	long	positive	0	0	0	0	0	0	8629
1204	BARK	écorce	negative	0	1	0	1	0	1	5468
1205	TONGUE	langue	positive	0	0	0	0	0	0	8414
1206	BARKING	aboyer	negative	0	1	0	1	0	0	1679
1207	YOUNG	jeune	positive	0	0	0	0	1	0	8260
1208	CAT	chat	positive	0	0	0	0	0	0	3537
1210	HEAVY	lourd	negative	0	0	1	1	0	0	906
1216	MOTHER	mère	positive	0	0	1	0	0	0	9019
1217	FATHER	père	positive	0	0	0	0	0	0	1122
1219	WORM	ver	negative	0	0	0	0	1	1	13864
122	CART	chariot	positive	0	0	0	0	0	0	3516
1220	TAIL	queue	negative	0	0	1	0	0	0	11118
1221	NOSE	nez	positive	0	0	0	0	0	1	9482
1225	DAY (NOT NIGHT)	jour	positive	0	0	0	0	0	0	8291
1226	YEAR	année	positive	0	0	0	0	0	0	2135
1227	BOARD	planche	positive	0	0	0	0	0	0	10441
1228	EARTH (SOIL)	terre	positive	0	0	0	0	0	0	13257
1229	OLD	ancien	negative	0	0	0	0	0	0	60
1230	DIRTY	sale	negative	0	0	0	0	0	1	12052
1231	NEW	nouveau	positive	0	0	0	0	0	0	1050
1232	WARM	chaud	positive	0	0	0	1	0	0	3551
1233	NIGHT	nuit	negative	0	1	1	0	0	0	9609
1234	SMOOTH	lisse	positive	0	0	0	0	0	0	8574
124	THORN	épine	negative	0	1	0	0	0	1	6000
1241	SOME	un peu	positive	0	0	0	0	0	0	13722
1243	WIDE	large	positive	0	0	0	0	0	0	8424
1244	THICK	épais	negative	0	0	0	0	0	0	5974
1245	BUTTER	beurre	positive	0	0	0	0	0	0	2819
1246	SMALL	petit	negative	0	0	1	0	0	0	10266
1247	EAR	oreille	positive	0	0	0	0	0	0	9777
125	SWEAT (SUBSTANCE)	sueur	negative	0	1	0	0	0	1	12957
1251	BELLY	ventre	positive	0	0	0	0	0	0	13862
1252	HOUSE	maison	positive	0	0	0	0	0	0	8729
1256	HEAD	tête	positive	0	0	0	0	0	0	13278
1257	WING	aile	positive	0	0	0	0	0	0	1928
1258	FINGERNAIL	ongle	negative	0	0	0	0	0	1	9726
1259	WEDDING	mariage	positive	0	0	0	0	0	0	8848
1262	BROTHER	frère	positive	0	0	0	0	0	0	6867
1264	CHANGE	changer	positive	0	1	0	0	0	0	3488
1265	HIGH	haut	negative	0	0	0	0	0	0	733
1267	NARROW	étroit	negative	0	1	1	0	0	0	6200
127	EXTINGUISH	éteindre	negative	0	0	1	1	0	0	6141
1272	AUNT	tante	positive	0	0	0	0	0	0	13157
1273	CANDLE	bougie	positive	0	0	0	0	0	0	2985
1274	SALT	sel	negative	0	0	0	0	0	1	12455
1275	ANSWER	répondre	positive	0	0	0	0	0	0	11659
1276	AUTUMN	automne	negative	0	1	1	0	0	0	2532
1277	HAND	main	positive	0	0	0	0	0	0	8723
1278	VOMIT	vomir	negative	0	0	0	0	0	1	14054
1279	FAT (OBESE)	gras	negative	0	0	0	0	0	1	710
1280	FALL	tomber	negative	0	1	1	0	0	0	13371
1281	PRISON	prison	negative	0	1	1	1	0	0	10863
1284	BANK	banque	positive	0	0	0	0	0	0	2703
1285	IMPORTANT	important	positive	0	0	0	0	0	0	7665
1287	COLD	froid	negative	0	0	1	1	0	0	670
1288	CAP	casquette	positive	0	0	0	0	0	0	3347
1289	BABY	bébé	positive	1	0	0	0	0	0	2779
129	CHOKE	étouffer	negative	0	1	1	1	0	0	576
1291	BACK	dos	positive	0	0	0	0	0	0	5307
1292	BAD	mauvais	negative	0	1	1	1	0	1	8916
1294	ZERO	zéro	negative	0	0	1	0	0	0	1584
1297	LEG	jambe	positive	0	0	0	0	0	0	8223
1298	NEWSPAPER	journal	positive	0	0	0	0	0	0	8292
1299	COFFEE	café	positive	0	0	0	0	0	0	3182
13	DECEIT	tromperie	negative	0	0	0	1	0	1	1520
1300	COUNTRY	pays	positive	0	0	0	0	0	0	10091
1301	FOOT	pied	positive	0	0	0	0	0	0	10363
1302	FORK	fourchette	positive	0	0	0	0	0	0	6800
