CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	SPANISH_VALENCE_MEAN	SPANISH_AROUSAL_MEAN	SPANISH_CONCRETENESS_MEAN	SPANISH_IMAGEABILITY_MEAN	SPANISH_CONTEXT_AVAILABILITY_MEAN	SPANISH_FAMILIARITY_MEAN	SPANISH_POS	LINE_IN_SOURCE
1004	MUSCLE	músculo	5.6	4.77272727272727	5.47619047619048	5.63636363636364	5.68181818181818		N	949
1006	BRICK	ladrillo	4.65	3.65	6.72727272727273	6.72727272727273	5.68181818181818		V N	777
1008	BULL	toro	4.28571428571429	6.75	6.6	6.76190476190476	6.36363636363636		N	1320
1011	BRIDGE	puente	5.73913043478261	4.6	5.71428571428571	6.63636363636364	5.81818181818182		N	1122
1016	DRIZZLE	llovizna	5.13636363636364	3.2	5.54545454545455	6.04761904761905	4.95833333333333		V N	819
1019	RIGHT	derecha	4.95454545454545	4.38095238095238	5.13636363636364	3.81818181818182	4.95454545454545		A N	420
1022	BOOTY	botín	5.85	5.22727272727273	4.95454545454545	5.5	3.9		N	188
1029	JEWEL	joya	6.11538461538462	4.75	4.42857142857143	6.7	5.86363636363636		N	768
1040	HAIR	cabello	6.15	4.09523809523809	6.31818181818182	6.59090909090909	6.34782608695652		N	198
1051	CAN	lata	5	3.95	6.2	6.40909090909091	5.72727272727273		N A V	784
1070	BUS	autobús	4.71428571428571	4.90909090909091	6.77272727272727	6.8	6.27272727272727		N	133
1075	TRAP (PITFALL)	trampa	2.57692307692308	5.7	4.33333333333333	3.65	3.27272727272727		N	1329
1092	HOPE	esperanza	7.69565217391304	4.65	2.5	2.3	4.5		N	551
1096	SONG	canción	7.54545454545455	4.63636363636364	5.1	3.9	6.40909090909091		N	221
1105	CAMP	campamento	7.04545454545455	4.65	5.47619047619048	5.40909090909091	5.18181818181818		N	214
1110	SHARK	tiburón	4	6.8	6.85	6.75	5.65		N	1305
1111	CAR	coche	5.81818181818182	5.65	6.13636363636364	6.90909090909091	6.65		N	308
1122	WAGES	salario	7.85	6.59090909090909	5.65	3.65	6.34782608695652		V N	1208
1124	PIPE	pipa	5.13636363636364	3.75	5.40909090909091	6.56521739130435	4.55		N V	1061
1134	DIVORCE	divorcio	2.68181818181818	6.4	5.19047619047619	3.65	4.95		V N	479
1145	SWAMP	pantano	5.31818181818182	4.7	5.86363636363636	5.95454545454545	5.59090909090909		N	996
1147	PURE	puro	4.85	3.55	4.15	4.77272727272727	4.35		A N	1131
1149	ORPHAN	huérfano	1.45454545454545	5.73913043478261	6.05	4.75	5.39130434782609		A N	697
1151	VEIL	velo	4.59090909090909	4.35	4.23809523809524	6	4.68181818181818		N	1362
1153	CATTLE	ganado	6.29166666666667	4.14285714285714	4.65	6	5.25		A N V	628
1155	CAVE	cueva	4.78260869565217	5.4	6.40909090909091	6.68181818181818	5.31818181818182		N	397
1160	THIEF	ladrón	2.81818181818182	7.22727272727273	5.28571428571429	5.18181818181818	5.95454545454545		A N	778
1182	NOISE	ruido	3.80952380952381	6.95	3.77272727272727	3.55	5.52173913043478		N	1201
1183	PALM OF HAND	palma	5	3.86363636363636	4.54545454545455	5.85	5.75		N V	992
1200	HUSBAND	marido	6.03846153846154	5.4	5.85714285714286	3.9	5.36363636363636		V N	870
