CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SINGAPORE_ENGLISH_FREQUENCY	SINGAPORE_ENGLISH_FREQUENCY_ZIPF	SINGAPORE_ENGLISH_CD	SINGAPORE_ENGLISH_CD_PERCENTAGE	LINE_IN_SOURCE
1079	FEEL	feel	34868	6.04682063754719	6891	0.364738262848674	17355
1080	VULGAR	vulgar	60	3.28971098003456	42	0.00222304557243423	54520
1081	BILL	bill	3226	5.0131801104277	1831	0.0969142010268353	4900
1082	MERCHANT	merchant	115	3.56883913425071	74	0.00391679458000318	30559
1084	CALL	call	26068	5.92050551708926	11949	0.63245646535754	6818
1085	FOLLOW	follow	3888	5.09421908817125	2246	0.118880008468745	18201
1086	WORK (ACTIVITY)	activity	1657	4.72396567123805	1045	0.0553114910284232	477
1087	CONCEIVE	conceive	31	3.0095311233437	23	0.00121738209919018	9721
1088	SINK (DESCEND)	sink	135	3.63792005339401	109	0.0057693325570317	45492
109	FOREIGN	foreign	915	4.46627661869164	403	0.0213306515640713	18314
1090	BE BORN	born	2170	4.84104096847821	1221	0.0646271105700524	5668
1091	SALTY	salty	261	3.92268243634354	164	0.00868046366379082	42921
1092	HOPE	hope	5207	5.22105212058393	3172	0.167892870375271	22349
1093	MIDDLE	middle	2436	4.89123667420852	1309	0.069284920340867	30791
1094	FASTEN	fasten	8	2.45862365446312	7	0.000370507595405706	17183
1095	LET GO OR SET FREE	release	510	4.2128020451585	389	0.0205896363732599	40922
1096	SONG	song	1838	4.76896287426187	652	0.0345101360292172	46468
1097	ABANDON	abandon	58	3.27523315666594	51	0.002699412480813	55
1098	WEIGH	weigh	133	3.6314859433886	113	0.00598105118297782	55022
11	DARKNESS	darkness	61	3.29677283452205	44	0.00232890488540729	11716
110	MOTOR	motor	238	3.88277904597193	150	0.00793944847297941	31826
1100	COOK (SOMETHING)	cook	3459	5.04345724381657	1087	0.0575345366008575	10359
1101	SUFFER	suffer	500	4.20421887089104	378	0.0200074101519081	48339
1102	CLIMB	climb	733	4.37007720493986	385	0.0203779177473138	8839
1103	SACRIFICE	sacrifice	521	4.22205164802605	303	0.0160376859154184	42707
1104	NURSE	nurse	221	3.85073411947443	119	0.006298629121897	33650
1105	CAMP	camp	837	4.42762516365407	387	0.0204837770602869	6881
1107	GO OUT	out	49658	6.20037911479621	12643	0.669189646959191	34607
1108	UNCOVER	uncover	13	2.65050918070203	13	0.000688085534324882	52613
1109	WOUND	wound	66	3.33045594772462	45	0.00238183454189382	55810
111	DRUMMING	drumming	9	2.50438114502379	6	0.000317577938919176	14359
1110	SHARK	shark	655	4.32128498439945	291	0.0154025300375801	44573
1111	CAR	car	13877	5.64670802817806	3422	0.181125284496904	7101
1112	SUCCEED	succeed	308	3.99433962444863	192	0.0101624940454136	48278
