ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	RANK	LINKED_CONCEPTS	TARGET_CONCEPTS	DEGREE	WEIGHTED_DEGREE
	1	2133	STRIKE OR BEAT	to beat, hit	1	"[{""ID"": ""Zalizniak-2020-2590-73"", ""NAME"": ""to eat"", ""Weight"": ""5""}, {""ID"": ""Zalizniak-2020-2590-130"", ""NAME"": ""to shoot"", ""Weight"": ""15""}, {""ID"": ""Zalizniak-2020-2590-374"", ""NAME"": ""to milk"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-1223"", ""NAME"": ""to hint"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-674"", ""NAME"": ""wound (n.)"", ""Weight"": ""4""}, {""ID"": ""Zalizniak-2020-2590-734"", ""NAME"": ""to mow grass"", ""Weight"": ""5""}, {""ID"": ""Zalizniak-2020-2590-264"", ""NAME"": ""to spoil"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-713"", ""NAME"": ""to swim"", ""Weight"": ""2""}, {""ID"": ""Zalizniak-2020-2590-1207"", ""NAME"": ""to knead"", ""Weight"": ""2""}, {""ID"": ""Zalizniak-2020-2590-533"", ""NAME"": ""to copulate"", ""Weight"": ""4""}, {""ID"": ""Zalizniak-2020-2590-1160"", ""NAME"": ""to pump"", ""Weight"": ""1""}]"	"[{""ID"": ""Zalizniak-2020-2590-1983"", ""NAME"": ""to tell lie"", ""Weight"": ""2""}, {""ID"": ""Zalizniak-2020-2590-785"", ""NAME"": ""to be surprised"", ""Weight"": ""6""}, {""ID"": ""Zalizniak-2020-2590-495"", ""NAME"": ""to steal"", ""Weight"": ""4""}, {""ID"": ""Zalizniak-2020-2590-1171"", ""NAME"": ""to play (a musical instrument)"", ""Weight"": ""11""}, {""ID"": ""Zalizniak-2020-2590-132"", ""NAME"": ""to kill"", ""Weight"": ""20""}, {""ID"": ""Zalizniak-2020-2590-20"", ""NAME"": ""to break (tr.)"", ""Weight"": ""5""}, {""ID"": ""Zalizniak-2020-2590-57"", ""NAME"": ""to flow"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-697"", ""NAME"": ""to win"", ""Weight"": ""16""}, {""ID"": ""Zalizniak-2020-2590-2123"", ""NAME"": ""to boast"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-55"", ""NAME"": ""to speak"", ""Weight"": ""2""}, {""ID"": ""Zalizniak-2020-2590-531"", ""NAME"": ""to cough"", ""Weight"": ""2""}, {""ID"": ""Zalizniak-2020-2590-2533"", ""NAME"": ""bedbug (Cimex lectularius)"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-1938"", ""NAME"": ""woodpecker"", ""Weight"": ""7""}, {""ID"": ""Zalizniak-2020-2590-2067"", ""NAME"": ""to forge"", ""Weight"": ""5""}, {""ID"": ""Zalizniak-2020-2590-372"", ""NAME"": ""to move quickly"", ""Weight"": ""2""}, {""ID"": ""Zalizniak-2020-2590-257"", ""NAME"": ""to walk, wander"", ""Weight"": ""2""}, {""ID"": ""Zalizniak-2020-2590-1336"", ""NAME"": ""to attack"", ""Weight"": ""6""}, {""ID"": ""Zalizniak-2020-2590-749"", ""NAME"": ""to hit the target"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-490"", ""NAME"": ""to understand"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-393"", ""NAME"": ""to drink"", ""Weight"": ""7""}, {""ID"": ""Zalizniak-2020-2590-1333"", ""NAME"": ""to be alike"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-1992"", ""NAME"": ""to sound"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-790"", ""NAME"": ""to be at war"", ""Weight"": ""10""}, {""ID"": ""Zalizniak-2020-2590-1973"", ""NAME"": ""to wash (clothes)"", ""Weight"": ""2""}, {""ID"": ""Zalizniak-2020-2590-534"", ""NAME"": ""to castrate, geld"", ""Weight"": ""2""}, {""ID"": ""Zalizniak-2020-2590-1980"", ""NAME"": ""to thunder"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-1125"", ""NAME"": ""to spawn"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-365"", ""NAME"": ""to sleep"", ""Weight"": ""2""}, {""ID"": ""Zalizniak-2020-2590-170"", ""NAME"": ""to bite"", ""Weight"": ""3""}, {""ID"": ""Zalizniak-2020-2590-31"", ""NAME"": ""to cut (tr.)"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-2076"", ""NAME"": ""to felt"", ""Weight"": ""6""}, {""ID"": ""Zalizniak-2020-2590-1989"", ""NAME"": ""to strike (of lightning)"", ""Weight"": ""7""}]"	43	7
	2	1409	SEE	to see/to look at	2	"[{""ID"": ""Zalizniak-2020-2590-266"", ""NAME"": ""to seem"", ""Weight"": ""5""}, {""ID"": ""Zalizniak-2020-2590-375"", ""NAME"": ""to meet"", ""Weight"": ""0""}, {""ID"": ""Zalizniak-2020-2590-131"", ""NAME"": ""to shine, glitter"", ""Weight"": ""5""}, {""ID"": ""Zalizniak-2020-2590-272"", ""NAME"": ""to hear"", ""Weight"": ""9""}, {""ID"": ""Zalizniak-2020-2590-206"", ""NAME"": ""to intend"", ""Weight"": ""5""}, {""ID"": ""Zalizniak-2020-2590-280"", ""NAME"": ""to feel"", ""Weight"": ""2""}, {""ID"": ""Zalizniak-2020-2590-290"", ""NAME"": ""to begin (tr.)"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-1273"", ""NAME"": ""to desire"", ""Weight"": ""0""}, {""ID"": ""Zalizniak-2020-2590-269"", ""NAME"": ""to read"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-126"", ""NAME"": ""to think"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-499"", ""NAME"": ""to shine"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-518"", ""NAME"": ""to imitate"", ""Weight"": ""2""}]"	"[{""ID"": ""Zalizniak-2020-2590-2051"", ""NAME"": ""to have opinion"", ""Weight"": ""22""}, {""ID"": ""Zalizniak-2020-2590-491"", ""NAME"": ""to try, to attempt"", ""Weight"": ""7""}, {""ID"": ""Zalizniak-2020-2590-124"", ""NAME"": ""to wait"", ""Weight"": ""23""}, {""ID"": ""Zalizniak-2020-2590-2103"", ""NAME"": ""to depend"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-707"", ""NAME"": ""to tell a person's fortune"", ""Weight"": ""5""}, {""ID"": ""Zalizniak-2020-2590-168"", ""NAME"": ""to care for, look after"", ""Weight"": ""38""}, {""ID"": ""Zalizniak-2020-2590-2053"", ""NAME"": ""to have an appearance"", ""Weight"": ""3""}, {""ID"": ""Zalizniak-2020-2590-490"", ""NAME"": ""to understand"", ""Weight"": ""17""}, {""ID"": ""Zalizniak-2020-2590-107"", ""NAME"": ""to search, to look for"", ""Weight"": ""12""}, {""ID"": ""Zalizniak-2020-2590-1196"", ""NAME"": ""to like"", ""Weight"": ""3""}, {""ID"": ""Zalizniak-2020-2590-2052"", ""NAME"": ""to have experience"", ""Weight"": ""8""}, {""ID"": ""Zalizniak-2020-2590-92"", ""NAME"": ""to know"", ""Weight"": ""8""}, {""ID"": ""Zalizniak-2020-2590-785"", ""NAME"": ""to be surprised"", ""Weight"": ""2""}, {""ID"": ""Zalizniak-2020-2590-761"", ""NAME"": ""to envy"", ""Weight"": ""3""}, {""ID"": ""Zalizniak-2020-2590-1343"", ""NAME"": ""to act according to"", ""Weight"": ""9""}, {""ID"": ""Zalizniak-2020-2590-2534"", ""NAME"": ""because of"", ""Weight"": ""5""}, {""ID"": ""Zalizniak-2020-2590-2055"", ""NAME"": ""to guard"", ""Weight"": ""4""}, {""ID"": ""Zalizniak-2020-2590-72"", ""NAME"": ""to find"", ""Weight"": ""4""}, {""ID"": ""Zalizniak-2020-2590-775"", ""NAME"": ""to check, test"", ""Weight"": ""3""}, {""ID"": ""Zalizniak-2020-2590-2068"", ""NAME"": ""to foresee"", ""Weight"": ""2""}, {""ID"": ""Zalizniak-2020-2590-1311"", ""NAME"": ""to beware, be careful"", ""Weight"": ""14""}, {""ID"": ""Zalizniak-2020-2590-2554"", ""NAME"": ""ambush"", ""Weight"": ""2""}, {""ID"": ""Zalizniak-2020-2590-2041"", ""NAME"": ""to investigate/examine"", ""Weight"": ""4""}, {""ID"": ""Zalizniak-2020-2590-2153"", ""NAME"": ""to acquire"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-1974"", ""NAME"": ""to visit"", ""Weight"": ""7""}, {""ID"": ""Zalizniak-2020-2590-865"", ""NAME"": ""opposite"", ""Weight"": ""2""}, {""ID"": ""Zalizniak-2020-2590-1991"", ""NAME"": ""to spy"", ""Weight"": ""3""}, {""ID"": ""Zalizniak-2020-2590-2564"", ""NAME"": ""according to"", ""Weight"": ""4""}]"	40	4
	3	1248	EYE	eye	3	"[{""ID"": ""Zalizniak-2020-2590-50"", ""NAME"": ""face"", ""Weight"": ""2""}, {""ID"": ""Zalizniak-2020-2590-454"", ""NAME"": ""eyelid"", ""Weight"": ""4""}, {""ID"": ""Zalizniak-2020-2590-482"", ""NAME"": ""wheel"", ""Weight"": ""2""}, {""ID"": ""Zalizniak-2020-2590-844"", ""NAME"": ""ray"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-449"", ""NAME"": ""grain, seed"", ""Weight"": ""1""}]"	"[{""ID"": ""Zalizniak-2020-2590-451"", ""NAME"": ""front part"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-991"", ""NAME"": ""before"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-586"", ""NAME"": ""opening, hole"", ""Weight"": ""20""}, {""ID"": ""Zalizniak-2020-2590-1042"", ""NAME"": ""window"", ""Weight"": ""6""}, {""ID"": ""Zalizniak-2020-2590-973"", ""NAME"": ""cavity, hollow"", ""Weight"": ""4""}, {""ID"": ""Zalizniak-2020-2590-2197"", ""NAME"": ""small object"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-2381"", ""NAME"": ""headlight (of a car)"", ""Weight"": ""2""}, {""ID"": ""Zalizniak-2020-2590-174"", ""NAME"": ""spot, stain"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-2280"", ""NAME"": ""oil particle"", ""Weight"": ""3""}, {""ID"": ""Zalizniak-2020-2590-2184"", ""NAME"": ""spot, pip (on playing cards or dice)"", ""Weight"": ""9""}, {""ID"": ""Zalizniak-2020-2590-1397"", ""NAME"": ""spectacles"", ""Weight"": ""6""}, {""ID"": ""Zalizniak-2020-2590-2411"", ""NAME"": ""fried eggs"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-2323"", ""NAME"": ""loop"", ""Weight"": ""8""}, {""ID"": ""Zalizniak-2020-2590-644"", ""NAME"": ""bud (on a twig)"", ""Weight"": ""12""}, {""ID"": ""Zalizniak-2020-2590-2262"", ""NAME"": ""peephole"", ""Weight"": ""3""}, {""ID"": ""Zalizniak-2020-2590-809"", ""NAME"": ""spring, fountain"", ""Weight"": ""7""}, {""ID"": ""Zalizniak-2020-2590-677"", ""NAME"": ""whirlpool"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-643"", ""NAME"": ""centre"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-2434"", ""NAME"": ""eye of typhoon"", ""Weight"": ""3""}, {""ID"": ""Zalizniak-2020-2590-2514"", ""NAME"": ""burner"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-1062"", ""NAME"": ""vision"", ""Weight"": ""8""}, {""ID"": ""Zalizniak-2020-2590-890"", ""NAME"": ""look (n.)"", ""Weight"": ""3""}, {""ID"": ""Zalizniak-2020-2590-2276"", ""NAME"": ""opinion"", ""Weight"": ""0""}, {""ID"": ""Zalizniak-2020-2590-2170"", ""NAME"": ""supervision"", ""Weight"": ""9""}, {""ID"": ""Zalizniak-2020-2590-2436"", ""NAME"": ""evil eye"", ""Weight"": ""6""}, {""ID"": ""Zalizniak-2020-2590-2283"", ""NAME"": ""observer"", ""Weight"": ""4""}, {""ID"": ""Zalizniak-2020-2590-2433"", ""NAME"": ""eyebright (Euphrasia officinalis)"", ""Weight"": ""4""}, {""ID"": ""Zalizniak-2020-2590-2447"", ""NAME"": ""eminent man"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-96"", ""NAME"": ""sun"", ""Weight"": ""2""}, {""ID"": ""Zalizniak-2020-2590-2182"", ""NAME"": ""spy"", ""Weight"": ""1""}]"	35	1
	4	1217	FATHER	father	4	"[{""ID"": ""Zalizniak-2020-2590-861"", ""NAME"": ""parents"", ""Weight"": ""13""}, {""ID"": ""Zalizniak-2020-2590-691"", ""NAME"": ""uncle (father's brother)"", ""Weight"": ""28""}, {""ID"": ""Zalizniak-2020-2590-919"", ""NAME"": ""grandfather"", ""Weight"": ""7""}, {""ID"": ""Zalizniak-2020-2590-1587"", ""NAME"": ""male (animal)"", ""Weight"": ""12""}, {""ID"": ""Zalizniak-2020-2590-59"", ""NAME"": ""mother"", ""Weight"": ""2""}, {""ID"": ""Zalizniak-2020-2590-223"", ""NAME"": ""man"", ""Weight"": ""5""}, {""ID"": ""Zalizniak-2020-2590-1543"", ""NAME"": ""native"", ""Weight"": ""2""}, {""ID"": ""Zalizniak-2020-2590-1765"", ""NAME"": ""defender"", ""Weight"": ""7""}, {""ID"": ""Zalizniak-2020-2590-1498"", ""NAME"": ""pillar"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-1503"", ""NAME"": ""perfect person"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-410"", ""NAME"": ""son"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-942"", ""NAME"": ""elder brother"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-1743"", ""NAME"": ""elder sister"", ""Weight"": ""2""}, {""ID"": ""Zalizniak-2020-2590-317"", ""NAME"": ""husband"", ""Weight"": ""2""}, {""ID"": ""Zalizniak-2020-2590-629"", ""NAME"": ""elder"", ""Weight"": ""7""}, {""ID"": ""Zalizniak-2020-2590-1356"", ""NAME"": ""teacher"", ""Weight"": ""2""}, {""ID"": ""Zalizniak-2020-2590-1680"", ""NAME"": ""hajji"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-599"", ""NAME"": ""lord"", ""Weight"": ""1""}]"	"[{""ID"": ""Zalizniak-2020-2590-986"", ""NAME"": ""boss"", ""Weight"": ""10""}, {""ID"": ""Zalizniak-2020-2590-2587"", ""NAME"": ""<exclamation of sorrow, pain and surprise>"", ""Weight"": ""8""}, {""ID"": ""Zalizniak-2020-2590-1023"", ""NAME"": ""<term of address to a man>"", ""Weight"": ""30""}, {""ID"": ""Zalizniak-2020-2590-233"", ""NAME"": ""god"", ""Weight"": ""5""}, {""ID"": ""Zalizniak-2020-2590-2582"", ""NAME"": ""<priest>"", ""Weight"": ""17""}, {""ID"": ""Zalizniak-2020-2590-1721"", ""NAME"": ""father-in-law"", ""Weight"": ""13""}, {""ID"": ""Zalizniak-2020-2590-1010"", ""NAME"": ""ancestor"", ""Weight"": ""33""}, {""ID"": ""Zalizniak-2020-2590-2415"", ""NAME"": ""founder"", ""Weight"": ""21""}, {""ID"": ""Zalizniak-2020-2590-221"", ""NAME"": ""owner"", ""Weight"": ""4""}, {""ID"": ""Zalizniak-2020-2590-2352"", ""NAME"": ""influential person"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-473"", ""NAME"": ""beginning"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-19"", ""NAME"": ""big"", ""Weight"": ""5""}, {""ID"": ""Zalizniak-2020-2590-662"", ""NAME"": ""amazing"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-974"", ""NAME"": ""cause; reason"", ""Weight"": ""1""}]"	32	1
	5	1256	HEAD	head	5	"[{""ID"": ""Zalizniak-2020-2590-244"", ""NAME"": ""brain (cerebrum)"", ""Weight"": ""3""}, {""ID"": ""Zalizniak-2020-2590-582"", ""NAME"": ""peak of mountain"", ""Weight"": ""21""}, {""ID"": ""Zalizniak-2020-2590-99"", ""NAME"": ""forehead"", ""Weight"": ""4""}, {""ID"": ""Zalizniak-2020-2590-218"", ""NAME"": ""pumpkin"", ""Weight"": ""13""}, {""ID"": ""Zalizniak-2020-2590-188"", ""NAME"": ""hill"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-249"", ""NAME"": ""<vessel>"", ""Weight"": ""23""}, {""ID"": ""Zalizniak-2020-2590-976"", ""NAME"": ""cape"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-475"", ""NAME"": ""ahead"", ""Weight"": ""1""}]"	"[{""ID"": ""Zalizniak-2020-2590-2380"", ""NAME"": ""headstream"", ""Weight"": ""6""}, {""ID"": ""Zalizniak-2020-2590-473"", ""NAME"": ""beginning"", ""Weight"": ""10""}, {""ID"": ""Zalizniak-2020-2590-986"", ""NAME"": ""boss"", ""Weight"": ""21""}, {""ID"": ""Zalizniak-2020-2590-2166"", ""NAME"": ""tadpole"", ""Weight"": ""2""}, {""ID"": ""Zalizniak-2020-2590-435"", ""NAME"": ""mind (n.)"", ""Weight"": ""16""}, {""ID"": ""Zalizniak-2020-2590-2278"", ""NAME"": ""one piece (at counting)"", ""Weight"": ""7""}, {""ID"": ""Zalizniak-2020-2590-1669"", ""NAME"": ""heading, title"", ""Weight"": ""3""}, {""ID"": ""Zalizniak-2020-2590-194"", ""NAME"": ""edge"", ""Weight"": ""2""}, {""ID"": ""Zalizniak-2020-2590-1621"", ""NAME"": ""kind (n.)"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-302"", ""NAME"": ""side (n.)"", ""Weight"": ""3""}, {""ID"": ""Zalizniak-2020-2590-1559"", ""NAME"": ""money"", ""Weight"": ""5""}, {""ID"": ""Zalizniak-2020-2590-945"", ""NAME"": ""ear, spike (of a grain plant)"", ""Weight"": ""5""}, {""ID"": ""Zalizniak-2020-2590-2251"", ""NAME"": ""plot"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-2287"", ""NAME"": ""nail-head"", ""Weight"": ""11""}, {""ID"": ""Zalizniak-2020-2590-50"", ""NAME"": ""face"", ""Weight"": ""2""}, {""ID"": ""Zalizniak-2020-2590-123"", ""NAME"": ""top"", ""Weight"": ""2""}, {""ID"": ""Zalizniak-2020-2590-2317"", ""NAME"": ""main"", ""Weight"": ""3""}, {""ID"": ""Zalizniak-2020-2590-2225"", ""NAME"": ""round object"", ""Weight"": ""6""}, {""ID"": ""Zalizniak-2020-2590-2226"", ""NAME"": ""roof"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-126"", ""NAME"": ""to think"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-2167"", ""NAME"": ""table of contents"", ""Weight"": ""1""}]"	29	1
	6	501	LIFT	to raise, lift (tr.)	6	"[{""ID"": ""Zalizniak-2020-2590-1268"", ""NAME"": ""to discover game animals or birds (hunting)"", ""Weight"": ""4""}, {""ID"": ""Zalizniak-2020-2590-396"", ""NAME"": ""to cause"", ""Weight"": ""3""}, {""ID"": ""Zalizniak-2020-2590-1296"", ""NAME"": ""to cause to moving"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-1218"", ""NAME"": ""to increase (tr.)"", ""Weight"": ""2""}, {""ID"": ""Zalizniak-2020-2590-1219"", ""NAME"": ""to improve"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-281"", ""NAME"": ""to endure"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-762"", ""NAME"": ""to endure a load"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-1165"", ""NAME"": ""to promote"", ""Weight"": ""2""}, {""ID"": ""Zalizniak-2020-2590-1262"", ""NAME"": ""to draft (for the army)"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-1255"", ""NAME"": ""to earth up (plants)"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-1205"", ""NAME"": ""to ladle out (soup)"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-204"", ""NAME"": ""to move away"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-1149"", ""NAME"": ""to remove, eliminate"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-358"", ""NAME"": ""to take off"", ""Weight"": ""5""}]"	"[{""ID"": ""Zalizniak-2020-2590-512"", ""NAME"": ""to present, gift"", ""Weight"": ""3""}, {""ID"": ""Zalizniak-2020-2590-1169"", ""NAME"": ""to praise"", ""Weight"": ""4""}, {""ID"": ""Zalizniak-2020-2590-578"", ""NAME"": ""pregnant"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-29"", ""NAME"": ""to grasp, seize"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-2077"", ""NAME"": ""to feel sick"", ""Weight"": ""2""}, {""ID"": ""Zalizniak-2020-2590-513"", ""NAME"": ""to plough"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-278"", ""NAME"": ""to finish"", ""Weight"": ""2""}, {""ID"": ""Zalizniak-2020-2590-1303"", ""NAME"": ""to build"", ""Weight"": ""5""}, {""ID"": ""Zalizniak-2020-2590-793"", ""NAME"": ""to awaken"", ""Weight"": ""8""}, {""ID"": ""Zalizniak-2020-2590-2118"", ""NAME"": ""to bring up"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-2120"", ""NAME"": ""to bring into discussion"", ""Weight"": ""3""}, {""ID"": ""Zalizniak-2020-2590-290"", ""NAME"": ""to begin (tr.)"", ""Weight"": ""2""}, {""ID"": ""Zalizniak-2020-2590-794"", ""NAME"": ""to abolish"", ""Weight"": ""12""}, {""ID"": ""Zalizniak-2020-2590-2098"", ""NAME"": ""to discharge, dismiss"", ""Weight"": ""1""}]"	28	5
	7	674	MOUTH	mouth	7	"[{""ID"": ""Zalizniak-2020-2590-227"", ""NAME"": ""lip"", ""Weight"": ""5""}, {""ID"": ""Zalizniak-2020-2590-902"", ""NAME"": ""instrument, tool"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-1745"", ""NAME"": ""eater"", ""Weight"": ""14""}, {""ID"": ""Zalizniak-2020-2590-14"", ""NAME"": ""nose"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-976"", ""NAME"": ""cape"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-188"", ""NAME"": ""hill"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-352"", ""NAME"": ""vagina"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-88"", ""NAME"": ""womb"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-854"", ""NAME"": ""precipice, abyss"", ""Weight"": ""4""}, {""ID"": ""Zalizniak-2020-2590-443"", ""NAME"": ""hell"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-475"", ""NAME"": ""ahead"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-294"", ""NAME"": ""talkative person"", ""Weight"": ""1""}]"	"[{""ID"": ""Zalizniak-2020-2590-573"", ""NAME"": ""ravine"", ""Weight"": ""5""}, {""ID"": ""Zalizniak-2020-2590-876"", ""NAME"": ""mouth (of a river)"", ""Weight"": ""12""}, {""ID"": ""Zalizniak-2020-2590-50"", ""NAME"": ""face"", ""Weight"": ""10""}, {""ID"": ""Zalizniak-2020-2590-199"", ""NAME"": ""beak"", ""Weight"": ""5""}, {""ID"": ""Zalizniak-2020-2590-2389"", ""NAME"": ""grimace"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-2359"", ""NAME"": ""impudence"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-586"", ""NAME"": ""opening, hole"", ""Weight"": ""21""}, {""ID"": ""Zalizniak-2020-2590-194"", ""NAME"": ""edge"", ""Weight"": ""6""}, {""ID"": ""Zalizniak-2020-2590-451"", ""NAME"": ""front part"", ""Weight"": ""0""}, {""ID"": ""Zalizniak-2020-2590-1722"", ""NAME"": ""fast (n.)"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-2376"", ""NAME"": ""herald"", ""Weight"": ""2""}, {""ID"": ""Zalizniak-2020-2590-1396"", ""NAME"": ""speech"", ""Weight"": ""11""}, {""ID"": ""Zalizniak-2020-2590-1952"", ""NAME"": ""vacancy"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-1848"", ""NAME"": ""blade"", ""Weight"": ""1""}, {""ID"": ""Zalizniak-2020-2590-2482"", ""NAME"": ""completion"", ""Weight"": ""1""}]"	27	1
