CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_OCCURRENCES_TOTAL	ENGLISH_OCCURRENCES_NUM	ENGLISH_AOA_MEAN	ENGLISH_DUNNO	LINE_IN_SOURCE
1122	WAGES	wages	20	20	9.568014999999999	1	30194
1123	PREGNANT	pregnant	21	21	6.76	1	21080
1124	PIPE	pipe	18	18	8.17	1	20381
1125	BALD	bald	19	19	7.26	1	1978
1127	SEND	send	19	19	5.68	1	24307
1128	ORDER	order	19	19	6.26	1	18904
1129	PAINFUL	painful	18	18	6.44	1	19361
113	SHORE	shore	20	19	6.925079	0.95	24641
1132	BEAM	beam	18	18	8.78	1	2258
1133	MATCH	match	18	18	5.72	1	16642
1134	DIVORCE	divorce	20	20	8.9	1	8091
1135	KICK	kick	18	18	4.06	1	15123
1136	RABBIT	rabbit	18	18	3.94	1	21974
1137	TENDON	tendon	19	19	9.58	1	27333
1138	FAIRY	fairy	18	18	5.17	1	9901
1139	LEOPARD	leopard	19	19	6.84	1	15648
114	PORPOISE	porpoise	19	16	8.94	0.8421052631578947	20804
1140	FATIGUE	fatigue	18	18	11.83	1	10032
1141	PITY	pity	18	18	8.72	1	20427
1142	URINE	urine	18	18	9.83	1	29658
1143	OVEN	oven	18	18	5.67	1	19120
1144	WITNESS	witness	19	19	8.74	1	30786
1145	SWAMP	swamp	21	21	7.95	1	26820
1146	AUBERGINE	eggplant	20	20	8.3	1	8736
1147	PURE	pure	19	19	7.95	1	21742
1148	BRUISE	bruise	20	20	5.45	1	3409
1149	ORPHAN	orphan	18	18	6.94	1	18955
1150	THUNDER	thunder	19	19	4.89	1	27611
1151	VEIL	veil	18	16	9.69	0.8888888888888888	29837
1152	BEGET	beget	18	15	14.2	0.8333333333333334	2349
1153	CATTLE	cattle	19	19	6.53	1	4169
1154	OLIVE	olive	19	19	6.68	1	18766
1155	CAVE	cave	19	19	6.74	1	4197
1156	OPEN	open	18	18	5	1	18818
1157	BECAUSE	because	21	21	4.441998	1	2297
1158	STEP	step	18	18	4.11	1	26037
1159	FART	fart	18	18	5.78	1	9991
116	LARCH	larch	19	11	13.64	0.5789473684210527	15420
1160	THIEF	thief	18	18	7.22	1	27504
1161	THREAD	thread	18	18	7.06	1	27552
1162	INTENTION	intention	19	19	9.42	1	14454
1163	BRIBE (AMOUNT)	bribe	19	19	9.74	1	3294
1165	MOUSTACHE	moustache	20	20	5.4	1	17656
1166	MOULD	mould	19	15	11.33	0.7894736842105263	17639
1167	GRUEL	gruel	19	15	11.6	0.7894736842105263	12098
1168	HAWTHORN	hawthorn	18	14	10.36	0.7777777777777778	12535
1169	OX	ox	18	18	4.72	1	19292
117	IMITATE	imitate	20	20	9.2	1	13582
1171	MIRROR	mirror	18	18	4.89	1	17200
1172	SHOOT	shoot	19	19	5.53	1	24628
1173	EYEBROW	eyebrow	20	20	5.5	1	9828
1174	YESTERDAY	yesterday	22	22	4.580539	1	31035
1175	GHOST	ghost	18	18	5.06	1	11521
1176	SPADE	spade	19	18	8.11	0.9473684210526315	25514
1178	NOSTRIL	nostril	19	19	7.37	1	18435
118	BEWITCH	bewitch	18	18	10.61	1	2505
1182	NOISE	noise	18	18	4.5	1	18269
1183	PALM OF HAND	palm	21	21	6	1	19406
1184	DIMINISH	diminish	19	19	10.95	1	7612
1185	VULTURE	vulture	19	19	8.89	1	30178
1187	GOOSE	goose	20	20	5.15	1	11809
1188	CHARCOAL	charcoal	20	20	8	1	4396
