CONCEPTICON_ID	CONCEPTICON_GLOSS	FRENCH	FRENCH_VALENCE_PERCENTAGE_NEGATIVE_5YEAR	FRENCH_VALENCE_PERCENTAGE_NEGATIVE_FEMALE_5YEAR	FRENCH_VALENCE_PERCENTAGE_NEGATIVE_MALE_5YEAR	FRENCH_VALENCE_PERCENTAGE_NEUTRAL_5YEAR	FRENCH_VALENCE_PERCENTAGE_NEUTRAL_FEMALE_5YEAR	FRENCH_VALENCE_PERCENTAGE_NEUTRAL_MALE_5YEAR	FRENCH_VALENCE_PERCENTAGE_POSITIVE_5YEAR	FRENCH_VALENCE_PERCENTAGE_POSITIVE_FEMALE_5YEAR	FRENCH_VALENCE_PERCENTAGE_POSITIVE_MALE_5YEAR	FRENCH_VALENCE_PERCENTAGE_NEGATIVE_7YEAR	FRENCH_VALENCE_PERCENTAGE_NEGATIVE_FEMALE_7YEAR	FRENCH_VALENCE_PERCENTAGE_NEGATIVE_MALE_7YEAR	FRENCH_VALENCE_PERCENTAGE_NEUTRAL_7YEAR	FRENCH_VALENCE_PERCENTAGE_NEUTRAL_FEMALE_7YEAR	FRENCH_VALENCE_PERCENTAGE_NEUTRAL_MALE_7YEAR	FRENCH_VALENCE_PERCENTAGE_POSITIVE_7YEAR	FRENCH_VALENCE_PERCENTAGE_POSITIVE_FEMALE_7YEAR	FRENCH_VALENCE_PERCENTAGE_POSITIVE_MALE_7YEAR	FRENCH_VALENCE_PERCENTAGE_NEGATIVE_9YEAR	FRENCH_VALENCE_PERCENTAGE_NEGATIVE_FEMALE_9YEAR	FRENCH_VALENCE_PERCENTAGE_NEGATIVE_MALE_9YEAR	FRENCH_VALENCE_PERCENTAGE_NEUTRAL_9YEAR	FRENCH_VALENCE_PERCENTAGE_NEUTRAL_FEMALE_9YEAR	FRENCH_VALENCE_PERCENTAGE_NEUTRAL_MALE_9YEAR	FRENCH_VALENCE_PERCENTAGE_POSITIVE_9YEAR	FRENCH_VALENCE_PERCENTAGE_POSITIVE_FEMALE_9YEAR	FRENCH_VALENCE_PERCENTAGE_POSITIVE_MALE_9YEAR	FRENCH_VALENCE_PERCENTAGE_NEGATIVE_ADULT	FRENCH_VALENCE_PERCENTAGE_NEUTRAL_ADULT	FRENCH_VALENCE_PERCENTAGE_POSITIVE_ADULT	LINE_IN_SOURCE
1004	MUSCLE	muscle										3.225806451612903	0.0	8.333333333333332	32.25806451612903	47.368421052631575	8.333333333333332	64.51612903225806	52.63157894736842	83.33333333333334	5.88235294117647	4.545454545454546	8.333333333333332	26.47058823529412	36.36363636363637	8.333333333333332	67.64705882352942	59.09090909090909	83.33333333333334				384
1006	BRICK	brique										18.75	25.0	8.333333333333332	46.875	50.0	41.66666666666667	34.375	25.0	50.0	12.903225806451612	14.285714285714285	11.76470588235294	70.96774193548387	78.57142857142857	64.70588235294117	16.129032258064516	7.142857142857142	23.52941176470588				75
1007	COW	vache	19.51219512195122	20.833333333333336	17.647058823529413	31.70731707317073	29.166666666666668	35.294117647058826	48.78048780487805	50.0	47.05882352941176	11.11111111111111	14.285714285714285	7.142857142857142	41.66666666666667	47.61904761904761	35.714285714285715	47.22222222222222	38.095238095238095	57.14285714285714	16.129032258064516	7.142857142857142	23.52941176470588	32.25806451612903	21.428571428571427	41.17647058823529	51.61290322580645	71.42857142857143	35.294117647058826				578
1008	BULL	taureau										24.137931034482758	46.666666666666664	0.0	13.793103448275861	20.0	7.142857142857142	62.06896551724138	33.33333333333333	92.85714285714286	13.513513513513514	21.428571428571427	8.695652173913043	8.108108108108109	7.142857142857142	8.695652173913043	78.37837837837837	71.42857142857143	82.6086956521739				544
1011	BRIDGE	pont										0.0	0.0	0.0	63.888888888888886	71.42857142857143	57.14285714285714	36.11111111111111	28.57142857142857	42.857142857142854	11.76470588235294	13.636363636363635	8.333333333333332	64.70588235294117	59.09090909090909	75.0	23.52941176470588	27.27272727272727	16.666666666666664				464
1040	HAIR	cheveux	23.809523809523807	12.5	38.88888888888889	23.809523809523807	29.166666666666668	16.666666666666664	52.38095238095239	58.333333333333336	44.44444444444444	2.7777777777777777	4.761904761904762	0.0	38.88888888888889	28.57142857142857	57.14285714285714	58.333333333333336	66.66666666666666	42.857142857142854	0.0	0.0	0.0	56.75675675675676	50.0	60.86956521739131	43.24324324324324	50.0	39.130434782608695				135
1044	PILLOW	oreiller	11.627906976744185	15.0	8.695652173913043	11.627906976744185	10.0	13.043478260869565	76.74418604651163	75.0	78.26086956521739	3.225806451612903	0.0	8.333333333333332	38.70967741935484	26.31578947368421	58.333333333333336	58.06451612903226	73.68421052631578	33.33333333333333	0.0	0.0	0.0	23.52941176470588	22.727272727272727	25.0	76.47058823529412	77.27272727272727	75.0				405
1062	LAW	loi																			40.54054054054054	57.14285714285714	30.434782608695656	24.324324324324326	21.428571428571427	26.08695652173913	35.13513513513514	21.428571428571427	43.47826086956522				339
1065	SPIDER WEB	toile d'araignée										41.66666666666667	61.904761904761905	14.285714285714285	30.555555555555557	28.57142857142857	35.714285714285715	27.77777777777778	9.523809523809524	50.0	58.82352941176471	63.63636363636363	50.0	20.588235294117645	27.27272727272727	8.333333333333332	20.588235294117645	9.090909090909092	41.66666666666667				556
1070	BUS	bus										6.896551724137931	6.666666666666667	7.142857142857142	34.48275862068966	46.666666666666664	21.428571428571427	58.620689655172406	46.666666666666664	71.42857142857143	22.58064516129032	35.714285714285715	11.76470588235294	32.25806451612903	35.714285714285715	29.411764705882355	45.16129032258064	28.57142857142857	58.82352941176471				82
