CONCEPTICON_ID	CONCEPTICON_GLOSS	FRENCH	FRENCH_SUBJECTIVE_FREQUENCY	FRENCH_IMAGEABILITY_MEAN	LINE_IN_SOURCE
1374	RING	bague	4.8	6.9	253
1375	WINDOW	vitre	5.18	6.11	3569
1378	SPOON	cuillère	5.73	6.82	957
1379	TELEPHONE	téléphone	6.36	6.8	3313
1380	TOOTH	dent	5.53	6.77	1030
1381	SHOE	chaussure	4.63	6.66	636
1385	PEPPER	poivre	4.88	6.3	2650
1386	LION	lion	3.57	6.87	2020
1388	SHADE	ombre	4.31	4.76	2394
1389	TOE	orteil	5.0	6.84	2426
1392	LOUSE	pou	3.19	4.98	2685
1393	HORN (ANATOMY)	corne	3.15	5.82	869
1396	SHARP	tranchant	3.4	4.29	3421
1399	CLAY	argile	2.94	4.94	167
1402	BREAST	sein	4.88	6.33	3092
1404	STRAIGHT	droit	5.66	3.48	1154
1406	FAR	loin	5.95	3.76	2037
1430	STAR	étoile	4.98	6.77	1334
144	MACHINE	machine	5.19	4.98	2068
1450	ROOM	chambre	6.2	6.15	603
1451	SMILE	sourire	5.64	6.48	3198
1456	THROW	lancer	4.59	4.37	1960
1464	LADDER	échelle	4.38	6.44	1171
1472	KEY	clef	5.22	6.28	695
1473	FIST	poing	4.08	6.04	2641
1474	SEA	mer	4.41	6.42	2170
1475	COMB	peigne	4.85	6.75	2524
1476	CHAIR	chaise	6.02	6.85	599
1479	DOLPHIN	dauphin	3.55	6.8	976
1480	BODY	corps	5.58	6.04	875
1481	HAMMER	marteau	4.12	6.85	2133
1482	SHOULDER	épaule	5.1	6.37	1274
1488	FAUCET	robinet	4.45	6.62	2987
1489	CLOUD	nuage	5.15	6.74	2353
1490	RAT	rat	3.95	6.8	2840
1491	MOUSE	souris	4.69	6.94	3199
1499	JUICE	jus	5.67	6.39	1929
1502	GOAT	chèvre	3.29	6.94	649
1503	SALIVA	salive	4.38	5.84	3036
1504	FLY (INSECT)	mouche	4.76	6.67	2265
1506	MEASURE	mesure	4.63	3.31	2182
1509	MOSQUITO	moustique	3.81	6.54	2275
151	RAZOR	rasoir	4.75	6.43	2839
1510	CHIN	menton	4.27	6.56	2167
1511	ROOSTER	coq	3.36	6.87	861
1514	HEN	poule	4.26	6.87	2691
1515	TEN	dix	5.54	5.15	1126
1522	SOCK	chaussette	3.67	6.57	634
1524	WINE	vin	5.05	6.45	3548
1526	MEAL	repas	5.82	5.38	2924
1529	LAST (FINAL)	dernier	5.38	3.5	1041
1535	SWORD	épée	2.97	6.69	1276
1538	SCORPION	scorpion	3.16	6.5	3073
1539	BASKET	corbeille	3.11	6.19	866
1543	SNAIL	escargot	3.2	6.8	1307
1547	SOUP	soupe	5.22	6.44	3193
1555	CHAMELEON	caméléon	2.59	6.49	491
1560	FACE	visage	5.65	6.19	3560
1563	PYTHON	python	2.15	5.3	2802
1564	LAZY	paresseux	5.01	3.83	2481
1566	GUN	pistolet	2.73	6.55	2611
1567	DOOR	porte	5.97	6.75	2669
1569	CHEESE	fromage	5.47	6.72	1559
1575	COCKROACH	cafard	2.15	3.66	469
1581	ALLIGATOR	alligator	2.79	6.68	91
1584	BLISTER	ampoule	4.04	6.71	114
1592	CHEST	poitrine	4.59	6.25	2649
1597	AIRPLANE	avion	4.83	6.76	239
16	SLED	luge	2.83	5.66	2053
1605	SKULL	crâne	3.97	6.62	924
1613	COLOR	couleur	5.61	5.0	898
1620	SON	fils	5.33	5.2	1464
1628	SQUIRREL	écureuil	3.77	6.72	1194
163	BLACK	noir	5.78	5.9	2338
1634	HUNDRED	cent	5.13	5.5	584
1638	TRUTH	vérité	4.8	2.37	3519
164	KANGAROO	kangourou	2.76	6.81	1933
1643	COUSIN	cousin	4.59	5.06	911
1647	FOAL	poulain	2.43	5.11	2690
1648	ANVIL	enclume	2.01	3.61	1238
1651	TEAR (OF EYE)	larme	4.84	6.35	1968
1654	LIGHTNING	foudre	3.18	5.04	1514
1658	PUPIL	pupille	3.94	6.49	2794
1663	BED	lit	6.08	6.78	2026
1664	RAFT	radeau	2.2	5.4	2817
1668	GRIEF	chagrin	3.41	3.87	597
1669	ANCESTORS	ancêtre	3.46	3.68	119
1673	ARM	bras	5.47	6.77	415
1680	HELMET	casque	4.47	6.55	562
1686	BEHIND	derrière	5.48	3.83	1042
1687	PRAISE	louange	2.43	2.77	2042
1690	FENCE	barrière	4.08	5.7	293
1692	FRIDAY	vendredi	6.01	3.48	3507
1693	THURSDAY	jeudi	6.04	3.68	1913
1694	WEDNESDAY	mercredi	6.06	3.23	2172
1695	TUESDAY	mardi	5.74	3.04	2118
1697	MONDAY	lundi	6.16	3.5	2056
1699	SUNDAY	dimanche	6.14	3.47	1091
17	EYELID	paupière	4.09	6.41	2519
1703	SIX	six	5.65	5.22	3149
1704	SEVEN	sept	5.58	5.77	3110
1707	TWELVE	douze	5.36	4.97	1151
1712	OATH	serment	3.14	3.15	3117
1732	SKY	ciel	5.84	6.69	663
1740	PINE	pin	3.08	5.83	2594
1745	HIP	hanche	3.98	6.22	1712
1747	CUSTOM	coutume	4.02	3.43	914
1762	STONE (OF FRUIT)	noyau	4.26	6.11	2351
1768	FOAM	écume	2.16	4.14	1193
1769	AXLE	essieu	1.92	3.41	1318
1775	TABLE	bureau	5.46	6.24	450
1776	SHAME	honte	4.62	2.98	1755
1782	GUEST	invité	5.12	3.7	1890
1789	AGE	âge	5.95	3.08	60
1791	BUTTERFLY	papillon	4.04	6.84	2462
1793	BAT	chauve-souris	2.91	6.85	638
1794	FURROW	sillon	2.19	4.08	3138
1799	HYENA	hyène	1.7	4.98	1778
1803	WOOD	bois	4.83	6.19	359
1808	PUS	pus	2.98	4.52	2798
1821	BRUSH	brosse	5.19	6.25	433
1833	DINNER (SUPPER)	dîner	5.81	5.07	1095
1838	NAVEL	nombril	4.29	6.47	2341
1843	THOUSAND	mille	4.84	4.3	2197
1844	BOAT	bateau	4.63	6.84	300
1845	BALL	balle	4.78	6.61	264
1847	SICK	malade	5.75	4.43	2087
1848	QUARREL	querelle	2.78	3.81	2807
1850	COTTON	coton	4.54	5.87	891
1853	DOVE	colombe	3.09	6.18	742
1855	BIRCH	bouleau	3.34	5.88	388
1856	SOFT	doux	4.86	3.84	1150
1857	CROCODILE	crocodile	3.16	6.86	947
1858	FISHERMAN	pêcheur	3.8	6.07	2522
186	SHIN	tibia	2.73	5.54	3350
1862	DONKEY	âne	2.8	6.42	120
1864	HUNGER	faim	5.94	3.62	1393
1871	CAMEL	chameau	2.76	6.72	604
1874	SAUSAGE	saucisse	4.51	6.78	3051
1876	REINDEER	renne	2.36	5.06	2917
1882	BEFORE	avant	6.08	2.97	231
1883	IN FRONT OF	devant	5.23	3.65	1062
1901	SHOVEL	pelle	4.14	6.54	2529
1903	SWELLING	enflure	3.48	4.87	1246
1905	EAGLE	aigle	3.18	6.77	74
1906	SOUR	acide	3.97	4.2	31
1907	MOLE	taupe	2.22	5.72	3304
191	NUT	écrou	2.0	3.23	1190
1918	MANE	crinière	2.44	5.15	942
1927	BAMBOO	bambou	2.79	6.36	269
1936	DEER	cerf	2.9	6.43	591
194	FAMILY	famille	5.94	5.3	1400
1948	SAW	scie	3.38	6.53	3069
195	MAT	natte	2.09	4.18	2312
1950	BEECH	hêtre	1.38	2.91	1737
1971	FAN (OBJECT)	éventail	2.95	6.2	1348
1972	KID	chevreau	2.36	4.29	650
1973	DEMON	démon	3.48	5.37	1029
1977	DEW	rosée	3.29	5.02	2999
1979	CHISEL	burin	1.17	1.56	451
1986	DISEASE	maladie	5.54	3.8	2088
2002	DITCH	fossé	3.08	5.05	1512
2009	DOG	chien	5.86	6.97	652
2013	BAIT	appât	2.5	3.75	144
202	STRENGTH	force	5.19	3.14	1504
2071	LAY (VERB)	coucher	6.12	4.27	895
2099	CHILD	enfant	5.9	6.02	1244
21	TASTE (SOMETHING)	goûter	4.73	3.83	1646
210	LIFE	vie	6.21	3.22	3540
212	FIELD	champ	4.51	6.28	605
2135	TRADE OR BARTER	échange	4.56	3.41	1167
2159	GROUND	sol	4.37	5.76	3155
216	MOVIE	film	6.01	6.11	1461
218	FINE (PENALTY)	amende	4.1	4.88	106
2190	TASTE	goût	5.36	3.15	1645
221	FIRE	feu	5.09	6.54	1436
224	MORTAR	mortier	2.19	3.58	2254
2246	BELL	cloche	4.16	6.52	707
2247	CATERPILLAR	chenille	3.04	6.71	642
225	PESTLE	pilon	2.61	4.48	2590
2259	FLESH	chair	3.47	5.12	598
227	FISH	poisson	4.93	6.88	2648
2284	CLEARING	clairière	2.65	4.58	685
2292	GLASSES	lunettes	5.84	6.84	2059
2297	DUSK	crépuscule	2.46	4.13	936
2318	CHESTNUT	châtaigne	1.97	3.36	628
2348	CRAB	crabe	3.21	6.67	921
2349	SHRIMP	crevette	4.02	6.58	941
2352	DRAGONFLY	libellule	3.08	6.56	2001
2354	CRICKET	grillon	2.27	3.54	1676
2364	PEANUT	cacahuète	2.22	6.11	460
2366	ONION	oignon	4.91	6.85	2388
2368	GARLIC	ail	4.27	6.34	76
2374	DREAM	songe	3.08	2.44	3173
2386	TURKEY	dindon	3.2	6.68	1094
239	FLOWER	fleur	5.04	6.84	1488
2397	LOBSTER	homard	3.57	6.7	1752
2408	CAKE	gâteau	5.09	6.73	1598
2427	FUTURE	avenir	5.23	2.76	234
2440	PINEAPPLE	ananas	4.12	6.91	116
245	BROOM	balai	4.4	6.67	258
2468	BAG	sac	5.7	6.28	3025
2482	TOGETHER	ensemble	5.22	3.04	1257
2512	CHICK	poussin	3.45	6.87	2702
2526	POWER	puissance	4.54	3.06	2789
2539	PIT (POTHOLE)	fosse	2.56	4.29	1511
2541	MIRACLE	miracle	4.43	3.19	2203
2548	BARREL	tonneau	2.69	5.13	3374
256	FOOD	nourriture	5.59	5.62	2347
2578	PENCIL	crayon	5.45	6.67	930
258	CALM	calme	5.12	3.22	484
2587	DARTS	fléchette	2.25	4.95	1487
2591	RHINOCEROS	rhinocéros	2.38	6.72	2975
2595	CACTUS	cactus	3.05	6.73	464
2597	HARP	harpe	2.24	6.18	1720
2603	ACCORDION	accordéon	2.6	6.35	25
2605	ASPARAGUS	asperge	3.52	6.54	185
2606	COMPASS	compas	2.83	5.66	765
2621	CURTAIN	rideau	5.2	6.59	2977
2623	FLAG	drapeau	4.47	6.71	1153
2627	ORANGE (FRUIT)	orange	5.61	6.88	2407
2630	WHIP	fouet	3.3	6.26	1515
2648	HAIR (HEAD)	cheveu	5.4	6.6	647
265	FOWL	volaille	2.95	5.68	3578
266	SCALE	écaille	2.81	5.44	1164
2668	SKELETON	squelette	3.87	6.8	3220
271	SAUCER	soucoupe	3.26	6.24	3182
2765	CHERRY	cerise	4.04	6.84	592
2766	WATERMELON	pastèque	1.87	4.56	2503
2770	JACKET	veste	4.37	6.19	3528
2783	SCALES (MEASURE INSTRUMENT)	balance	4.44	5.28	259
2819	GRASSLAND	savane	2.31	4.11	3057
2826	LIE (FALSEHOOD)	mensonge	4.53	2.95	2165
2830	OYSTERS	huître	2.65	6.16	1770
2831	PENGUIN	pingouin	3.08	6.85	2597
2879	SOUND (OF INSTRUMENT OR VOICE)	son	5.52	3.26	3170
289	MOLD	moule	3.2	5.66	2268
2931	BUSINESS	commerce	4.43	3.56	755
2937	FAIRY TALE	conte	3.84	4.04	835
2941	HAPPINESS	bonheur	5.31	3.23	367
2964	NEWS	nouvelle	6.05	3.13	2349
2972	SLEEP (STATE)	sommeil	5.52	4.54	3167
2978	DISTANCE	distance	5.01	3.47	1116
2982	GIFT	présent	5.19	2.9	2726
2984	HEAP	tas	3.83	3.81	3300
300	RATTLE	hochet	2.38	4.87	1750
3028	GRAVEL	gravier	2.83	4.88	1662
3065	SADDLE	selle	2.65	5.66	3096
3066	SCARF OR TURBAN	écharpe	3.29	6.1	1168
307	HAWK	faucon	2.57	6.3	1413
3083	BALLOON	ballon	4.49	6.9	266
3085	CARROT	carotte	4.97	6.98	547
3088	ENVELOPE	enveloppe	4.75	6.73	1266
3089	GIRAFFE	girafe	3.26	6.98	1622
3090	GUITAR	guitare	5.02	6.91	1696
3091	LEMON	citron	4.12	6.95	679
3094	PAINTBRUSH	pinceau	3.84	6.6	2595
3099	SOFA	canapé	2.78	5.63	498
3101	SWING	balançoire	3.68	6.59	260
3104	THERMOMETER	thermomètre	4.29	6.63	3346
3105	UMBRELLA	parapluie	4.54	6.77	2469
3137	OAR	rame	3.19	6.26	2829
3139	LADYBUG	coccinelle	3.3	6.71	715
3140	VEST	gilet	4.59	6.35	1621
3144	GORILLA	gorille	3.19	6.67	1641
3145	HIPPOPOTAMUS	hippopotame	2.66	6.85	1745
3202	CANNON	canon	3.08	6.22	510
322	FIG	figue	2.31	4.22	1456
3255	POINT (POINTED END)	pointe	4.29	4.69	2643
