CONCEPTICON_GLOSS	CONCEPTICON_ID	LEGO_ID
DUST	2	5
BRAVE	3	2108
EARTHQUAKE	6	71
GATHER	7	1769
CURSE	8	2404
ANNOUNCE	9	2238
FIREWOOD	10	129
DARKNESS	11	91
MIDDAY	12	1957
DECEIT	13	2122
YOKE	14	1654
EYELID	17	777
EARLOBE	18	787
FISHING LINE	19	2348
TASTE (SOMETHING)	21	1996
RYE	23	1300
PRAY	24	2397
AIR	27	95
PAN	31	1049
EARWAX	32	788
NETTLE	33	1435
PUBIC HAIR	36	740
SPREAD OUT	38	1497
ENVY	40	2101
STINKING	42	1994
LEAD (GUIDE)	43	1643
INJURE	44	1693
HOLLOW OUT	46	1515
BE SILENT	48	2220
REFUSE	49	2233
SHIVER	52	941
SPIRIT	53	2074
WHISPER	55	2202
BAD LUCK	56	2078
OAT	60	1301
PIN	64	1187
AMBUSH	65	2342
KNEEL	66	1603
EMBERS	67	116
TATTOO	68	1199
BRACKISH	70	2005
CLAW	72	842
BEAK	73	796
YOUNG MAN	76	140
YOUNG WOMAN	77	142
DOORPOST	80	1224
FATHOM	81	1805
ANGER	82	2099
FORBID	83	2234
GIVE BACK	85	1689
SIEVE	86	1066
BEEHIVE	88	696
NATIVE COUNTRY	89	2256
INNOCENT	90	2376
DRAW MILK	93	1132
SANDFLY	95	706
CRAWL	96	1602
THROUGH	97	2486
ALL	98	1876
FAITHFUL	100	2118
BOAST	101	2240
COMMON COLD (DISEASE)	102	969
OMEN	107	2417
RUDDER	108	"1665;1668"
TURTLE	112	503
SHORE	113	22
IMITATE	117	2144
DIVE	119	1596
SPIN	121	1156
CART	122	1651
FOREHEAD	123	770
SWEAT (PERSPIRE)	126	914
EXTINGUISH	127	127
MUMBLE	128	2204
CHOKE	129	1034
WEAVE	133	1158
FAULT	134	2128
BATHE	138	942
GUMS	139	806
PADDY FIELD	140	1267
BURN (SOMETHING)	141	117
SUGAR CANE	146	1433
ITCH	148	980
RAZOR	151	1205
UDDER	154	864
CHOP	155	1467
RED	156	2029
DYE	157	1164
PUT ON	158	1145
SWEET POTATO	159	1413
MISS (A TARGET)	161	2356
HICCOUGH	162	910
BLACK	163	2028
MAINLAND	166	21
REST	168	1000
IT	169	243
SHOULDERBLADE	172	820
SIBLING'S CHILD	173	206
PROUD	174	2106
BLOW (OF WIND)	175	1600
RIPE	178	1016
CALL BY NAME	180	2237
BAKE	183	1042
MAST	184	1669
FIREPLACE	185	1232
HAIR (BODY)	189	739
MOW	190	1289
NUT	191	1111
CORNER	192	1828
SHALLOW	193	1821
FAMILY	194	231
MAT	195	1543
FAMINE	199	1025
SAME	200	2512
MARRY	203	153
AGAIN	204	1950
TROUGH	205	1244
FIREFLY	206	702
NASAL MUCUS (SNOT)	208	793
LIFE	210	952
CAST	211	1528
FIELD	212	1266
FIN	213	639
STRETCH	214	1492
LIE DOWN	215	1760
FINE (PENALTY)	218	2378
FIRE	221	109
THRESHING-FLOOR	223	1292
MORTAR	224	1081
PESTLE	225	1082
FISH	227	613
CARVE	228	1549
SWEEP	230	1508
FLEA	232	720
PADDLE	234	1666
STEPMOTHER	236	224
STEPFATHER	237	223
FLOWER	239	1326
TREE STUMP	241	1392
LEFT	244	1795
BROOM	245	1509
FOG	249	99
LIGHT (COLOR)	250	2021
SERVANT	255	2272
FOOD	256	1012
WORSHIP	257	2396
CALM	258	29
ROUGH (OF SEA)	259	30
HE OR SHE OR IT	262	240
HERDSMAN	263	319
HE-GOAT	264	338
FOWL	265	545
SCALE	266	641
NIT	267	719
DRIBBLE	268	921
COOKED	269	1014
JUG	270	1053
SAUCER	271	1055
TONGS	272	1059
DOUGH	273	1073
KNEAD	274	1074
PEEL	275	1065
SPINDLE	277	1157
AWL	278	1162
THATCH	279	1247
RIDGEPOLE	280	1248
POST	281	1251
HOE	284	1281
THRESH	285	1291
FORGE	288	1526
MOLD	289	1537
ADZE	290	1473
PULL OFF (SKIN)	291	1489
RUG	292	1544
NETBAG	293	1546
CROUCH	296	1604
CROOKED	297	1826
SHRIEK	298	2210
SCOLD	299	2235
RATTLE	300	2252
CHIEFTAIN	301	2263
CLAN	302	2261
ABSTAIN FROM FOOD	303	2405
PREACH	304	2402
GRANDPARENTS	305	190
PARENTS-IN-LAW	306	214
HAWK	307	551
OPOSSUM	309	459
HEAD LOUSE	310	717
BODY LOUSE	311	718
FOOTPRINT	318	856
LICK	319	920
LAME	320	1004
CHEW	321	1031
FIG	322	1105
FAT (ORGANIC SUBSTANCE)	323	1122
FELT	325	1153
CLOAK	326	1165
PONCHO	327	1166
GRASS-SKIRT	328	1172
STOCKING	329	1174
HEADBAND	330	1198
RAG	332	1200
PLAIT	333	1204
COOKHOUSE	334	1219
MEETING HOUSE	335	1220
PADLOCK	336	1227
PITCHFORK	337	1282
RAKE	338	1283
HAY	342	1308
VINE	343	1437
TREE TRUNK	344	1393
SAP	345	1396
BANYAN	346	1335
FISH POISON	348	1434
UNTIE	352	1452
POUND	354	1463
CUT DOWN	355	1466
SHEARS	356	1470
HANG UP	357	1499
TINPLATE	358	1535
POTTER	359	1536
FAN ACTION	360	1548
DWELL (LIVE, RESIDE)	363	1211
SPLASH	365	1597
LIMP	366	1611
RIDE	367	1645
OWE	369	1707
PICK UP	371	1770
POINTED	372	1787
SNIFF	375	1991
FRAGRANT	376	1993
LOUD	377	2009
PINCH	378	2042
