CONCEPTICON_ID	CONCEPTICON_GLOSS	DUTCH	ENGLISH	DUTCH_VALENCE_MEAN	DUTCH_AROUSAL_MEAN	DUTCH_DOMINANCE_MEAN	DUTCH_AOA_MEAN	DUTCH_VALENCE_MALE_MEAN	DUTCH_AROUSAL_MALE_MEAN	DUTCH_DOMINANCE_MALE_MEAN	DUTCH_AOA_MALE_MEAN	DUTCH_VALENCE_FEMALE_MEAN	DUTCH_AROUSAL_FEMALE_MEAN	DUTCH_DOMINANCE_FEMALE_MEAN	DUTCH_AOA_FEMALE_MEAN	DUTCH_POS	LINE_IN_SOURCE
100	FAITHFUL	trouw	faith	6.0	4.42	4.89	7.0	5.59	4.56	4.44	7.31	6.41	4.28	5.34	7.0	N	3707
1007	COW	koe	cow	4.31	3.55	3.81	4.19	4.25	3.59	3.47	4.75	4.38	3.5	4.16	3.88	N	1647
1019	RIGHT	rechts	right	4.12	3.88	4.27	5.58	3.91	3.84	4.16	5.75	4.34	3.91	4.38	5.69	A	2775
1025	WHISTLE	fluiten	to whistle	4.97	4.5	3.94	5.39	4.88	4.59	3.59	5.5	5.06	4.41	4.28	5.69	V	899
1035	GOOD	goed	well	5.84	4.23	4.83	3.71	5.62	4.25	4.5	3.94	6.06	4.22	5.16	3.88	A	1096
1040	HAIR	haar	hair	4.53	3.47	3.52	3.84	4.41	3.62	3.28	4.38	4.66	3.31	3.75	3.75	N	1179
1069	GLUE	lijmen	to glue	4.11	4.44	4.31	5.0	4.06	4.38	4.06	5.56	4.16	4.5	4.56	4.94	V	1915
1070	BUS	bus	bus	4.03	4.02	4.22	4.58	4.03	4.16	4.03	5.06	4.03	3.88	4.41	4.31	N	467
1088	SINK (DESCEND)	zinken	to sink	2.48	4.03	3.44	6.42	2.56	4.13	3.5	6.75	2.41	3.94	3.38	6.5	V	4231
1102	CLIMB	klimmen	to climb	4.45	5.55	4.52	5.0	4.62	5.38	4.34	5.62	4.28	5.72	4.69	4.81	V	1594
1111	CAR	auto	car	4.53	4.84	4.72	3.71	4.44	4.84	4.53	4.12	4.62	4.84	4.91	3.5	N	115
1120	HONEST	eerlijk	honest	6.16	4.05	4.98	5.26	6.09	3.91	4.62	5.5	6.22	4.19	5.34	5.5	A	770
1123	PREGNANT	zwanger	pregnant	5.34	4.75	4.41	7.06	4.91	4.78	4.19	8.0	5.78	4.72	4.62	6.56	A	4278
1125	BALD	kaal	bald	3.03	3.16	3.58	5.71	3.03	3.62	3.47	5.69	3.03	2.69	3.69	6.06	N	1440
1129	PAINFUL	pijnlijk	painful	2.17	4.95	4.25	6.68	2.12	5.03	4.44	6.94	2.22	4.88	4.06	6.81	A	2548
