CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_CONCRETENESS_MEAN	ENGLISH_DUNNO	ENGLISH_POS	LINE_IN_SOURCE
10	FIREWOOD	firewood	4.93	0	Noun	9000
100	FAITHFUL	faithful	2.2	0	Adjective	3519
1000	ANXIETY	anxiety	2.21	0	Noun	21070
1001	BLACKSMITH	blacksmith	4.38	0	Noun	12607
1002	STATUE	statue	4.93	0	Noun	9083
1003	PERMIT	permit	3.43	0	Verb	24813
1004	MUSCLE	muscle	4.5	0	Noun	11965
1005	TWINS	twins	4.57	0	Noun	11604
1006	BRICK	brick	4.83	0	Noun	9734
1008	BULL	bull	4.85	0	Noun	9632
1009	CHESTNUT TREE	buckeye	3.76	4	Noun	15448
101	BOAST	boast	2.32	0	Verb	27323
1011	BRIDGE	bridge	4.97	1	Noun	8735
1012	LATCH	latch	4.79	0	Noun	10068
1013	FRESHWATER EEL	eel	4.69	0	Noun	10737
1014	OR	or	1.72	0	Conjunction	8017
1016	DRIZZLE	drizzle	4.21	1	Noun	13462
1017	APPEARANCE	appearance	2.57	0	Noun	19823
1018	MEMORY	memory	2.38	0	Noun	20497
1019	RIGHT	right	3.47	0	Adverb	6179
102	COMMON COLD (DISEASE)	common	2.07	0	Adjective	4007
1020	HANDKERCHIEF	handkerchief	5	0	Noun	8630
1021	TOWEL	towel	4.86	0	Noun	9607
1024	CHARACTER	character	2.93	0	Noun	18531
1025	WHISTLE	whistling	4.19	0	Noun	13607
1027	BUG	bug	5	0	Noun	8581
1028	YAWN	yawn	4.46	0	Verb	23456
1029	JEWEL	jewel	4.96	0	Noun	8871
1030	NECESSARY	necessary	1.8	0	Adjective	5221
1032	CITIZEN	citizen	4.43	0	Noun	12362
1033	GRIND	grind	3.97	0	Verb	23856
1034	DEFENDANT	defendant	3.8	0	Noun	15287
1035	GOOD	good	1.64	0	Adjective	5721
1036	OWNER	owner	3.78	0	Noun	15399
1037	ELF	elf	4.3	0	Noun	13023
1038	TEACHER	teacher	4.52	0	Noun	11894
1039	SHOW	show	3.97	0	Verb	23863
104	HAILING	hail	4.32	0	Verb	23523
1041	INCREASE	increase	2.61	0	Verb	26635
1042	CARPENTER	carpenter	4.41	0	Name	8226
1043	BRAID	braid	4.38	0	Noun	12610
1044	PILLOW	pillow	5	0	Noun	8674
1045	POET	poet	4.36	0	Noun	12760
1047	PURSUE	pursue	2.83	0	Verb	26172
1048	LINE	line	4.5	0	Noun	11956
1049	MOLAR TOOTH	molar	4.83	1	Noun	9782
105	MATTRESS	mattress	5	0	Noun	8656
1052	LIGHT (WEIGHT)	lightweight	2.93	0	Noun	18558
1053	HUNTER	hunter	4.41	0	Name	8228
1054	SMALLPOX	smallpox	4.25	1	Noun	13299
1056	SON-IN-LAW	nephew	4.48	0	Noun	12086
1058	STEPDAUGHTER	stepdaughter	4.07	0	Noun	14150
1059	STEPSON	stepson	3.68	0	Noun	15765
1061	ARMOUR	armor	4.76	0	Noun	10247
1062	LAW	law	2.57	0	Noun	19844
1064	SHIELD	shield	4.66	0	Noun	11010
1065	SPIDER WEB	spider web	4.97	0	#N/A	28846
1066	CRIME	crime	3.03	0	Noun	18192
1067	JUDGMENT	judgment	1.68	0	Noun	22760
1069	GLUE	glue	4.65	0	Noun	11036
107	OMEN	omen	2.69	0	Noun	19438
1070	BUS	bus	4.9	0	Noun	9184
1071	HOOK	hook	4.79	0	Noun	10064
1072	PRISONER	prisoner	4.11	0	Noun	13941
1074	FISHHOOK	fishhook	4.87	0	Noun	9464
1076	EMERGE (APPEAR)	appear	3.13	0	Verb	25461
1077	WHEAT	wheat	4.89	0	Noun	9394
1078	MAIN	main	2.41	0	Adjective	2775
108	RUDDER	rudder	4.72	0	Noun	10544
1080	VULGAR	vulgar	1.97	0	Adjective	4486
1081	BILL	bill	4.68	0	Name	8182
1082	MERCHANT	merchant	4.31	0	Noun	12983
1084	CALL	call	4	1	Verb	23813
1085	FOLLOW	follow	3.26	0	Verb	25179
1086	WORK (ACTIVITY)	work	3.48	0	Verb	24718
1087	CONCEIVE	conceive	2.04	0	Verb	27968
109	FOREIGN	foreign	2.5	2	Adjective	2491
1090	BE BORN	born	3.22	0	Verb	25249
1091	SALTY	salty	3.93	0	Adjective	304
1092	HOPE	hope	1.25	0	Verb	28704
1093	MIDDLE	middle	3.69	0	Noun	15705
1094	FASTEN	fasten	4.14	0	Verb	23668
1095	LET GO OR SET FREE	release	3.24	0	Verb	25225
1096	SONG	song	4.46	0	Noun	12216
1097	ABANDON	abandon	2.54	1	Verb	26805
1098	WEIGH	weigh	3.79	0	Verb	24149
11	DARKNESS	darkness	3.85	0	Noun	15064
110	MOTOR	motor	4.84	0	Noun	9715
1100	COOK (SOMETHING)	cook	4.32	0	Verb	23521
1101	SUFFER	suffer	2.28	0	Verb	27431
1102	CLIMB	climb	4.11	0	Verb	23690
1103	SACRIFICE	sacrifice	2.8	0	Noun	19047
1104	NURSE	nurse	4.39	0	Noun	12589
1105	CAMP	camp	4.35	0	Noun	12787
1106	FALL ASLEEP	fall asleep	4.15	0	#N/A	30827
1107	GO OUT	exit	3.93	0	Noun	14649
1108	UNCOVER	uncover	3.42	0	Verb	24847
1109	WOUND	wound	4.24	0	Noun	13359
