CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_RT_MEAN	ENGLISH_RT_ZSCORE	ENGLISH_ACCURACY_PERCENTAGE	LINE_IN_SOURCE
3635	ADULT	adult	497.897435897436	-0.825502440944219	1.0	27318
3637	WEAVER	weaver	627.71875	0.023714882433763	0.868421052631579	54881
3639	AVOID	avoid	551.45	-0.557634770419253	1.0	28024
3640	GOSSIP	gossip	551.184210526316	-0.527194809859486	0.975	37609
3642	COMPLAIN	complain	603.5	-0.31755855091447	1.0	31934
3643	AGREE	agree	544.894736842105	-0.690780539249805	1.0	27399
3645	PERSUADE	persuade	567.675	-0.353722613533317	1.0	44426
3646	PROVERB	proverb	609.351351351351	-0.172539054563912	0.95	45723
3647	TICKLE (SOMEBODY)	tickle	580.918918918919	-0.399713299829256	0.973684210526316	52831
3648	SERVE (SOMEONE)	serve	571.28947368421	-0.463564319842044	1.0	48531
3649	PUNISH	punish	627.351351351351	-0.128278138878369	1.0	45880
365	SPLASH	splash	552.0	-0.59580958912825	0.975	50491
3657	GRANARY	barn	547.8	-0.580388380233313	0.921052631578947	28336
3658	BELLOWS	bellows	613.628571428571	0.00957108441480646	1.0	28675
3659	POLISH (SOMETHING)	polish	603.230769230769	-0.250333709220996	1.0	45095
366	LIMP	limp	571.4	-0.564907002927937	0.921052631578947	41011
3663	COWRIE SHELL	cowrie	1118.5	2.09927632787934	0.0526315789473684	32484
3665	TRAVEL	travel	498.15	-0.766910702586516	1.0	53406
3666	WANDER	wander	606.078947368421	-0.144520030546126	0.975	54673
3667	LOST	lost	582.666666666667	-0.543033444686468	0.975	41335
367	RIDE	ride	557.675675675676	-0.465940468666952	0.973684210526316	47110
3670	PLUNDER	plunder	632.942857142857	-0.0241618586822447	0.921052631578947	45015
3673	MOURNING	mourning	536.0	-0.501627861372753	1.0	42636
3675	ZEBRA	zebra	587.552631578947	-0.312888693075088	1.0	55820
3676	SHREW	shrew	584.769230769231	-0.34580584676763	0.975	49003
3677	MONGOOSE	mongoose	666.405405405405	0.247146340828363	0.925	42460
