CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	SPANISH_AOA_MEAN	SPANISH_AOA_MIN	SPANISH_AOA_MAX	SPANISH_POS	LINE_IN_SOURCE
10	FIREWOOD	leña	6.22	2	11	NOUN	3810
100	FAITHFUL	fiel	8.96	5	11	ADJECTIVE	2796
1002	STATUE	estatua	6.2	3	11	NOUN	2574
1003	PERMIT	permitir	6.96	4	11	VERB	5015
1004	MUSCLE	músculo	5.96	1	10	NOUN	4443
1005	TWINS	gemelos	6.4	2	11	NOUN	3025
1006	BRICK	ladrillo	5.52	2	9	NOUN	3737
1007	COW	vaca	3.08	1	8	NOUN	6753
1008	BULL	toro	5.4	1	11	NOUN	6565
1010	BOUNDARY	límite	7.78	4	11	NOUN	3859
1011	BRIDGE	puente	4.4	1	9	NOUN	5466
1012	LATCH	cerrojo	7.183673469387755	2	11	NOUN	1183
1014	OR	o	3.08	1	6	CONJUNCTION	4599
1019	RIGHT	derecho	7.58	1	11	NOUN	1936
102	COMMON COLD (DISEASE)	catarro	4.7	1	9	NOUN	1112
1021	TOWEL	toalla	3.54	1	9	NOUN	6522
1029	JEWEL	joya	5.18	1	9	NOUN	3677
1030	NECESSARY	necesario	7.22	3	11	ADJECTIVE	4494
1035	GOOD	bueno	2.82	1	10	INTERJECTION	864
1036	OWNER	dueño	5.82	1	10	NOUN	2216
1038	TEACHER	profesor	3.34	1	6	NOUN	5382
1039	SHOW	mostrar	6.18	1	10	VERB	4378
1040	HAIR	pelo	2.6	1	6	NOUN	4943
1042	CARPENTER	carpintero	5.66	2	10	NOUN	1062
1044	PILLOW	almohada	4.7	2	11	NOUN	260
1045	POET	poeta	8.14	5	11	NOUN	5204
1046	SHUT	cerrar	3.28	1	7	VERB	1182
1047	PURSUE	perseguir	6.14	2	11	VERB	5024
1048	LINE	línea	4.93	1	11	NOUN	3870
1049	MOLAR TOOTH	muela	4.82	2	9	NOUN	4409
105	MATTRESS	colchón	5.6	2	11	NOUN	1363
1050	MOTHER-IN-LAW	suegra	8.76	3	11	NOUN	6270
1051	CAN	lata	4.06	2	7	NOUN	3764
1053	HUNTER	cazador	6.34	3	10	NOUN	1130
1054	SMALLPOX	viruela	8.88	2	11	NOUN	6937
