ENGLISH	Sound mean	Sound n	Color mean	Color n	Manipulation mean	Manipulation n	Motion mean	Motion n	Emotion mean	Emotion n
dungeon	2.33	12	1.20	10	0.77	13	0.18	11	-3.42	12
dusk	0.45	11	4.40	10	0.43	14	0.27	11	1.55	11
dynamite	5.53	32	3.18	33	3.48	31	3.41	27	-2.25	28
eagle	2.42	40	3.98	41	1.18	45	3.72	36	1.93	44
ear	1.09	11	1.25	12	3.08	12	0.14	14	0.33	12
earth	1.91	11	4.00	12	2.08	13	3.45	11	3.00	12
earthworm	0.24	42	2.64	45	1.29	42	1.85	40	-0.50	44
echo	4.10	10	0.09	11	1.75	12	1.46	13	0.83	12
edict	0.34	32	0.17	30	1.30	33	0.41	27	-0.57	30
eel	0.93	42	2.80	44	1.19	43	3.81	37	-1.41	41
egg	1.00	41	4.00	43	2.72	46	0.39	33	0.67	42
eggplant	0.21	34	4.17	29	1.90	29	0.35	26	0.47	32
ego	1.45	31	0.23	31	2.03	30	0.58	26	-1.63	30
elbow	0.31	13	1.09	11	2.79	14	2.38	13	-0.58	12
elephant	3.82	44	4.05	44	1.39	38	2.85	39	0.95	41
elevator	2.50	28	1.73	33	3.35	31	3.23	26	0.13	31
elk	2.66	29	3.21	33	1.20	30	2.80	25	0.48	29
elm	0.37	41	2.73	44	1.36	42	0.55	40	0.85	41
embrace	0.89	44	0.78	45	2.98	43	2.03	38	4.29	42
emerald	0.19	43	5.33	45	1.33	42	0.31	39	3.24	41
emu	1.48	29	1.90	31	1.03	31	2.61	31	0.14	29
enchanter	1.40	30	0.40	30	1.45	29	0.89	27	1.35	31
engine	4.81	43	1.93	42	3.14	44	3.15	40	0.77	43
envelope	0.55	40	2.95	44	3.26	43	0.49	39	0.39	41
envy	0.59	32	1.94	32	1.19	27	0.64	28	-3.30	30
equity	0.50	30	0.06	34	1.03	29	0.77	26	1.50	30
era	0.39	33	0.22	32	0.68	34	0.61	28	0.61	31
err	0.47	30	0.13	30	0.75	28	0.44	27	-1.73	30
escalator	1.59	32	1.59	32	1.81	27	3.57	30	0.97	29
essay	0.73	11	0.42	12	2.92	13	0.83	12	-2.77	13
eternity	0.42	31	0.61	33	0.62	29	0.75	28	1.03	31
etiquette	0.69	32	0.03	30	2.23	31	0.43	28	1.45	31
evening	0.91	44	3.53	45	0.56	43	0.80	44	2.44	41
excuse	1.38	29	0.06	34	2.17	29	0.55	29	-2.48	33
expanse	0.61	33	0.24	33	1.39	31	0.65	26	0.90	31
explosion	5.74	31	3.50	32	2.14	29	4.59	27	-3.06	32
eye	0.20	41	4.13	45	3.58	43	2.32	38	1.31	45
face	1.78	9	1.55	11	3.17	12	3.10	10	1.92	13
factory	4.27	11	1.17	12	1.58	12	1.77	13	-1.77	13
falcon	2.94	34	3.16	32	1.81	31	3.92	26	0.70	30
fallacy	0.34	29	0.14	29	1.67	30	0.41	27	-1.93	30
family	3.02	41	1.19	42	1.95	44	2.67	39	4.58	45
fan	3.17	30	1.70	33	2.50	30	2.86	29	2.18	28
far	0.32	31	0.15	34	0.63	30	0.47	30	-0.97	30
farm	3.62	42	2.98	44	2.98	40	1.68	41	1.22	41
farmyard	3.65	31	3.09	32	2.25	32	2.14	28	1.16	32
fart	4.53	32	0.42	33	2.00	31	1.58	26	-0.68	31
fate	0.20	30	0.43	30	1.30	27	0.64	28	0.66	29
father	3.62	13	1.92	12	2.50	14	4.55	11	4.42	12
faucet	3.28	29	1.73	33	3.28	29	1.38	26	-0.07	30
fawn	1.00	11	2.92	12	1.54	13	2.92	12	2.36	11
feast	1.92	13	2.09	11	2.42	12	1.20	10	3.08	12
feat	0.62	32	0.13	31	1.13	31	0.96	27	1.26	31
fee	0.10	29	0.65	31	1.32	28	0.44	25	-2.70	30
feet	1.42	12	1.55	11	4.75	12	3.46	13	0.45	11
