ENGLISH	Sound mean	Sound n	Color mean	Color n	Manipulation mean	Manipulation n	Motion mean	Motion n	Emotion mean	Emotion n
blister	0.46	41	2.40	47	2.20	44	0.92	37	-3.05	43
blitz	1.67	30	0.44	32	1.83	29	3.32	31	-0.03	29
blood	0.62	13	5.10	10	1.83	12	2.00	12	-3.50	12
blossom	0.73	11	4.40	10	1.67	12	0.92	12	2.33	12
blouse	0.08	12	2.18	11	2.64	14	0.73	11	1.92	12
blueberry	0.23	31	5.64	33	1.70	27	0.38	26	1.50	32
bluejay	2.90	29	5.67	30	1.23	31	3.69	26	2.13	31
blunder	0.82	33	0.10	31	1.29	28	0.96	27	-1.50	32
blush	0.09	11	5.00	13	2.77	13	0.23	13	1.09	11
board	0.50	12	1.33	12	2.15	13	0.25	12	-0.67	12
boat	3.17	12	1.45	11	2.85	13	3.77	13	1.75	12
body	1.53	43	2.42	45	3.68	44	3.15	40	1.02	41
bolt	1.86	43	2.02	43	2.84	43	2.10	39	-0.80	44
bomb	5.56	43	2.64	45	3.77	47	3.59	37	-4.38	40
bone	0.75	12	3.64	11	2.14	14	0.62	13	-0.55	11
bonfire	2.85	33	4.48	33	3.11	27	2.21	29	3.23	30
book	1.27	11	1.92	12	4.00	11	0.36	11	0.91	11
boomerang	1.50	30	1.47	32	4.06	32	3.71	28	0.90	31
boot	1.03	39	1.68	44	2.40	43	1.62	42	0.12	40
bore	0.52	33	0.69	32	0.76	29	0.68	28	-2.03	29
boss	3.80	10	0.50	12	2.33	12	2.91	11	-2.00	12
bottle	1.90	10	0.55	11	3.54	13	0.42	12	0.58	12
boulder	1.27	11	2.00	10	1.08	13	0.75	12	-1.00	12
bouquet	0.64	11	5.25	12	2.08	13	0.58	12	3.38	13
bowl	0.18	11	1.42	12	2.83	12	0.58	12	0.75	12
box	1.00	12	0.91	11	2.54	13	0.00	10	-0.83	12
boxer	3.19	32	2.45	33	2.68	28	3.54	28	0.03	31
boy	2.90	42	2.04	46	1.83	41	4.00	39	2.15	39
bra	0.50	32	3.15	33	3.67	30	0.81	27	2.03	30
bracelet	0.71	14	2.55	11	3.00	14	0.91	11	2.92	13
brain	0.40	10	2.50	12	2.86	14	2.00	12	2.46	13
brandy	0.64	14	2.67	12	3.54	13	0.75	12	-0.33	12
brave	1.16	31	0.61	31	1.75	28	0.75	28	2.97	30
bravery	1.19	31	0.79	33	1.97	33	1.26	27	4.32	28
bread	0.42	12	2.33	12	3.17	12	0.00	12	1.36	11
breakfast	1.58	12	2.00	11	3.75	12	0.90	10	2.23	13
breast	0.58	12	1.31	13	2.83	12	0.71	14	2.58	12
breeze	2.18	11	0.20	10	0.92	12	2.80	10	3.15	13
bribe	1.19	31	0.60	30	2.63	30	0.56	25	-2.73	30
brick	1.23	13	3.82	11	1.38	13	0.00	12	-0.55	11
bridge	1.27	11	1.73	11	2.21	14	0.73	11	0.25	12
bristle	1.17	12	0.64	11	2.00	13	0.80	10	-0.69	13
broccoli	0.03	33	4.77	30	1.63	30	0.14	29	0.20	30
broom	1.42	12	2.00	11	2.92	13	1.50	12	-1.17	12
brother	4.17	12	0.75	12	2.08	12	3.67	12	2.42	12
brush	1.15	13	0.82	11	3.15	13	1.91	11	0.67	12
bubble	1.36	11	1.80	10	2.38	13	1.57	14	2.42	12
bucket	1.00	12	1.00	11	2.17	12	0.45	11	-0.82	11
