CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	CROATIAN	CROATIAN_HAPPINESS_MEAN	CROATIAN_ANGER_MEAN	CROATIAN_SADNESS_MEAN	CROATIAN_FEAR_MEAN	CROATIAN_DISGUST_MEAN	LINE_IN_SOURCE
1044	PILLOW	pillow	jastuk	3.45	1.1	1.3	1.3	1.05	705
1045	POET	poet	pjesnikinja	2.8	1.2	1.21052631578947	1	1.23809523809524	1595
1048	LINE	line	linija	1.35	1.2	1.5	1.15	1.6	969
1050	MOTHER-IN-LAW	mother-in-law	svekrva	1.85	1.55	1.8	1.8	2.05	2455
1053	HUNTER	hunter	lovac	1.65	1.77272727272727	1.66666666666667	1.4	1.76190476190476	1003
1054	SMALLPOX	smallpox	varičele	1.27272727272727	1.85714285714286	2	2.30769230769231	2.77777777777778	2756
1064	SHIELD	shield	štit	2.3	1	1.25	1.3	1.3	2375
1066	CRIME	crime	prijestup	1.85	1.7	1.65	2.15	1.7	1834
1069	GLUE	glue	ljepilo	1.75	1.2	1.2	1.35	1.85	979
1070	BUS	bus	autobus	2.1	1.35	1.15	1.15	1.65	66
1071	HOOK	hook	kuka	1.85	1.25	1.35	2.05	1.45	911
1072	PRISONER	prisoner	zatočenik	1.52380952380952	2	2.7	2.4	1.95652173913043	2933
1075	TRAP (PITFALL)	trap	zamka	1.5	1.95454545454545	2.28571428571429	2.05	1.61904761904762	2901
1081	BILL	bill	karta	1.95	1.04545454545455	1.28571428571429	1.2	1.0952380952381	753
1082	MERCHANT	merchant	trgovac	2.45	1.2	1.15	1.04761904761905	1.57142857142857	2564
1084	CALL	to call	zvati	2.7	1.1	1.1	1.25	1.19354838709677	3015
1086	WORK (ACTIVITY)	to work	raditi	2.9047619047619	1.52380952380952	1.3	1.6	1.3	1961
1090	BE BORN	suffering	patnja	1.31818181818182	2.15	2.85	2.85	2.47619047619048	1545
1092	HOPE	hope	nada	3.45	1.15	1.55	1.5	1.25	1178
1093	MIDDLE	middle	srednji	1.55	1.09090909090909	1.23809523809524	1.1	1.33333333333333	2340
1095	LET GO OR SET FREE	release	osloboditi	3.65	1.15	1.15	1.55	1.05	1465
1096	SONG	song	pjesma	4	1	1.2	1.2	1.08695652173913	1594
1100	COOK (SOMETHING)	cook	kuhar	2.95	1.1	1	1	1.25	908
1101	SUFFER	to suffer	patiti	1.25	2.45	3.2	3.3	2	1543
1103	SACRIFICE	sacrifice	žrtvovanje	2	1.71428571428571	2.2	2.25	2	3006
1104	NURSE	nurse	bolničar	1.65	1.3	1.65	1.9	1.55	145
1105	CAMP	camp	kamp	2.7	1.09090909090909	1.15	1.08695652173913	1.1	734
1109	WOUND	wounds	rane	1.45	2.45	3.35	1.9	2.45	1971
1110	SHARK	shark	ajkula	2.52631578947368	2.21052631578947	1.55	2.2	2.10526315789474	10
1111	CAR	car	auto	3.1	1.3	1.15	1.4	1.06451612903226	65
1114	BULLET	bullet	metak	1.47619047619048	2.1	2	2.25	2.04347826086957	1075
1116	DAMAGE	to damage	oštetiti	1.45	2.45	2.55	2	1.48387096774194	1471
1120	HONEST	honest	pošten	4.10526315789474	1	1.15	1.19047619047619	1.14285714285714	1725
1122	WAGES	salary	plaća	3.5	1.7	1.65	1.4	1.7	1599
1123	PREGNANT	pregnant	trudna	3.15	1.33333333333333	1.47619047619048	2.20833333333333	1.6	2582
1124	PIPE	pipe	lula	2.45	1.05	1.25	1	1.38095238095238	1014
1127	SEND	to send	poslati	2.8	1.2	1.1	1.35	1.25	1718
1133	MATCH	match	šibica	2	1.23809523809524	1.15	1.5	1.04761904761905	2170
1134	DIVORCE	divorce	rastava	1.4	2.7	3.55	2.42857142857143	1.9047619047619	1984
1135	KICK	kick	šut	1.94444444444444	1.47368421052632	1.4	1.3	1.15789473684211	2449
