CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_ICONICITY_MEAN_HUMAN	ENGLISH_ICONICITY_MEAN_MACHINE	ENGLISH_HUMOR_MEAN_MACHINE	LINE_IN_SOURCE
1	CONTEMPTIBLE	contemptible		0.4796060086526212	2.4414642176641586	24112
10	FIREWOOD	firewood		0.29329104968037223	2.105047630248041	10853
100	FAITHFUL	faithful		0.3748911887534049	2.293468515168437	4278
1000	ANXIETY	anxiety		0.292521558331749	1.8367734450777018	5412
1001	BLACKSMITH	blacksmith		0.26093823544631833	2.1544799208538543	10255
1002	STATUE	statue		0.1933991065518038	2.2470109503941678	3410
1003	PERMIT	allow		0.13700593087906046	1.938936889156019	1055
1004	MUSCLE	muscle	-0.153846153846154	0.8792897393919415	2.6025226943986217	3726
1005	TWINS	twins		0.29295413157382555	2.622950185902234	3762
1006	BRICK	brick	1.25	1.5027700299856044	2.240855346388626	3990
1007	COW	cow	1.454545455	-0.02201374262293021	2.770654167068772	2461
1008	BULL	bull	1.4	0.4813192093481966	2.5772228904866266	2659
1009	CHESTNUT TREE	buckeye		0.2556734162331862	2.87649101552569	45194
101	BOAST	boast		0.5486815149008605	2.249586036547208	11977
1010	BOUNDARY	boundary		0.27476280631162897	2.3325638913699267	11413
1011	BRIDGE	bridge	-0.166666666666667	0.26315356322966577	2.21835397193094	1366
1012	LATCH	latch		1.6792865592222417	2.4607815132733633	13559
1013	FRESHWATER EEL	eel	0.5	1.2656670497271991	2.4266703430781247	14492
1014	OR	or		0.3383864501313055	2.2927153234340496	72
1016	DRIZZLE	drizzle	2.7	1.718611495192368	2.8728727560502536	22926
1017	APPEARANCE	appearance		0.13358551781595296	2.290958904169903	3226
1018	MEMORY	memory		0.6896911191499087	1.8212743157788165	1162
1019	RIGHT	right	0.916666666666667	1.1353432427529813	2.29386959054119	66
102	COMMON COLD (DISEASE)	common		-0.12791924649043285	1.9403223290753684	1420
1020	HANDKERCHIEF	handkerchief		-0.3441551310454893	2.2405478334882365	7842
1021	TOWEL	towel	-0.235294118	0.17249836690411258	2.307769545297144	4092
